




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
GARP complex (GO:0000938)	5	4	.72	+	5.55	1.91E-03	8.84E-03
cytosolic translation preinitiation complex (GO:0070993)	19	15	2.74	+	5.47	5.12E-10	6.19E-09
tricarboxylic acid cycle heteromeric enzyme complex (GO:0045239)	14	11	2.02	+	5.45	1.32E-07	1.27E-06
cytosolic small ribosomal subunit (GO:0022627)	42	33	6.06	+	5.45	1.77E-20	3.53E-19
spliceosomal tri-snRNP complex (GO:0097526)	37	29	5.34	+	5.43	4.27E-18	7.70E-17
U4/U6 x U5 tri-snRNP complex (GO:0046540)	36	28	5.19	+	5.39	2.34E-17	4.08E-16
eukaryotic 43S preinitiation complex (GO:0016282)	18	14	2.60	+	5.39	2.82E-09	3.10E-08
VCP-NPL4-UFD1 AAA ATPase complex (GO:0034098)	9	7	1.30	+	5.39	3.55E-05	2.39E-04
COPI vesicle coat (GO:0030126)	13	10	1.87	+	5.33	7.22E-07	6.45E-06
methylosome (GO:0034709)	13	10	1.87	+	5.33	7.22E-07	6.42E-06
MIB complex (GO:0140275)	13	10	1.87	+	5.33	7.22E-07	6.39E-06
SAM complex (GO:0001401)	13	10	1.87	+	5.33	7.22E-07	6.36E-06
cytosolic large ribosomal subunit (GO:0022625)	58	44	8.36	+	5.26	9.39E-26	2.31E-24
proteasome complex (GO:0000502)	66	50	9.52	+	5.25	4.85E-29	1.34E-27
cytosolic ribosome (GO:0022626)	119	90	17.16	+	5.24	3.53E-51	1.62E-49
nuclear pore cytoplasmic filaments (GO:0044614)	4	3	.58	+	5.20	1.07E-02	3.97E-02
calpain complex (GO:0110158)	4	3	.58	+	5.20	1.07E-02	3.96E-02
oligosaccharyltransferase complex B (GO:0160227)	8	6	1.15	+	5.20	1.93E-04	1.17E-03
mitochondrial crista junction (GO:0044284)	8	6	1.15	+	5.20	1.93E-04	1.17E-03
protein kinase CK2 complex (GO:0005956)	4	3	.58	+	5.20	1.07E-02	3.95E-02
cytolytic granule membrane (GO:0101004)	4	3	.58	+	5.20	1.07E-02	3.94E-02
dynactin complex (GO:0005869)	8	6	1.15	+	5.20	1.93E-04	1.17E-03
muscle thin filament tropomyosin (GO:0005862)	4	3	.58	+	5.20	1.07E-02	3.94E-02
eukaryotic translation elongation factor 1 complex (GO:0005853)	4	3	.58	+	5.20	1.07E-02	3.93E-02
nuclear cap binding complex (GO:0005846)	4	3	.58	+	5.20	1.07E-02	3.92E-02
transcription export complex (GO:0000346)	12	9	1.73	+	5.20	3.88E-06	3.12E-05
signal recognition particle receptor complex (GO:0005785)	4	3	.58	+	5.20	1.07E-02	3.92E-02
cytoplasmic side of early endosome membrane (GO:0098559)	4	3	.58	+	5.20	1.07E-02	3.91E-02
U2-type precatalytic spliceosome (GO:0071005)	50	37	7.21	+	5.13	3.21E-21	6.53E-20
precatalytic spliceosome (GO:0071011)	52	38	7.50	+	5.07	1.96E-21	4.08E-20
U4 snRNP (GO:0005687)	11	8	1.59	+	5.04	2.03E-05	1.44E-04
chaperonin-containing T-complex (GO:0005832)	11	8	1.59	+	5.04	2.03E-05	1.43E-04
endoplasmic reticulum chaperone complex (GO:0034663)	11	8	1.59	+	5.04	2.03E-05	1.43E-04
prespliceosome (GO:0071010)	18	13	2.60	+	5.01	4.79E-08	4.76E-07
U2-type prespliceosome (GO:0071004)	18	13	2.60	+	5.01	4.79E-08	4.73E-07
small ribosomal subunit (GO:0015935)	75	54	10.82	+	4.99	2.29E-29	6.43E-28
