




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
pore complex (GO:0046930)	26	12	3.75	+	3.20	1.06E-04	6.64E-04
postsynaptic recycling endosome (GO:0098837)	11	5	1.59	+	3.15	1.35E-02	4.87E-02
endocytic vesicle lumen (GO:0071682)	22	10	3.17	+	3.15	4.68E-04	2.57E-03
tertiary granule lumen (GO:1904724)	55	25	7.93	+	3.15	3.19E-08	3.22E-07
sperm head-tail coupling apparatus (GO:0120212)	42	19	6.06	+	3.14	1.56E-06	1.31E-05
cytoplasmic stress granule (GO:0010494)	98	44	14.13	+	3.11	3.57E-13	5.34E-12
clathrin coat of trans-Golgi network vesicle (GO:0030130)	18	8	2.60	+	3.08	2.09E-03	9.62E-03
protein phosphatase type 2A complex (GO:0000159)	18	8	2.60	+	3.08	2.09E-03	9.60E-03
sno(s)RNA-containing ribonucleoprotein complex (GO:0005732)	25	11	3.61	+	3.05	3.46E-04	1.98E-03
cytosolic region (GO:0099522)	41	18	5.91	+	3.04	4.98E-06	3.96E-05
TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)	16	7	2.31	+	3.03	4.45E-03	1.81E-02
inner mitochondrial membrane protein complex (GO:0098800)	51	22	7.36	+	2.99	6.52E-07	5.87E-06
clathrin adaptor complex (GO:0030131)	28	12	4.04	+	2.97	2.52E-04	1.49E-03
ER membrane insertion complex (GO:0072379)	14	6	2.02	+	2.97	9.49E-03	3.61E-02
RISC complex (GO:0016442)	14	6	2.02	+	2.97	9.49E-03	3.60E-02
Cul4A-RING E3 ubiquitin ligase complex (GO:0031464)	14	6	2.02	+	2.97	9.49E-03	3.59E-02
COP9 signalosome (GO:0008180)	35	15	5.05	+	2.97	4.32E-05	2.87E-04
postsynaptic endosome (GO:0098845)	21	9	3.03	+	2.97	1.51E-03	7.26E-03
telomerase holoenzyme complex (GO:0005697)	21	9	3.03	+	2.97	1.51E-03	7.24E-03
mitochondrial inner membrane (GO:0005743)	506	216	72.97	+	2.96	3.55E-55	1.75E-53
extracellular exosome (GO:0070062)	2102	894	303.15	+	2.95	6.93E-249	2.33E-246
clathrin-coated pit (GO:0005905)	78	33	11.25	+	2.93	2.04E-09	2.28E-08
endolysosome membrane (GO:0036020)	19	8	2.74	+	2.92	3.16E-03	1.32E-02
extracellular vesicle (GO:1903561)	2131	895	307.33	+	2.91	3.13E-244	7.90E-242
extracellular organelle (GO:0043230)	2132	895	307.47	+	2.91	4.79E-244	1.07E-241
extracellular membrane-bounded organelle (GO:0065010)	2132	895	307.47	+	2.91	4.79E-244	9.67E-242
respiratory chain complex IV (GO:0045277)	24	10	3.46	+	2.89	1.08E-03	5.36E-03
clathrin vesicle coat (GO:0030125)	36	15	5.19	+	2.89	6.43E-05	4.11E-04
organelle inner membrane (GO:0019866)	563	234	81.19	+	2.88	3.27E-57	1.65E-55
COPII-coated ER to Golgi transport vesicle (GO:0030134)	94	39	13.56	+	2.88	1.46E-10	1.84E-09
Flemming body (GO:0090543)	34	14	4.90	+	2.86	1.31E-04	8.06E-04
lysosomal lumen (GO:0043202)	100	41	14.42	+	2.84	7.74E-11	9.89E-10
cortical cytoskeleton (GO:0030863)	111	45	16.01	+	2.81	1.49E-11	2.00E-10
cortical actin cytoskeleton (GO:0030864)	80	32	11.54	+	2.77	1.85E-08	1.95E-07
mitochondria-associated endoplasmic reticulum membrane contact site (GO:0044233)	25	10	3.61	+	2.77	1.57E-03	7.48E-03
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	138	55	19.90	+	2.76	1.95E-13	2.94E-12
extrinsic component of organelle membrane (GO:0031312)	28	11	4.04	+	2.72	1.10E-03	5.45E-03
clathrin coat (GO:0030118)	51	20	7.36	+	2.72	1.20E-05	8.84E-05
proton-transporting two-sector ATPase complex (GO:0016469)	51	20	7.36	+	2.72	1.20E-05	8.81E-05
perinuclear endoplasmic reticulum (GO:0097038)	23	9	3.32	+	2.71	3.20E-03	1.34E-02
DNA repair complex (GO:1990391)	23	9	3.32	+	2.71	3.20E-03	1.33E-02
organelle envelope lumen (GO:0031970)	100	39	14.42	+	2.70	1.28E-09	1.45E-08
chromosome, telomeric region (GO:0000781)	162	63	23.36	+	2.70	1.38E-14	2.29E-13
sperm annulus (GO:0097227)	18	7	2.60	+	2.70	9.52E-03	3.60E-02
sperm principal piece (GO:0097228)	142	55	20.48	+	2.69	7.83E-13	1.13E-11
mitochondrial membrane (GO:0031966)	792	306	114.22	+	2.68	3.29E-66	1.79E-64
mitochondrial envelope (GO:0005740)	837	321	120.71	+	2.66	1.26E-68	7.08E-67
microbody (GO:0042579)	149	57	21.49	+	2.65	5.57E-13	8.15E-12
peroxisome (GO:0005777)	149	57	21.49	+	2.65	5.57E-13	8.09E-12
trans-Golgi network transport vesicle membrane (GO:0012510)	21	8	3.03	+	2.64	6.52E-03	2.57E-02
kinetochore microtubule (GO:0005828)	21	8	3.03	+	2.64	6.52E-03	2.56E-02
triglyceride-rich plasma lipoprotein particle (GO:0034385)	21	8	3.03	+	2.64	6.52E-03	2.56E-02
very-low-density lipoprotein particle (GO:0034361)	21	8	3.03	+	2.64	6.52E-03	2.55E-02
multivesicular body membrane (GO:0032585)	29	11	4.18	+	2.63	1.54E-03	7.38E-03
Cajal body (GO:0015030)	61	23	8.80	+	2.61	5.98E-06	4.73E-05
endolysosome (GO:0036019)	32	12	4.61	+	2.60	1.07E-03	5.34E-03
actin filament (GO:0005884)	120	45	17.31	+	2.60	3.23E-10	3.95E-09
immunological synapse (GO:0001772)	48	18	6.92	+	2.60	6.57E-05	4.18E-04
lipid droplet (GO:0005811)	108	40	15.58	+	2.57	4.65E-09	5.04E-08
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	27	10	3.89	+	2.57	3.08E-03	1.29E-02
organelle envelope (GO:0031967)	1320	487	190.37	+	2.56	5.79E-99	5.56E-97
nuclear matrix (GO:0016363)	131	48	18.89	+	2.54	2.13E-10	2.66E-09
ER to Golgi transport vesicle membrane (GO:0012507)	63	23	9.09	+	2.53	1.12E-05	8.23E-05
coated vesicle membrane (GO:0030662)	206	75	29.71	+	2.52	2.90E-15	4.88E-14
microbody membrane (GO:0031903)	66	24	9.52	+	2.52	7.84E-06	6.07E-05
peroxisomal membrane (GO:0005778)	66	24	9.52	+	2.52	7.84E-06	6.04E-05
mitochondrial outer membrane (GO:0005741)	233	84	33.60	+	2.50	1.25E-16	2.14E-15
intercalated disc (GO:0014704)	50	18	7.21	+	2.50	1.22E-04	7.53E-04
mitochondrial intermembrane space (GO:0005758)	89	32	12.84	+	2.49	3.46E-07	3.20E-06
sperm midpiece (GO:0097225)	153	55	22.07	+	2.49	2.51E-11	3.27E-10
organelle outer membrane (GO:0031968)	263	94	37.93	+	2.48	4.94E-18	8.83E-17
presynaptic cytosol (GO:0099523)	28	10	4.04	+	2.48	4.18E-03	1.71E-02
dendrite cytoplasm (GO:0032839)	28	10	4.04	+	2.48	4.18E-03	1.70E-02
coated vesicle (GO:0030135)	323	115	46.58	+	2.47	1.02E-21	2.17E-20
organelle membrane contact site (GO:0044232)	59	21	8.51	+	2.47	4.13E-05	2.75E-04
mitochondrion (GO:0005739)	1839	654	265.22	+	2.47	2.21E-127	2.34E-125
filamentous actin (GO:0031941)	31	11	4.47	+	2.46	2.86E-03	1.25E-02
outer membrane (GO:0019867)	265	94	38.22	+	2.46	7.52E-18	1.32E-16
brush border (GO:0005903)	110	39	15.86	+	2.46	2.93E-08	2.99E-07
ruffle (GO:0001726)	189	67	27.26	+	2.46	5.16E-13	7.60E-12
cell cortex (GO:0005938)	324	114	46.73	+	2.44	4.24E-21	8.56E-20
Golgi-associated vesicle (GO:0005798)	97	34	13.99	+	2.43	3.03E-07	2.83E-06
ruffle membrane (GO:0032587)	100	35	14.42	+	2.43	2.13E-07	2.02E-06
actin filament bundle (GO:0032432)	95	33	13.70	+	2.41	9.32E-07	8.04E-06
cell-cell contact zone (GO:0044291)	75	26	10.82	+	2.40	9.13E-06	6.80E-05
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	26	9	3.75	+	2.40	8.17E-03	3.15E-02
smooth endoplasmic reticulum (GO:0005790)	29	10	4.18	+	2.39	5.57E-03	2.23E-02
actomyosin (GO:0042641)	93	32	13.41	+	2.39	1.57E-06	1.31E-05
vesicle tethering complex (GO:0099023)	67	23	9.66	+	2.38	3.53E-05	2.39E-04
cytoplasmic ribonucleoprotein granule (GO:0036464)	266	91	38.36	+	2.37	3.43E-16	5.81E-15
chromosomal region (GO:0098687)	398	136	57.40	+	2.37	1.58E-23	3.55E-22
tertiary granule (GO:0070820)	164	56	23.65	+	2.37	1.73E-10	2.16E-09
nuclear envelope (GO:0005635)	516	175	74.42	+	2.35	1.43E-29	4.05E-28
ATPase complex (GO:1904949)	127	43	18.32	+	2.35	3.04E-08	3.09E-07
INO80-type complex (GO:0097346)	27	9	3.89	+	2.31	1.07E-02	3.90E-02
protein serine/threonine phosphatase complex (GO:0008287)	57	19	8.22	+	2.31	3.93E-04	2.23E-03
phosphatase complex (GO:1903293)	57	19	8.22	+	2.31	3.93E-04	2.22E-03
desmosome (GO:0030057)	30	10	4.33	+	2.31	7.29E-03	2.84E-02
anchoring junction (GO:0070161)	918	303	132.39	+	2.29	3.50E-48	1.44E-46
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	82	27	11.83	+	2.28	2.10E-05	1.46E-04
kinetochore (GO:0000776)	174	57	25.09	+	2.27	7.42E-10	8.71E-09
Golgi-associated vesicle membrane (GO:0030660)	58	19	8.36	+	2.27	4.47E-04	2.46E-03
contractile actin filament bundle (GO:0097517)	86	28	12.40	+	2.26	1.78E-05	1.27E-04
stress fiber (GO:0001725)	86	28	12.40	+	2.26	1.78E-05	1.27E-04
midbody (GO:0030496)	212	69	30.57	+	2.26	1.88E-11	2.49E-10
inclusion body (GO:0016234)	77	25	11.10	+	2.25	5.39E-05	3.52E-04
phagocytic vesicle (GO:0045335)	148	48	21.34	+	2.25	2.38E-08	2.48E-07
secretory granule (GO:0030141)	942	305	135.85	+	2.25	1.71E-46	6.92E-45
multivesicular body (GO:0005771)	68	22	9.81	+	2.24	1.66E-04	1.02E-03
euchromatin (GO:0000791)	62	20	8.94	+	2.24	3.55E-04	2.03E-03
condensed chromosome, centromeric region (GO:0000779)	186	60	26.82	+	2.24	6.19E-10	7.35E-09
neuron projection cytoplasm (GO:0120111)	90	29	12.98	+	2.23	1.53E-05	1.10E-04
proton-transporting V-type ATPase complex (GO:0033176)	28	9	4.04	+	2.23	1.38E-02	5.00E-02
adherens junction (GO:0005912)	199	63	28.70	+	2.20	6.47E-10	7.63E-09
chromosome, centromeric region (GO:0000775)	253	80	36.49	+	2.19	3.12E-12	4.37E-11
ribonucleoprotein granule (GO:0035770)	731	231	105.42	+	2.19	1.91E-33	6.33E-32
SWI/SNF superfamily-type complex (GO:0070603)	95	30	13.70	+	2.19	2.24E-05	1.56E-04
endosome lumen (GO:0031904)	38	12	5.48	+	2.19	8.26E-03	3.18E-02
nuclear inner membrane (GO:0005637)	57	18	8.22	+	2.19	9.05E-04	4.65E-03
lamellipodium (GO:0030027)	209	66	30.14	+	2.19	2.42E-10	2.99E-09
nuclear ribonucleoprotein granule (GO:0140168)	484	151	69.80	+	2.16	1.87E-21	3.93E-20
P-body (GO:0000932)	100	31	14.42	+	2.15	2.08E-05	1.46E-04
AP-type membrane coat adaptor complex (GO:0030119)	42	13	6.06	+	2.15	6.27E-03	2.49E-02
microvillus (GO:0005902)	97	30	13.99	+	2.14	3.01E-05	2.06E-04
cell division site (GO:0032153)	68	21	9.81	+	2.14	4.32E-04	2.41E-03
nucleolus (GO:0005730)	1059	327	152.73	+	2.14	6.17E-45	2.44E-43
clathrin-coated vesicle membrane (GO:0030665)	140	43	20.19	+	2.13	7.19E-07	6.45E-06
axon cytoplasm (GO:1904115)	62	19	8.94	+	2.12	9.01E-04	4.66E-03
specific granule lumen (GO:0035580)	62	19	8.94	+	2.12	9.01E-04	4.65E-03
lytic vacuole (GO:0000323)	797	243	114.94	+	2.11	2.32E-32	7.11E-31
lysosome (GO:0005764)	797	243	114.94	+	2.11	2.32E-32	7.00E-31
nuclear speck (GO:0016607)	430	131	62.01	+	2.11	7.40E-18	1.31E-16
endoplasmic reticulum lumen (GO:0005788)	326	98	47.01	+	2.08	3.91E-13	5.80E-12
secretory vesicle (GO:0099503)	1133	340	163.40	+	2.08	7.48E-44	2.85E-42
protein-lipid complex (GO:0032994)	40	12	5.77	+	2.08	1.07E-02	3.91E-02
clathrin-coated vesicle (GO:0030136)	224	67	32.30	+	2.07	2.24E-09	2.47E-08
extracellular space (GO:0005615)	3225	957	465.10	+	2.06	9.01E-135	1.07E-132
ficolin-1-rich granule membrane (GO:0101003)	61	18	8.80	+	2.05	2.67E-03	1.18E-02
endocytic vesicle (GO:0030139)	360	106	51.92	+	2.04	1.78E-13	2.70E-12
actin cytoskeleton (GO:0015629)	544	160	78.45	+	2.04	7.81E-20	1.52E-18
lateral plasma membrane (GO:0016328)	68	20	9.81	+	2.04	1.41E-03	6.80E-03
specific granule (GO:0042581)	160	47	23.07	+	2.04	1.16E-06	9.95E-06
SNARE complex (GO:0031201)	48	14	6.92	+	2.02	6.91E-03	2.70E-02
vesicle (GO:0031982)	4083	1190	588.84	+	2.02	2.53E-170	3.41E-168
cleavage furrow (GO:0032154)	55	16	7.93	+	2.02	5.70E-03	2.27E-02
perinuclear region of cytoplasm (GO:0048471)	755	219	108.88	+	2.01	6.44E-26	1.60E-24
nuclear membrane (GO:0031965)	328	95	47.30	+	2.01	1.00E-11	1.36E-10
replication fork (GO:0005657)	76	22	10.96	+	2.01	9.04E-04	4.66E-03
vacuole (GO:0005773)	892	258	128.64	+	2.01	3.57E-30	1.03E-28
condensed chromosome (GO:0000793)	288	83	41.53	+	2.00	2.93E-10	3.60E-09
catalytic complex (GO:1902494)	1820	523	262.48	+	1.99	4.06E-62	2.16E-60
nuclear protein-containing complex (GO:0140513)	1292	368	186.33	+	1.97	8.70E-42	3.19E-40
cytosol (GO:0005829)	5617	1589	810.07	+	1.96	3.82E-238	7.01E-236
cell leading edge (GO:0031252)	438	123	63.17	+	1.95	6.77E-14	1.05E-12
neuromuscular junction (GO:0031594)	82	23	11.83	+	1.94	1.31E-03	6.37E-03
cytoplasmic side of membrane (GO:0098562)	214	60	30.86	+	1.94	2.16E-07	2.04E-06
cytoplasmic side of plasma membrane (GO:0009898)	162	45	23.36	+	1.93	8.61E-06	6.60E-05
lytic vacuole membrane (GO:0098852)	463	128	66.77	+	1.92	7.22E-14	1.11E-12
lysosomal membrane (GO:0005765)	463	128	66.77	+	1.92	7.22E-14	1.10E-12
filopodium (GO:0030175)	105	29	15.14	+	1.92	3.98E-04	2.24E-03
methyltransferase complex (GO:0034708)	109	30	15.72	+	1.91	3.17E-04	1.86E-03
organelle lumen (GO:0043233)	5831	1584	840.93	+	1.88	5.21E-214	8.76E-212
intracellular organelle lumen (GO:0070013)	5831	1584	840.93	+	1.88	5.21E-214	8.09E-212
membrane-enclosed lumen (GO:0031974)	5831	1584	840.93	+	1.88	5.21E-214	7.51E-212
secretory granule membrane (GO:0030667)	325	88	46.87	+	1.88	2.13E-09	2.37E-08
trans-Golgi network (GO:0005802)	275	74	39.66	+	1.87	5.30E-08	5.21E-07
early endosome (GO:0005769)	450	121	64.90	+	1.86	3.29E-12	4.55E-11
platelet alpha granule lumen (GO:0031093)	67	18	9.66	+	1.86	7.77E-03	3.01E-02
phagocytic vesicle membrane (GO:0030670)	82	22	11.83	+	1.86	3.87E-03	1.59E-02
early endosome membrane (GO:0031901)	213	57	30.72	+	1.86	2.80E-06	2.28E-05
cluster of actin-based cell projections (GO:0098862)	176	47	25.38	+	1.85	1.95E-05	1.39E-04
nuclear chromosome (GO:0000228)	236	63	34.04	+	1.85	8.39E-07	7.26E-06
clathrin-coated endocytic vesicle (GO:0045334)	94	25	13.56	+	1.84	1.77E-03	8.36E-03
trans-Golgi network membrane (GO:0032588)	113	30	16.30	+	1.84	6.68E-04	3.54E-03
histone deacetylase complex (GO:0000118)	83	22	11.97	+	1.84	4.12E-03	1.69E-02
clathrin-coated endocytic vesicle membrane (GO:0030669)	76	20	10.96	+	1.82	7.74E-03	3.00E-02
site of double-strand break (GO:0035861)	103	27	14.85	+	1.82	1.68E-03	7.97E-03
recycling endosome membrane (GO:0055038)	111	29	16.01	+	1.81	1.03E-03	5.17E-03
vacuolar membrane (GO:0005774)	508	132	73.26	+	1.80	4.23E-12	5.81E-11
nuclear body (GO:0016604)	889	231	128.21	+	1.80	2.18E-20	4.32E-19
endoplasmic reticulum (GO:0005783)	2120	549	305.74	+	1.80	5.03E-49	2.16E-47
heterochromatin (GO:0000792)	89	23	12.84	+	1.79	3.86E-03	1.59E-02
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	1285	332	185.32	+	1.79	1.16E-28	3.16E-27
endoplasmic reticulum subcompartment (GO:0098827)	1266	326	182.58	+	1.79	8.18E-28	2.14E-26
site of DNA damage (GO:0090734)	140	36	20.19	+	1.78	3.97E-04	2.24E-03
endoplasmic reticulum membrane (GO:0005789)	1260	324	181.71	+	1.78	1.59E-27	4.12E-26
sarcoplasmic reticulum (GO:0016529)	78	20	11.25	+	1.78	8.78E-03	3.35E-02
sperm flagellum (GO:0036126)	362	92	52.21	+	1.76	2.58E-08	2.67E-07
specific granule membrane (GO:0035579)	91	23	13.12	+	1.75	6.34E-03	2.51E-02
platelet alpha granule (GO:0031091)	91	23	13.12	+	1.75	6.34E-03	2.50E-02
endosome membrane (GO:0010008)	595	150	85.81	+	1.75	2.30E-12	3.29E-11
cytoplasmic vesicle (GO:0031410)	2614	657	376.99	+	1.74	8.66E-55	4.16E-53
glutamatergic synapse (GO:0098978)	585	147	84.37	+	1.74	5.57E-12	7.60E-11
actin-based cell projection (GO:0098858)	231	58	33.31	+	1.74	1.78E-05	1.27E-04
organelle subcompartment (GO:0031984)	1592	399	229.59	+	1.74	1.34E-31	3.98E-30
intracellular vesicle (GO:0097708)	2622	657	378.14	+	1.74	3.13E-54	1.47E-52
blood microparticle (GO:0072562)	144	36	20.77	+	1.73	7.49E-04	3.95E-03
fibrillar center (GO:0001650)	161	40	23.22	+	1.72	4.22E-04	2.37E-03
protein-containing complex (GO:0032991)	5972	1480	861.27	+	1.72	5.51E-149	6.95E-147
leading edge membrane (GO:0031256)	186	46	26.82	+	1.71	2.04E-04	1.23E-03
transport vesicle membrane (GO:0030658)	259	64	37.35	+	1.71	1.04E-05	7.75E-05
organelle membrane (GO:0031090)	3879	957	559.42	+	1.71	7.55E-81	5.64E-79
recycling endosome (GO:0055037)	215	53	31.01	+	1.71	7.82E-05	4.95E-04
cell-cell junction (GO:0005911)	533	131	76.87	+	1.70	4.01E-10	4.88E-09
9+2 motile cilium (GO:0097729)	379	93	54.66	+	1.70	1.75E-07	1.68E-06
nuclear lumen (GO:0031981)	4648	1140	670.32	+	1.70	1.65E-99	1.66E-97
supramolecular complex (GO:0099080)	1899	465	273.87	+	1.70	1.90E-34	6.38E-33
transport vesicle (GO:0030133)	452	110	65.19	+	1.69	2.02E-08	2.11E-07
nucleoplasm (GO:0005654)	4258	1036	614.08	+	1.69	1.75E-85	1.60E-83
sarcoplasm (GO:0016528)	99	24	14.28	+	1.68	9.10E-03	3.46E-02
mitotic spindle (GO:0072686)	194	47	27.98	+	1.68	2.82E-04	1.66E-03
cell junction (GO:0030054)	2441	591	352.04	+	1.68	5.08E-43	1.90E-41
Golgi apparatus subcompartment (GO:0098791)	397	96	57.25	+	1.68	2.28E-07	2.15E-06
Z disc (GO:0030018)	133	32	19.18	+	1.67	2.77E-03	1.23E-02
endocytic vesicle membrane (GO:0030666)	208	50	30.00	+	1.67	2.11E-04	1.27E-03
basement membrane (GO:0005604)	100	24	14.42	+	1.66	9.71E-03	3.66E-02
extracellular region (GO:0005576)	4287	1027	618.26	+	1.66	3.75E-80	2.70E-78
late endosome (GO:0005770)	331	79	47.74	+	1.65	3.97E-06	3.18E-05
vesicle membrane (GO:0012506)	1294	305	186.62	+	1.63	1.19E-19	2.29E-18
apical junction complex (GO:0043296)	157	37	22.64	+	1.63	1.96E-03	9.05E-03
membrane microdomain (GO:0098857)	294	69	42.40	+	1.63	3.55E-05	2.39E-04
intracellular protein-containing complex (GO:0140535)	980	229	141.33	+	1.62	1.91E-14	3.11E-13
synapse (GO:0045202)	1694	395	244.30	+	1.62	1.99E-24	4.56E-23
site of polarized growth (GO:0030427)	176	41	25.38	+	1.62	1.62E-03	7.72E-03
membrane raft (GO:0045121)	292	68	42.11	+	1.61	4.88E-05	3.22E-04
cytoplasmic vesicle membrane (GO:0030659)	1273	296	183.59	+	1.61	3.89E-18	7.07E-17
spindle (GO:0005819)	452	105	65.19	+	1.61	4.43E-07	4.04E-06
protein-DNA complex (GO:0032993)	209	48	30.14	+	1.59	9.88E-04	5.05E-03
endomembrane system (GO:0012505)	4956	1138	714.74	+	1.59	5.55E-79	3.62E-77
autophagosome (GO:0005776)	122	28	17.59	+	1.59	1.32E-02	4.78E-02
endosome (GO:0005768)	1107	254	159.65	+	1.59	6.22E-15	1.04E-13
membrane protein complex (GO:0098796)	1409	323	203.20	+	1.59	1.02E-18	1.88E-17
growth cone (GO:0030426)	171	39	24.66	+	1.58	2.99E-03	1.31E-02
bounding membrane of organelle (GO:0098588)	2283	514	329.25	+	1.56	2.30E-28	6.20E-27
myofibril (GO:0030016)	242	54	34.90	+	1.55	8.64E-04	4.48E-03
microtubule associated complex (GO:0005875)	157	35	22.64	+	1.55	8.22E-03	3.16E-02
I band (GO:0031674)	149	33	21.49	+	1.54	9.81E-03	3.69E-02
exocytic vesicle (GO:0070382)	253	56	36.49	+	1.53	8.23E-04	4.28E-03
extrinsic component of membrane (GO:0019898)	168	37	24.23	+	1.53	7.73E-03	3.01E-02
intracellular membraneless organelle (GO:0043232)	5875	1292	847.28	+	1.52	1.14E-79	7.93E-78
membraneless organelle (GO:0043228)	5876	1292	847.42	+	1.52	1.19E-79	8.04E-78
contractile muscle fiber (GO:0043292)	252	55	36.34	+	1.51	1.49E-03	7.16E-03
synaptic vesicle (GO:0008021)	234	51	33.75	+	1.51	2.58E-03	1.14E-02
motile cilium (GO:0031514)	459	99	66.20	+	1.50	2.84E-05	1.95E-04
late endosome membrane (GO:0031902)	182	39	26.25	+	1.49	1.05E-02	3.91E-02
cytoplasm (GO:0005737)	12419	2631	1791.04	+	1.47	2.35E-294	4.74E-291
postsynapse (GO:0098794)	782	164	112.78	+	1.45	4.27E-07	3.92E-06
presynapse (GO:0098793)	647	135	93.31	+	1.45	6.44E-06	5.06E-05
apical part of cell (GO:0045177)	526	109	75.86	+	1.44	7.00E-05	4.44E-04
intracellular membrane-bounded organelle (GO:0043231)	12348	2556	1780.80	+	1.44	2.57E-244	7.39E-242
microtubule cytoskeleton (GO:0015630)	1551	321	223.68	+	1.44	2.89E-12	4.08E-11
nucleus (GO:0005634)	7765	1594	1119.85	+	1.42	2.01E-81	1.56E-79
cytoskeleton (GO:0005856)	2568	526	370.35	+	1.42	3.37E-19	6.35E-18
microtubule (GO:0005874)	492	100	70.96	+	1.41	3.35E-04	1.92E-03
basolateral plasma membrane (GO:0016323)	267	54	38.51	+	1.40	8.45E-03	3.23E-02
membrane-bounded organelle (GO:0043227)	13453	2715	1940.16	+	1.40	2.51E-276	1.69E-273
cell projection membrane (GO:0031253)	362	73	52.21	+	1.40	2.48E-03	1.11E-02
polymeric cytoskeletal fiber (GO:0099513)	826	166	119.12	+	1.39	6.31E-06	4.98E-05
Golgi apparatus (GO:0005794)	1693	339	244.16	+	1.39	5.40E-11	6.94E-10
basal plasma membrane (GO:0009925)	300	60	43.27	+	1.39	7.86E-03	3.04E-02
intracellular organelle (GO:0043229)	13467	2684	1942.18	+	1.38	3.38E-250	1.36E-247
microtubule organizing center (GO:0005815)	993	197	143.21	+	1.38	1.73E-06	1.44E-05
supramolecular fiber (GO:0099512)	1065	211	153.59	+	1.37	7.79E-07	6.80E-06
supramolecular polymer (GO:0099081)	1065	211	153.59	+	1.37	7.79E-07	6.77E-06
organelle (GO:0043226)	14290	2789	2060.87	+	1.35	1.97E-272	9.94E-270
basal part of cell (GO:0045178)	319	62	46.01	+	1.35	1.26E-02	4.60E-02
intracellular anatomical structure (GO:0005622)	15126	2878	2181.44	+	1.32	3.45E-293	3.48E-290
centrosome (GO:0005813)	768	144	110.76	+	1.30	7.87E-04	4.14E-03
Golgi membrane (GO:0000139)	707	130	101.96	+	1.27	3.21E-03	1.33E-02
transferase complex (GO:1990234)	963	175	138.88	+	1.26	9.90E-04	5.04E-03
cilium (GO:0005929)	1088	196	156.91	+	1.25	7.41E-04	3.91E-03
cell projection (GO:0042995)	2695	481	388.67	+	1.24	1.15E-07	1.13E-06
plasma membrane bounded cell projection (GO:0120025)	2578	459	371.79	+	1.23	3.37E-07	3.13E-06
membrane (GO:0016020)	9837	1749	1418.67	+	1.23	2.68E-39	9.50E-38
chromosome (GO:0005694)	2006	334	289.30	+	1.15	3.23E-03	1.34E-02
cellular anatomical structure (GO:0110165)	18867	2942	2720.96	+	1.08	1.91E-83	1.67E-81
cellular_component (GO:0005575)	18952	2946	2733.21	+	1.08	4.49E-82	3.78E-80
cell periphery (GO:0071944)	6541	827	943.33	-	.88	6.08E-07	5.53E-06
plasma membrane (GO:0005886)	6087	747	877.85	-	.85	9.27E-09	9.90E-08
chromatin (GO:0000785)	1399	168	201.76	-	.83	7.33E-03	2.85E-02
synaptic membrane (GO:0097060)	451	45	65.04	-	.69	5.40E-03	2.17E-02
external side of plasma membrane (GO:0009897)	392	33	56.53	-	.58	3.56E-04	2.03E-03
monoatomic ion channel complex (GO:0034702)	368	29	53.07	-	.55	1.66E-04	1.01E-03
plasma membrane signaling receptor complex (GO:0098802)	330	23	47.59	-	.48	3.51E-05	2.39E-04
receptor complex (GO:0043235)	549	38	79.18	-	.48	4.76E-08	4.76E-07
postsynaptic membrane (GO:0045211)	320	22	46.15	-	.48	3.76E-05	2.52E-04
axoneme (GO:0005930)	193	13	27.83	-	.47	1.31E-03	6.37E-03
ciliary plasm (GO:0097014)	194	13	27.98	-	.46	1.33E-03	6.44E-03
ciliary transition zone (GO:0035869)	111	7	16.01	-	.44	1.38E-02	4.99E-02
keratin filament (GO:0045095)	119	7	17.16	-	.41	5.57E-03	2.22E-02
potassium channel complex (GO:0034705)	101	4	14.57	-	.27	9.85E-04	5.04E-03
postsynaptic density membrane (GO:0098839)	121	4	17.45	-	.23	1.23E-04	7.58E-04
postsynaptic specialization membrane (GO:0099634)	150	4	21.63	-	.18	2.02E-06	1.67E-05
T cell receptor complex (GO:0042101)	154	4	22.21	-	.18	1.40E-06	1.18E-05
voltage-gated potassium channel complex (GO:0008076)	90	2	12.98	-	.15	2.17E-04	1.30E-03
axonemal microtubule (GO:0005879)	56	1	8.08	-	.12	3.42E-03	1.41E-02
Unclassified (UNCLASSIFIED)	1628	22	234.79	-	.09	4.49E-82	3.63E-80
immunoglobulin complex (GO:0019814)	198	1	28.56	-	.04	2.59E-12	3.68E-11
A axonemal microtubule (GO:0097649)	45	0	6.49	-	 < 0.01	2.01E-03	9.25E-03
