




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (72)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
centralspindlin complex (GO:0097149)	3	2	.01	+	 > 100	3.61E-05	7.29E-03
senescence-associated heterochromatin focus (GO:0035985)	4	2	.01	+	 > 100	7.21E-05	1.04E-02
other organism part (GO:0044217)	37	3	.13	+	23.18	2.93E-04	2.81E-02
spindle midzone (GO:0051233)	38	3	.13	+	22.57	3.17E-04	2.91E-02
heterochromatin (GO:0000792)	89	5	.31	+	16.06	1.50E-05	3.37E-03
blood microparticle (GO:0072562)	144	5	.50	+	9.92	1.50E-04	1.89E-02
mitotic spindle (GO:0072686)	194	6	.68	+	8.84	6.05E-05	1.11E-02
spindle pole (GO:0000922)	185	5	.65	+	7.73	4.78E-04	3.71E-02
nuclear chromosome (GO:0000228)	236	6	.83	+	7.27	1.77E-04	2.10E-02
spindle (GO:0005819)	452	10	1.58	+	6.32	3.76E-06	1.08E-03
endoplasmic reticulum lumen (GO:0005788)	326	7	1.14	+	6.14	1.43E-04	1.93E-02
extracellular matrix (GO:0031012)	485	8	1.70	+	4.71	2.87E-04	2.89E-02
external encapsulating structure (GO:0030312)	501	8	1.75	+	4.56	3.56E-04	2.99E-02
chromosome (GO:0005694)	2006	17	7.02	+	2.42	4.46E-04	3.60E-02
organelle lumen (GO:0043233)	5831	45	20.40	+	2.21	2.67E-09	5.38E-06
intracellular organelle lumen (GO:0070013)	5831	45	20.40	+	2.21	2.67E-09	2.69E-06
membrane-enclosed lumen (GO:0031974)	5831	45	20.40	+	2.21	2.67E-09	1.79E-06
nucleoplasm (GO:0005654)	4258	29	14.90	+	1.95	1.87E-04	2.10E-02
nuclear lumen (GO:0031981)	4648	30	16.26	+	1.84	3.18E-04	2.79E-02
intracellular membraneless organelle (GO:0043232)	5875	37	20.55	+	1.80	6.05E-05	1.02E-02
membraneless organelle (GO:0043228)	5876	37	20.56	+	1.80	6.06E-05	9.41E-03
nucleus (GO:0005634)	7765	43	27.17	+	1.58	2.06E-04	2.19E-02
intracellular membrane-bounded organelle (GO:0043231)	12348	62	43.20	+	1.44	2.57E-06	8.66E-04
membrane-bounded organelle (GO:0043227)	13453	66	47.07	+	1.40	3.11E-07	1.26E-04
organelle (GO:0043226)	14290	68	49.99	+	1.36	2.48E-07	1.25E-04
intracellular organelle (GO:0043229)	13467	64	47.11	+	1.36	8.70E-06	2.19E-03
