




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (379)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
acylphosphatase activity (GO:0003998)	2	2	.04	+	54.30	3.38E-04	5.41E-02
GMP reductase activity (GO:0003920)	2	2	.04	+	54.30	3.38E-04	5.25E-02
2'-5'-oligoadenylate synthetase activity (GO:0001730)	3	3	.06	+	54.30	6.20E-06	1.76E-03
oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor (GO:0046857)	2	2	.04	+	54.30	3.38E-04	5.09E-02
ABC-type peptide antigen transporter activity (GO:0015433)	2	2	.04	+	54.30	3.38E-04	4.95E-02
TAP binding (GO:0046977)	7	6	.13	+	46.54	2.59E-10	4.41E-07
TAP1 binding (GO:0046978)	4	3	.07	+	40.73	2.44E-05	5.96E-03
inositol bisphosphate phosphatase activity (GO:0016312)	7	3	.13	+	23.27	2.05E-04	3.62E-02
peptide transmembrane transporter activity (GO:1904680)	7	3	.13	+	23.27	2.05E-04	3.50E-02
peptide antigen binding (GO:0042605)	45	8	.83	+	9.65	1.46E-06	5.75E-04
extracellular matrix structural constituent conferring tensile strength (GO:0030020)	42	6	.77	+	7.76	1.12E-04	2.05E-02
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	60	8	1.10	+	7.24	1.36E-05	3.49E-03
GTPase activity (GO:0003924)	343	17	6.32	+	2.69	2.29E-04	3.79E-02
actin binding (GO:0003779)	448	21	8.25	+	2.55	9.56E-05	1.88E-02
enzyme inhibitor activity (GO:0004857)	450	21	8.29	+	2.53	1.02E-04	1.93E-02
oxidoreductase activity (GO:0016491)	674	29	12.41	+	2.34	2.57E-05	5.71E-03
hydrolase activity (GO:0016787)	2412	78	44.42	+	1.76	6.51E-07	3.03E-04
identical protein binding (GO:0042802)	2216	71	40.81	+	1.74	3.31E-06	9.95E-04
catalytic activity (GO:0003824)	5609	164	103.29	+	1.59	1.34E-11	3.42E-08
protein binding (GO:0005515)	14817	331	272.87	+	1.21	6.49E-13	3.32E-09
binding (GO:0005488)	16779	351	309.00	+	1.14	7.87E-10	1.01E-06
molecular_function (GO:0003674)	18310	365	337.20	+	1.08	3.17E-07	2.71E-04
nucleic acid binding (GO:0003676)	3994	43	73.55	-	.58	2.55E-05	5.92E-03
DNA binding (GO:0003677)	2520	18	46.41	-	.39	7.50E-07	3.20E-04
Unclassified (UNCLASSIFIED)	2270	14	41.80	-	.33	3.17E-07	2.32E-04
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	1341	6	24.70	-	.24	7.60E-06	2.05E-03
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	1122	5	20.66	-	.24	5.07E-05	1.04E-02
cis-regulatory region sequence-specific DNA binding (GO:0000987)	1146	5	21.10	-	.24	3.62E-05	7.72E-03
double-stranded DNA binding (GO:0003690)	1613	7	29.70	-	.24	5.61E-07	2.87E-04
transcription cis-regulatory region binding (GO:0000976)	1440	6	26.52	-	.23	1.96E-06	7.15E-04
transcription regulatory region nucleic acid binding (GO:0001067)	1441	6	26.54	-	.23	1.97E-06	6.71E-04
sequence-specific double-stranded DNA binding (GO:1990837)	1517	6	27.94	-	.21	4.63E-07	2.96E-04
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	1332	5	24.53	-	.20	2.31E-06	7.38E-04
sequence-specific DNA binding (GO:0043565)	1642	6	30.24	-	.20	7.95E-08	8.13E-05
DNA-binding transcription factor activity (GO:0003700)	1422	5	26.19	-	.19	5.56E-07	3.16E-04
