




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	82	1	.08	+	12.55	7.68E-02	1.00E00
caveola (GO:0005901)	82	1	.08	+	12.55	7.68E-02	1.00E00
transport vesicle membrane (GO:0030658)	259	3	.25	+	11.92	1.92E-03	1.68E-01
mitochondrial intermembrane space (GO:0005758)	89	1	.09	+	11.56	8.31E-02	1.00E00
specific granule membrane (GO:0035579)	91	1	.09	+	11.31	8.49E-02	1.00E00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	94	1	.09	+	10.95	8.75E-02	1.00E00
clathrin-coated endocytic vesicle (GO:0045334)	94	1	.09	+	10.95	8.75E-02	1.00E00
actin filament bundle (GO:0032432)	95	1	.09	+	10.83	8.84E-02	1.00E00
membrane coat (GO:0030117)	96	1	.09	+	10.72	8.93E-02	1.00E00
coated membrane (GO:0048475)	96	1	.09	+	10.72	8.93E-02	1.00E00
microvillus (GO:0005902)	97	1	.09	+	10.61	9.02E-02	1.00E00
Golgi-associated vesicle (GO:0005798)	97	1	.09	+	10.61	9.02E-02	1.00E00
sarcoplasm (GO:0016528)	99	1	.10	+	10.39	9.20E-02	1.00E00
lysosomal lumen (GO:0043202)	100	1	.10	+	10.29	9.29E-02	1.00E00
organelle envelope lumen (GO:0031970)	100	1	.10	+	10.29	9.29E-02	1.00E00
nucleosome (GO:0000786)	102	1	.10	+	10.09	9.46E-02	1.00E00
site of double-strand break (GO:0035861)	103	1	.10	+	9.99	9.55E-02	1.00E00
filopodium (GO:0030175)	105	1	.10	+	9.80	9.73E-02	1.00E00
side of membrane (GO:0098552)	739	7	.72	+	9.75	3.85E-06	1.30E-03
focal adhesion (GO:0005925)	423	4	.41	+	9.73	6.57E-04	8.83E-02
cytoplasmic side of membrane (GO:0098562)	214	2	.21	+	9.62	1.81E-02	4.93E-01
coated vesicle (GO:0030135)	323	3	.31	+	9.56	3.58E-03	2.68E-01
cell-substrate junction (GO:0030055)	433	4	.42	+	9.51	7.17E-04	9.04E-02
sarcomere (GO:0030017)	221	2	.21	+	9.31	1.92E-02	4.91E-01
recycling endosome membrane (GO:0055038)	111	1	.11	+	9.27	1.03E-01	1.00E00
melanosome (GO:0042470)	112	1	.11	+	9.19	1.03E-01	1.00E00
clathrin-coated vesicle (GO:0030136)	224	2	.22	+	9.19	1.97E-02	4.97E-01
pigment granule (GO:0048770)	112	1	.11	+	9.19	1.03E-01	1.00E00
axon terminus (GO:0043679)	115	1	.11	+	8.95	1.06E-01	1.00E00
actin-based cell projection (GO:0098858)	231	2	.22	+	8.91	2.09E-02	5.07E-01
plasma membrane raft (GO:0044853)	116	1	.11	+	8.87	1.07E-01	1.00E00
synaptic vesicle (GO:0008021)	234	2	.23	+	8.79	2.14E-02	5.14E-01
actin filament (GO:0005884)	120	1	.12	+	8.58	1.10E-01	1.00E00
myofibril (GO:0030016)	242	2	.24	+	8.50	2.28E-02	5.34E-01
ficolin-1-rich granule lumen (GO:1904813)	125	1	.12	+	8.23	1.15E-01	1.00E00
contractile muscle fiber (GO:0043292)	252	2	.24	+	8.17	2.45E-02	5.63E-01
exocytic vesicle (GO:0070382)	253	2	.25	+	8.13	2.47E-02	5.61E-01
ATPase complex (GO:1904949)	127	1	.12	+	8.10	1.16E-01	1.00E00
neuron projection terminus (GO:0044306)	132	1	.13	+	7.80	1.21E-01	1.00E00
site of DNA damage (GO:0090734)	140	1	.14	+	7.35	1.28E-01	1.00E00
