




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
neurotransmitter receptor complex (GO:0098878)	48	0	.05	-	 < 0.01	1.00E00	1.00E00
epididymosome (GO:0098875)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor complex (GO:1990265)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic actin cytoskeleton (GO:0098871)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
microbody lumen (GO:0031907)	51	0	.05	-	 < 0.01	1.00E00	1.00E00
late endosome lumen (GO:0031906)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear ribonucleoprotein granule (GO:0140168)	484	0	.47	-	 < 0.01	1.00E00	1.00E00
early endosome lumen (GO:0031905)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule bundle (GO:0097427)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
microbody membrane (GO:0031903)	66	0	.06	-	 < 0.01	1.00E00	1.00E00
cytoplasmic ribonucleoprotein granule (GO:0036464)	266	0	.26	-	 < 0.01	1.00E00	1.00E00
ribonuclease III complex (GO:1903095)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
late endosome membrane (GO:0031902)	182	0	.18	-	 < 0.01	1.00E00	1.00E00
SUMO ligase complex (GO:0106068)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
early endosome membrane (GO:0031901)	213	0	.21	-	 < 0.01	1.00E00	1.00E00
mitochondrial chromosome (GO:0000262)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tubular endosome (GO:0097422)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
macropinosome (GO:0044354)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
pinosome (GO:0044352)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule plus-end (GO:0035371)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
serine palmitoyltransferase complex (GO:0017059)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-11 complex (GO:0043260)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative cofactor 2 complex (GO:0017054)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription repressor complex (GO:0017053)	81	0	.08	-	 < 0.01	1.00E00	1.00E00
PCNA-p21 complex (GO:0070557)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cluster of actin-based cell projections (GO:0098862)	176	0	.17	-	 < 0.01	1.00E00	1.00E00
synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex (GO:0070554)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
keratohyalin granule (GO:0036457)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
neurofibrillary tangle (GO:0097418)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
von-Willerbrand-factor-A-domain-rich collagen trimer (GO:0140158)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel complex (GO:0008076)	90	0	.09	-	 < 0.01	1.00E00	1.00E00
BRISC complex (GO:0070552)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
multiplexin collagen trimer (GO:0140156)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase complex, soluble (GO:0008074)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
growth factor complex (GO:0036454)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
classical Lewy body (GO:0097414)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ESCRT complex (GO:0036452)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
Lewy body (GO:0097413)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
FACIT collagen complex (GO:0140153)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
collagenous component of interstitial matrix (GO:0140152)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ASAP complex (GO:0061574)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
solid phase of interstitial matrix (GO:0140151)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
subapical complex (GO:0035003)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
laminin-10 complex (GO:0043259)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone locus body (GO:0035363)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
laminin-8 complex (GO:0043257)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
laminin complex (GO:0043256)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
HCN channel complex (GO:0098855)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
Atg12-Atg5-Atg16 complex (GO:0034274)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
uniplex complex (GO:1990246)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type II (GO:0034272)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type I (GO:0034271)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule minus-end (GO:0036449)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
PeBoW complex (GO:0070545)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glial cytoplasmic inclusion (GO:0097409)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CAF-1 complex (GO:0033186)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
commitment complex (GO:0000243)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
dolichol-phosphate-mannose synthase complex (GO:0033185)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
collagenous component of basement membrane (GO:0140143)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pericentriolar material (GO:0000242)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane (GO:0061202)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted gamma-aminobutyric acid transport vesicle (GO:0061200)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane proton-transporting V-type ATPase complex (GO:0033181)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor 2-Toll-like receptor 6 protein complex (GO:0035355)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor 1-Toll-like receptor 2 protein complex (GO:0035354)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cortical granule (GO:0060473)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
Ragulator complex (GO:0071986)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
Fanconi anaemia nuclear complex (GO:0043240)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
podocyte foot (GO:0098846)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic endosome (GO:0098845)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
AIP1-IRE1 complex (GO:1990597)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome (GO:0098842)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
solid phase of basement membrane (GO:0140139)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
STING complex (GO:1990231)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
BRCA1-C complex (GO:0070533)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V0 domain (GO:0033179)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
BRCA1-B complex (GO:0070532)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
astral microtubule (GO:0000235)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
BRCA1-A complex (GO:0070531)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
ATF1-ATF4 transcription factor complex (GO:1990590)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dendritic spine head (GO:0044327)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
dendritic spine neck (GO:0044326)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
migrasome (GO:0140494)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum quality control compartment (GO:0044322)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear replication fork (GO:0043596)	43	0	.04	-	 < 0.01	1.00E00	1.00E00
postsynaptic density membrane (GO:0098839)	121	0	.12	-	 < 0.01	1.00E00	1.00E00
postsynaptic recycling endosome (GO:0098837)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster assembly complex (GO:1990229)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
sulfurtransferase complex (GO:1990228)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone membrane (GO:0098835)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
female germ cell nucleus (GO:0001674)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
ATF4-CREB1 transcription factor complex (GO:1990589)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
male germ cell nucleus (GO:0001673)	55	0	.05	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone (GO:0098833)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone cytoplasmic component (GO:0098831)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic endosome (GO:0098830)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear chromosome (GO:0000228)	236	0	.23	-	 < 0.01	1.00E00	1.00E00
cardiac Troponin complex (GO:1990584)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
L-cysteine desulfurase complex (GO:1990221)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
ERCC4-ERCC1 complex (GO:0070522)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
interphotoreceptor matrix (GO:0033165)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
cone cell pedicle (GO:0044316)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V0 domain (GO:0000220)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
melanosome membrane (GO:0033162)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
NOS2-CD74 complex (GO:0035693)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor receptor complex (GO:0035692)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acrosomal vesicle (GO:0001669)	182	0	.18	-	 < 0.01	1.00E00	1.00E00
Schmidt-Lanterman incisure (GO:0043220)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network membrane (GO:0098826)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA-directed RNA polymerase complex (GO:0034245)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum membrane (GO:1990578)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
CAK-ERCC2 complex (GO:0070516)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
microprocessor complex (GO:0070877)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
trans-synaptic protein complex (GO:0098820)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
SOSS complex (GO:0070876)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
TERT-RMRP complex (GO:1990572)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
axonal spine (GO:0044308)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA-intron endonuclease complex (GO:0000214)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
dendritic branch (GO:0044307)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
calyx of Held (GO:0044305)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell cilium (GO:0097733)	122	0	.12	-	 < 0.01	1.00E00	1.00E00
main axon (GO:0044304)	71	0	.07	-	 < 0.01	1.00E00	1.00E00
MLL3/4 complex (GO:0044666)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
9+2 non-motile cilium (GO:0097732)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
MLL1/2 complex (GO:0044665)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
9+0 non-motile cilium (GO:0097731)	134	0	.13	-	 < 0.01	1.00E00	1.00E00
dentate gyrus mossy fiber (GO:0044302)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoskeletal calyx (GO:0033150)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
non-motile cilium (GO:0097730)	171	0	.17	-	 < 0.01	1.00E00	1.00E00
climbing fiber (GO:0044301)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
eukaryotic 43S preinitiation complex (GO:0016282)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
cerebellar mossy fiber (GO:0044300)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 4F complex (GO:0016281)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral loop (GO:0043219)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
compact myelin (GO:0043218)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm fibrous sheath (GO:0035686)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
elastic fiber (GO:0071953)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
granular component (GO:0001652)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
dense fibrillar component (GO:0001651)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase complex (GO:1990204)	115	0	.11	-	 < 0.01	1.00E00	1.00E00
I(KACh) inward rectifier potassium channel complex (GO:1990566)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fibrillar center (GO:0001650)	161	0	.16	-	 < 0.01	1.00E00	1.00E00
HSP90-CDC37 chaperone complex (GO:1990565)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle lumen (GO:0034592)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-K14 acetyltransferase complex (GO:0036409)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
9+0 motile cilium (GO:0097728)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin/CDK positive transcription elongation factor complex (GO:0008024)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription elongation factor complex (GO:0008023)	51	0	.05	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase complex (GO:0008385)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of plasma membrane (GO:0019897)	106	0	.10	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core factor complex (GO:0070860)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amyloid-beta complex (GO:0106003)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mCRD-mediated mRNA stability complex (GO:0106002)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
prefoldin complex (GO:0016272)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
bleb (GO:0032059)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
myelin sheath (GO:0043209)	47	0	.05	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase complex (GO:1905202)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
translation release factor complex (GO:0018444)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
axon hillock (GO:0043203)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
Ku70:Ku80 complex (GO:0043564)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Myc-Max complex (GO:0071943)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
XPC complex (GO:0071942)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
axon cytoplasm (GO:1904115)	62	0	.06	-	 < 0.01	1.00E00	1.00E00
non-motile cilium membrane (GO:0098804)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex (GO:0098803)	114	0	.11	-	 < 0.01	1.00E00	1.00E00
inner mitochondrial membrane protein complex (GO:0098800)	51	0	.05	-	 < 0.01	1.00E00	1.00E00
cell body fiber (GO:0070852)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
guanyl-nucleotide exchange factor complex (GO:0032045)	27	0	.03	-	 < 0.01	1.00E00	1.00E00
DSIF complex (GO:0032044)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
small-subunit processome (GO:0032040)	73	0	.07	-	 < 0.01	1.00E00	1.00E00
gamma-delta T cell receptor complex (GO:0042106)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell receptor complex (GO:0042105)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
core mediator complex (GO:0070847)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
T cell receptor complex (GO:0042101)	154	0	.15	-	 < 0.01	1.00E00	1.00E00
chromosome, telomeric repeat region (GO:0140445)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
integrator complex (GO:0032039)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
Mon1-Ccz1 complex (GO:0035658)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
eRF1 methyltransferase complex (GO:0035657)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein complex (GO:0032398)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
photoreceptor connecting cilium (GO:0032391)	44	0	.04	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine transferase complex (GO:0043541)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex (GO:0043540)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cleavage body (GO:0071920)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Dom34-Hbs1 complex (GO:1990533)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipid-translocating ATPase complex (GO:1990531)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
katanin complex (GO:0008352)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
organelle inner membrane (GO:0019866)	563	0	.55	-	 < 0.01	1.00E00	1.00E00
retrograde transporter complex, Golgi to ER (GO:0061852)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
subcortical maternal complex (GO:0106333)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
leading edge of lamellipodium (GO:0061851)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MutLalpha complex (GO:0032389)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NELF complex (GO:0032021)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
prominosome (GO:0071914)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol-mannosyltransferase I complex (GO:1990529)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic density (GO:0014069)	351	0	.34	-	 < 0.01	1.00E00	1.00E00
replication fork protection complex (GO:0031298)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
paraferritin complex (GO:0070826)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Sin3-type complex (GO:0070822)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
cis-Golgi network membrane (GO:0033106)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
dendritic spine cytoplasm (GO:0061846)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuron projection branch point (GO:0061845)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aggresome (GO:0016235)	35	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear pore nuclear basket (GO:0044615)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
inclusion body (GO:0016234)	77	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear pore cytoplasmic filaments (GO:0044614)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear pore central transport channel (GO:0044613)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
Cdc73/Paf1 complex (GO:0016593)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear pore inner ring (GO:0044611)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mediator complex (GO:0016592)	38	0	.04	-	 < 0.01	1.00E00	1.00E00
dynein axonemal particle (GO:0120293)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, holoenzyme (GO:0016591)	88	0	.09	-	 < 0.01	1.00E00	1.00E00
ACF complex (GO:0016590)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GET complex (GO:0043529)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (m2G10) methyltransferase complex (GO:0043528)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase complex (GO:0043527)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial prohibitin complex (GO:0035632)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CD40 receptor complex (GO:0035631)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
phagolysosome (GO:0032010)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
CST complex (GO:1990879)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
FNIP-folliculin RagC/D GAP (GO:1990877)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of nuclear pore (GO:1990876)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CLOCK-BMAL transcription complex (GO:1990513)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
Cry-Per complex (GO:1990512)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
omegasome membrane (GO:1903349)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
DBIRD complex (GO:0044609)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NURF complex (GO:0016589)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
RSC-type complex (GO:0016586)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
basal ectoplasmic specialization (GO:0061832)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase complex (GO:0016222)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
apical ectoplasmic specialization (GO:0061831)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
early phagosome (GO:0032009)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
concave side of sperm head (GO:0061830)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NuRD complex (GO:0016581)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
autolysosome lumen (GO:0120282)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
autolysosome membrane (GO:0120281)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
senescence-associated heterochromatin focus (GO:0035985)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-28 receptor complex (GO:0032002)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-12 complex (GO:0043514)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inhibin B complex (GO:0043513)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inhibin A complex (GO:0043512)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inhibin complex (GO:0043511)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CKM complex (GO:1990508)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase complex (GO:1904423)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor complex (GO:0008328)	43	0	.04	-	 < 0.01	1.00E00	1.00E00
exon-exon junction subcomplex mago-y14 (GO:1990501)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO:0000506)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm head (GO:0061827)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
podosome ring (GO:0061826)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome complex (GO:0000502)	66	0	.06	-	 < 0.01	1.00E00	1.00E00
activin A complex (GO:0043509)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor AP-1 complex (GO:0035976)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
CENP-A containing nucleosome (GO:0043505)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
CD95 death-inducing signaling complex (GO:0031265)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
death-inducing signaling complex (GO:0031264)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
male pronucleus (GO:0001940)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
Ndc80 complex (GO:0031262)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA replication preinitiation complex (GO:0031261)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
pseudopodium membrane (GO:0031260)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Wnt-Frizzled-LRP5/6 complex (GO:1990851)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
female pronucleus (GO:0001939)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA cap binding complex (GO:0034518)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
uropod membrane (GO:0031259)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lamellipodium membrane (GO:0031258)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
cell trailing edge membrane (GO:0031257)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome storage granule (GO:0034515)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
leading edge membrane (GO:0031256)	186	0	.18	-	 < 0.01	1.00E00	1.00E00
cell trailing edge (GO:0031254)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endoplasmic reticulum membrane (GO:0042406)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
uropod (GO:0001931)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
cell projection membrane (GO:0031253)	362	0	.35	-	 < 0.01	1.00E00	1.00E00
nuclear inclusion body (GO:0042405)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
PAN complex (GO:0031251)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GPI-anchor transamidase complex (GO:0042765)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
caspase complex (GO:0008303)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
7SK snRNP (GO:0120259)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
B cell receptor complex (GO:0019815)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
immunoglobulin complex (GO:0019814)	198	0	.19	-	 < 0.01	1.00E00	1.00E00
protein acetyltransferase complex (GO:0031248)	104	0	.10	-	 < 0.01	1.00E00	1.00E00
chromosome, centromeric core domain (GO:0034506)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NLRP6 inflammasome complex (GO:0140738)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Hrd1p ubiquitin ligase complex (GO:0000836)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ER ubiquitin ligase complex (GO:0000835)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral wall of outer hair cell (GO:0120249)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment (GO:0001917)	69	0	.07	-	 < 0.01	1.00E00	1.00E00
cytosolic proteasome complex (GO:0031597)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	49	0	.05	-	 < 0.01	1.00E00	1.00E00
