




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (379)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent (GO:0002485)	2	2	.04	+	54.30	3.38E-04	2.97E-02
antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent (GO:0002481)	2	2	.04	+	54.30	3.38E-04	2.95E-02
interleukin-27-mediated signaling pathway (GO:0070106)	8	5	.15	+	33.94	1.10E-07	4.29E-05
peptide antigen assembly with MHC class I protein complex (GO:0002502)	6	3	.11	+	27.15	1.19E-04	1.42E-02
MHC class I protein complex assembly (GO:0002397)	6	3	.11	+	27.15	1.19E-04	1.40E-02
ISG15-protein conjugation (GO:0032020)	6	3	.11	+	27.15	1.19E-04	1.39E-02
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	14	5	.26	+	19.39	3.60E-06	7.93E-04
heparan sulfate proteoglycan catabolic process (GO:0030200)	9	3	.17	+	18.10	4.79E-04	3.84E-02
antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	21	7	.39	+	18.10	6.33E-08	2.67E-05
antigen processing and presentation of peptide antigen via MHC class Ib (GO:0002428)	16	5	.29	+	16.97	7.62E-06	1.42E-03
cellular response to exogenous dsRNA (GO:0071360)	16	5	.29	+	16.97	7.62E-06	1.41E-03
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	23	7	.42	+	16.53	1.29E-07	4.77E-05
pyrimidine deoxyribonucleoside monophosphate catabolic process (GO:0009178)	10	3	.18	+	16.29	6.75E-04	4.96E-02
pyrimidine nucleoside monophosphate catabolic process (GO:0009131)	10	3	.18	+	16.29	6.75E-04	4.93E-02
negative regulation of viral genome replication (GO:0045071)	51	15	.94	+	15.97	1.26E-14	2.07E-11
response to interferon-alpha (GO:0035455)	22	6	.41	+	14.81	2.18E-06	5.27E-04
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	15	4	.28	+	14.48	1.32E-04	1.48E-02
antigen processing and presentation of endogenous peptide antigen via MHC class Ib (GO:0002476)	15	4	.28	+	14.48	1.32E-04	1.47E-02
negative regulation of interferon-beta production (GO:0032688)	16	4	.29	+	13.58	1.73E-04	1.85E-02
negative regulation of vascular associated smooth muscle cell proliferation (GO:1904706)	24	6	.44	+	13.58	3.81E-06	7.92E-04
negative regulation of viral process (GO:0048525)	77	18	1.42	+	12.69	2.41E-15	4.45E-12
antigen processing and presentation of endogenous antigen (GO:0019883)	30	7	.55	+	12.67	9.60E-07	2.67E-04
negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	22	5	.41	+	12.34	4.20E-05	6.13E-03
cellular response to dsRNA (GO:0071359)	22	5	.41	+	12.34	4.20E-05	6.07E-03
response to type I interferon (GO:0034340)	59	13	1.09	+	11.96	4.30E-11	3.02E-08
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	37	8	.68	+	11.74	2.97E-07	9.34E-05
proteoglycan catabolic process (GO:0030167)	19	4	.35	+	11.43	3.52E-04	3.06E-02
antigen processing and presentation via MHC class Ib (GO:0002475)	24	5	.44	+	11.31	6.57E-05	8.81E-03
antiviral innate immune response (GO:0140374)	69	13	1.27	+	10.23	3.48E-10	2.33E-07
regulation of viral genome replication (GO:0045069)	81	15	1.49	+	10.06	1.95E-11	1.51E-08
cellular response to type I interferon (GO:0071357)	51	9	.94	+	9.58	3.41E-07	1.03E-04
response to interferon-beta (GO:0035456)	40	7	.74	+	9.50	7.51E-06	1.42E-03
negative regulation of protein localization to nucleus (GO:1900181)	41	7	.76	+	9.27	8.91E-06	1.56E-03
type I interferon-mediated signaling pathway (GO:0060337)	50	8	.92	+	8.69	3.36E-06	7.51E-04
regulation of viral life cycle (GO:1903900)	113	18	2.08	+	8.65	2.72E-12	2.36E-09
regulation of interferon-beta production (GO:0032648)	63	10	1.16	+	8.62	2.14E-07	6.86E-05
positive regulation of defense response to virus by host (GO:0002230)	32	5	.59	+	8.48	2.76E-04	2.51E-02
regulation of viral process (GO:0050792)	140	20	2.58	+	7.76	1.35E-12	1.42E-09
fibroblast proliferation (GO:0048144)	42	6	.77	+	7.76	1.12E-04	1.38E-02
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	43	6	.79	+	7.58	1.29E-04	1.48E-02
positive regulation of interferon-beta production (GO:0032728)	43	6	.79	+	7.58	1.29E-04	1.47E-02
regulation of biological process involved in symbiotic interaction (GO:0043903)	36	5	.66	+	7.54	4.86E-04	3.86E-02
fatty acid beta-oxidation (GO:0006635)	58	8	1.07	+	7.49	1.05E-05	1.81E-03
synaptic vesicle endocytosis (GO:0048488)	53	7	.98	+	7.17	5.05E-05	7.24E-03
positive regulation of T cell mediated cytotoxicity (GO:0001916)	38	5	.70	+	7.14	6.28E-04	4.75E-02
regulation of vascular associated smooth muscle cell proliferation (GO:1904705)	61	8	1.12	+	7.12	1.54E-05	2.59E-03
antigen processing and presentation of peptide antigen (GO:0048002)	69	9	1.27	+	7.08	4.74E-06	9.71E-04
unsaturated fatty acid biosynthetic process (GO:0006636)	47	6	.87	+	6.93	2.13E-04	2.09E-02
negative regulation of innate immune response (GO:0045824)	95	12	1.75	+	6.86	1.77E-07	5.93E-05
presynaptic endocytosis (GO:0140238)	58	7	1.07	+	6.55	9.11E-05	1.16E-02
negative regulation of smooth muscle cell proliferation (GO:0048662)	50	6	.92	+	6.52	3.01E-04	2.70E-02
interferon-mediated signaling pathway (GO:0140888)	67	8	1.23	+	6.48	3.11E-05	4.82E-03
antigen processing and presentation of exogenous antigen (GO:0019884)	52	6	.96	+	6.27	3.73E-04	3.17E-02
negative regulation of response to biotic stimulus (GO:0002832)	132	15	2.43	+	6.17	2.20E-08	1.05E-05
synaptic vesicle recycling (GO:0036465)	62	7	1.14	+	6.13	1.40E-04	1.55E-02
fatty acid catabolic process (GO:0009062)	90	10	1.66	+	6.03	6.16E-06	1.23E-03
positive regulation of fibroblast proliferation (GO:0048146)	56	6	1.03	+	5.82	5.60E-04	4.30E-02
positive regulation of non-canonical NF-kappaB signal transduction (GO:1901224)	66	7	1.22	+	5.76	2.08E-04	2.06E-02
antigen processing and presentation (GO:0019882)	105	11	1.93	+	5.69	3.79E-06	8.10E-04
defense response to virus (GO:0051607)	292	30	5.38	+	5.58	2.68E-14	3.96E-11
response to type II interferon (GO:0034341)	118	12	2.17	+	5.52	1.89E-06	4.81E-04
positive regulation of T cell mediated immunity (GO:0002711)	72	7	1.33	+	5.28	3.58E-04	3.09E-02
fatty acid oxidation (GO:0019395)	83	8	1.53	+	5.23	1.46E-04	1.60E-02
regulation of smooth muscle cell proliferation (GO:0048660)	136	13	2.50	+	5.19	1.43E-06	3.71E-04
negative regulation of cytokine-mediated signaling pathway (GO:0001960)	86	8	1.58	+	5.05	1.87E-04	1.94E-02
positive regulation of cytokine production involved in immune response (GO:0002720)	86	8	1.58	+	5.05	1.87E-04	1.93E-02
response to virus (GO:0009615)	400	37	7.37	+	5.02	6.85E-16	1.69E-12
regulation of type I interferon production (GO:0032479)	132	12	2.43	+	4.94	6.14E-06	1.24E-03
negative regulation of response to cytokine stimulus (GO:0060761)	90	8	1.66	+	4.83	2.56E-04	2.40E-02
lipid oxidation (GO:0034440)	90	8	1.66	+	4.83	2.56E-04	2.39E-02
positive regulation of type I interferon production (GO:0032481)	79	7	1.45	+	4.81	6.31E-04	4.73E-02
monocarboxylic acid catabolic process (GO:0072329)	115	10	2.12	+	4.72	5.34E-05	7.44E-03
regulation of fibroblast proliferation (GO:0048145)	92	8	1.69	+	4.72	2.98E-04	2.69E-02
regulation of cytokine production involved in immune response (GO:0002718)	127	11	2.34	+	4.70	2.36E-05	3.78E-03
endothelium development (GO:0003158)	108	9	1.99	+	4.53	1.74E-04	1.85E-02
unsaturated fatty acid metabolic process (GO:0033559)	109	9	2.01	+	4.48	1.87E-04	1.92E-02
positive regulation of macroautophagy (GO:0016239)	97	8	1.79	+	4.48	4.27E-04	3.56E-02
positive regulation of tumor necrosis factor production (GO:0032760)	110	9	2.03	+	4.44	2.00E-04	2.03E-02
regulation of non-canonical NF-kappaB signal transduction (GO:1901222)	98	8	1.80	+	4.43	4.57E-04	3.71E-02
negative regulation of immune response (GO:0050777)	212	17	3.90	+	4.35	4.42E-07	1.30E-04
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	114	9	2.10	+	4.29	2.62E-04	2.43E-02
carbohydrate derivative catabolic process (GO:1901136)	210	16	3.87	+	4.14	1.90E-06	4.74E-04
regulation of type II interferon production (GO:0032649)	119	9	2.19	+	4.11	3.61E-04	3.10E-02
lipid modification (GO:0030258)	153	11	2.82	+	3.90	1.29E-04	1.47E-02
myelination (GO:0042552)	128	9	2.36	+	3.82	6.16E-04	4.71E-02
ensheathment of neurons (GO:0007272)	130	9	2.39	+	3.76	6.89E-04	5.01E-02
axon ensheathment (GO:0008366)	130	9	2.39	+	3.76	6.89E-04	4.99E-02
organic acid catabolic process (GO:0016054)	233	16	4.29	+	3.73	7.23E-06	1.42E-03
carboxylic acid catabolic process (GO:0046395)	233	16	4.29	+	3.73	7.23E-06	1.40E-03
regulation of protein localization to nucleus (GO:1900180)	147	10	2.71	+	3.69	4.05E-04	3.40E-02
regulation of response to biotic stimulus (GO:0002831)	576	39	10.61	+	3.68	2.65E-12	2.44E-09
cellular response to tumor necrosis factor (GO:0071356)	148	10	2.73	+	3.67	4.27E-04	3.54E-02
small molecule catabolic process (GO:0044282)	357	24	6.57	+	3.65	5.64E-08	2.45E-05
innate immune response (GO:0045087)	800	52	14.73	+	3.53	2.21E-15	4.67E-12
response to tumor necrosis factor (GO:0034612)	170	11	3.13	+	3.51	3.24E-04	2.87E-02
regulation of innate immune response (GO:0045088)	483	30	8.89	+	3.37	7.39E-09	3.76E-06
regulation of production of molecular mediator of immune response (GO:0002700)	197	12	3.63	+	3.31	3.07E-04	2.74E-02
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	181	11	3.33	+	3.30	5.52E-04	4.26E-02
fatty acid metabolic process (GO:0006631)	331	20	6.10	+	3.28	3.78E-06	8.20E-04
regulation of response to cytokine stimulus (GO:0060759)	186	11	3.43	+	3.21	6.92E-04	4.98E-02
negative regulation of cytokine production (GO:0001818)	308	18	5.67	+	3.17	1.81E-05	2.96E-03
defense response to other organism (GO:0098542)	924	54	17.02	+	3.17	4.95E-14	6.65E-11
defense response to symbiont (GO:0140546)	908	52	16.72	+	3.11	3.39E-13	3.85E-10
carboxylic acid biosynthetic process (GO:0046394)	288	16	5.30	+	3.02	9.53E-05	1.20E-02
lipid catabolic process (GO:0016042)	307	17	5.65	+	3.01	6.04E-05	8.18E-03
monocarboxylic acid metabolic process (GO:0032787)	526	29	9.69	+	2.99	1.73E-07	5.93E-05
negative regulation of immune system process (GO:0002683)	546	30	10.06	+	2.98	1.13E-07	4.29E-05
organic acid biosynthetic process (GO:0016053)	292	16	5.38	+	2.98	1.12E-04	1.39E-02
negative regulation of defense response (GO:0031348)	277	15	5.10	+	2.94	2.07E-04	2.06E-02
actin filament organization (GO:0007015)	280	15	5.16	+	2.91	2.32E-04	2.23E-02
response to other organism (GO:0051707)	1457	78	26.83	+	2.91	6.30E-18	9.29E-14
regulation of leukocyte mediated immunity (GO:0002703)	262	14	4.82	+	2.90	3.82E-04	3.22E-02
response to external biotic stimulus (GO:0043207)	1460	78	26.89	+	2.90	7.08E-18	5.23E-14
carboxylic acid metabolic process (GO:0019752)	802	42	14.77	+	2.84	1.19E-09	7.65E-07
response to biotic stimulus (GO:0009607)	1507	78	27.75	+	2.81	4.31E-17	1.27E-13
alcohol metabolic process (GO:0006066)	310	16	5.71	+	2.80	2.21E-04	2.15E-02
oxoacid metabolic process (GO:0043436)	824	42	15.17	+	2.77	2.66E-09	1.57E-06
organic acid metabolic process (GO:0006082)	833	42	15.34	+	2.74	3.65E-09	2.00E-06
biological process involved in interspecies interaction between organisms (GO:0044419)	1627	82	29.96	+	2.74	2.67E-17	9.84E-14
negative regulation of cell adhesion (GO:0007162)	300	15	5.52	+	2.72	4.82E-04	3.85E-02
response to peptide (GO:1901652)	865	43	15.93	+	2.70	3.57E-09	2.03E-06
positive regulation of response to biotic stimulus (GO:0002833)	342	17	6.30	+	2.70	2.22E-04	2.14E-02
response to cytokine (GO:0034097)	848	42	15.62	+	2.69	6.14E-09	3.23E-06
negative regulation of response to external stimulus (GO:0032102)	404	20	7.44	+	2.69	6.68E-05	8.87E-03
regulation of apoptotic signaling pathway (GO:2001233)	389	19	7.16	+	2.65	1.21E-04	1.40E-02
regulation of defense response (GO:0031347)	863	42	15.89	+	2.64	1.02E-08	5.00E-06
cellular response to abiotic stimulus (GO:0071214)	336	16	6.19	+	2.59	5.39E-04	4.23E-02
cellular response to environmental stimulus (GO:0104004)	336	16	6.19	+	2.59	5.39E-04	4.21E-02
defense response (GO:0006952)	1527	72	28.12	+	2.56	1.02E-13	1.25E-10
response to external stimulus (GO:0009605)	2003	94	36.89	+	2.55	7.32E-18	3.60E-14
endocytosis (GO:0006897)	512	24	9.43	+	2.55	3.06E-05	4.80E-03
regulation of immune effector process (GO:0002697)	414	19	7.62	+	2.49	2.67E-04	2.46E-02
regulation of cytokine production (GO:0001817)	807	37	14.86	+	2.49	5.84E-07	1.69E-04
positive regulation of cytokine production (GO:0001819)	506	23	9.32	+	2.47	7.14E-05	9.40E-03
lipid biosynthetic process (GO:0008610)	596	27	10.98	+	2.46	1.79E-05	2.97E-03
negative regulation of intracellular signal transduction (GO:1902532)	761	34	14.01	+	2.43	2.49E-06	5.84E-04
amide metabolic process (GO:0043603)	431	19	7.94	+	2.39	4.39E-04	3.60E-02
response to bacterium (GO:0009617)	704	31	12.96	+	2.39	9.14E-06	1.59E-03
negative regulation of transport (GO:0051051)	409	18	7.53	+	2.39	6.28E-04	4.73E-02
positive regulation of defense response (GO:0031349)	457	20	8.42	+	2.38	5.29E-04	4.17E-02
regulation of response to external stimulus (GO:0032101)	1122	49	20.66	+	2.37	2.92E-08	1.35E-05
regulation of immune response (GO:0050776)	1033	45	19.02	+	2.37	8.11E-08	3.33E-05
small molecule metabolic process (GO:0044281)	1567	68	28.86	+	2.36	2.69E-11	1.98E-08
immune response (GO:0006955)	1753	75	32.28	+	2.32	4.74E-12	3.88E-09
nucleoside phosphate metabolic process (GO:0006753)	588	25	10.83	+	2.31	1.16E-04	1.42E-02
