




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (379)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
actin cytoskeleton organization (GO:0030036)	546	23	10.06	+	2.29	2.52E-04	2.39E-02
positive regulation of apoptotic process (GO:0043065)	525	22	9.67	+	2.28	3.71E-04	3.16E-02
positive regulation of programmed cell death (GO:0043068)	549	23	10.11	+	2.27	2.68E-04	2.46E-02
cellular response to cytokine stimulus (GO:0071345)	751	31	13.83	+	2.24	3.67E-05	5.59E-03
positive regulation of response to external stimulus (GO:0032103)	582	24	10.72	+	2.24	2.36E-04	2.25E-02
negative regulation of cell population proliferation (GO:0008285)	704	29	12.96	+	2.24	7.41E-05	9.67E-03
lipid metabolic process (GO:0006629)	1217	50	22.41	+	2.23	1.10E-07	4.40E-05
nucleobase-containing small molecule metabolic process (GO:0055086)	612	25	11.27	+	2.22	1.97E-04	2.01E-02
cellular response to nitrogen compound (GO:1901699)	615	25	11.33	+	2.21	3.20E-04	2.84E-02
positive regulation of immune response (GO:0050778)	689	28	12.69	+	2.21	1.16E-04	1.41E-02
membrane organization (GO:0061024)	789	32	14.53	+	2.20	3.27E-05	5.02E-03
positive regulation of immune system process (GO:0002684)	1045	42	19.24	+	2.18	2.32E-06	5.53E-04
import into cell (GO:0098657)	706	28	13.00	+	2.15	1.51E-04	1.64E-02
organophosphate metabolic process (GO:0019637)	988	39	18.19	+	2.14	8.01E-06	1.44E-03
vesicle-mediated transport (GO:0016192)	1321	51	24.33	+	2.10	6.53E-07	1.85E-04
immune system process (GO:0002376)	2436	94	44.86	+	2.10	1.63E-12	1.60E-09
actin filament-based process (GO:0030029)	622	24	11.45	+	2.10	6.74E-04	4.97E-02
regulation of response to stress (GO:0080134)	1455	56	26.80	+	2.09	1.42E-07	5.12E-05
negative regulation of signal transduction (GO:0009968)	1423	53	26.21	+	2.02	9.85E-07	2.69E-04
regulation of immune system process (GO:0002682)	1661	61	30.59	+	1.99	1.82E-07	5.96E-05
response to abiotic stimulus (GO:0009628)	1146	42	21.10	+	1.99	2.13E-05	3.46E-03
negative regulation of cell communication (GO:0010648)	1518	55	27.96	+	1.97	1.32E-06	3.55E-04
negative regulation of signaling (GO:0023057)	1518	55	27.96	+	1.97	1.32E-06	3.49E-04
negative regulation of response to stimulus (GO:0048585)	1768	64	32.56	+	1.97	1.46E-07	5.13E-05
negative regulation of gene expression (GO:0010629)	1056	38	19.45	+	1.95	8.25E-05	1.06E-02
phosphate-containing compound metabolic process (GO:0006796)	1412	50	26.00	+	1.92	7.97E-06	1.45E-03
phosphorus metabolic process (GO:0006793)	1415	50	26.06	+	1.92	8.30E-06	1.48E-03
cellular response to oxygen-containing compound (GO:1901701)	1086	36	20.00	+	1.80	6.69E-04	4.98E-02
catabolic process (GO:0009056)	2077	68	38.25	+	1.78	2.58E-06	5.95E-04
regulation of programmed cell death (GO:0043067)	1534	50	28.25	+	1.77	9.80E-05	1.23E-02
regulation of apoptotic process (GO:0042981)	1478	48	27.22	+	1.76	1.18E-04	1.41E-02
response to oxygen-containing compound (GO:1901700)	1577	51	29.04	+	1.76	8.19E-05	1.06E-02
regulation of localization (GO:0032879)	2019	65	37.18	+	1.75	7.32E-06	1.40E-03
response to stress (GO:0006950)	3577	113	65.87	+	1.72	1.77E-09	1.09E-06
establishment of localization in cell (GO:0051649)	1662	52	30.61	+	1.70	1.78E-04	1.86E-02
regulation of intracellular signal transduction (GO:1902531)	2034	63	37.46	+	1.68	3.81E-05	5.63E-03
cellular response to chemical stimulus (GO:0070887)	2010	62	37.02	+	1.67	5.08E-05	7.21E-03
regulation of transport (GO:0051049)	1605	49	29.56	+	1.66	4.55E-04	3.71E-02
positive regulation of signal transduction (GO:0009967)	1619	49	29.82	+	1.64	6.72E-04	4.99E-02
cellular localization (GO:0051641)	2008	60	36.98	+	1.62	1.59E-04	1.71E-02
positive regulation of response to stimulus (GO:0048584)	2316	69	42.65	+	1.62	5.17E-05	7.27E-03
regulation of signal transduction (GO:0009966)	3130	90	57.64	+	1.56	1.28E-05	2.16E-03
regulation of response to stimulus (GO:0048583)	4142	114	76.28	+	1.49	3.81E-06	8.03E-04
negative regulation of biological process (GO:0048519)	5381	148	99.10	+	1.49	3.23E-08	1.44E-05
regulation of cellular component organization (GO:0051128)	2512	69	46.26	+	1.49	6.25E-04	4.75E-02
regulation of signaling (GO:0023051)	3579	98	65.91	+	1.49	2.79E-05	4.43E-03
regulation of cell communication (GO:0010646)	3583	98	65.98	+	1.49	3.68E-05	5.54E-03
response to chemical (GO:0042221)	3736	101	68.80	+	1.47	3.72E-05	5.55E-03
negative regulation of cellular process (GO:0048523)	5145	136	94.75	+	1.44	1.99E-06	4.89E-04
positive regulation of cellular process (GO:0048522)	5828	141	107.33	+	1.31	1.75E-04	1.84E-02
positive regulation of biological process (GO:0048518)	6174	148	113.70	+	1.30	1.46E-04	1.59E-02
response to stimulus (GO:0050896)	8315	198	153.13	+	1.29	3.02E-06	6.86E-04
metabolic process (GO:0008152)	7644	176	140.77	+	1.25	2.06E-04	2.07E-02
cellular process (GO:0009987)	15556	327	286.48	+	1.14	3.30E-07	1.01E-04
biological_process (GO:0008150)	17753	352	326.94	+	1.08	6.02E-05	8.22E-03
Unclassified (UNCLASSIFIED)	2827	27	52.06	-	.52	6.02E-05	8.30E-03
nucleic acid metabolic process (GO:0090304)	2201	21	40.53	-	.52	5.45E-04	4.24E-02
RNA biosynthetic process (GO:0032774)	1414	10	26.04	-	.38	4.30E-04	3.54E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	437	0	8.05	-	 < 0.01	4.63E-04	3.74E-02
detection of chemical stimulus involved in sensory perception (GO:0050907)	485	0	8.93	-	 < 0.01	2.14E-04	2.09E-02
