




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (437)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
purine nucleoside triphosphate biosynthetic process (GO:0009145)	98	11	2.08	+	5.29	7.44E-06	1.06E-03
purine ribonucleotide biosynthetic process (GO:0009152)	147	16	3.12	+	5.13	9.96E-08	2.78E-05
ribonucleoside triphosphate biosynthetic process (GO:0009201)	103	11	2.19	+	5.03	1.21E-05	1.68E-03
mRNA splicing, via spliceosome (GO:0000398)	272	29	5.78	+	5.02	1.03E-12	7.13E-10
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	272	29	5.78	+	5.02	1.03E-12	6.81E-10
oxidative phosphorylation (GO:0006119)	114	12	2.42	+	4.96	5.65E-06	8.56E-04
RNA splicing, via transesterification reactions (GO:0000375)	277	29	5.88	+	4.93	1.63E-12	9.89E-10
aerobic electron transport chain (GO:0019646)	86	9	1.83	+	4.93	8.76E-05	9.50E-03
nucleotide biosynthetic process (GO:0009165)	212	22	4.50	+	4.89	9.89E-10	4.36E-07
ribonucleoprotein complex biogenesis (GO:0022613)	485	50	10.30	+	4.86	1.68E-20	2.71E-17
mRNA transport (GO:0051028)	136	14	2.89	+	4.85	1.24E-06	2.23E-04
ribose phosphate biosynthetic process (GO:0046390)	169	17	3.59	+	4.74	1.27E-07	3.29E-05
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	90	9	1.91	+	4.71	1.25E-04	1.26E-02
ATP synthesis coupled electron transport (GO:0042773)	90	9	1.91	+	4.71	1.25E-04	1.25E-02
RNA transport (GO:0050658)	161	16	3.42	+	4.68	3.51E-07	8.24E-05
nucleic acid transport (GO:0050657)	161	16	3.42	+	4.68	3.51E-07	8.11E-05
nucleoside triphosphate biosynthetic process (GO:0009142)	112	11	2.38	+	4.63	2.67E-05	3.38E-03
establishment of RNA localization (GO:0051236)	163	16	3.46	+	4.62	4.16E-07	9.16E-05
ribonucleotide biosynthetic process (GO:0009260)	163	16	3.46	+	4.62	4.16E-07	9.02E-05
regulation of mRNA splicing, via spliceosome (GO:0048024)	125	12	2.65	+	4.52	1.46E-05	2.00E-03
rRNA processing (GO:0006364)	227	21	4.82	+	4.36	1.86E-08	5.63E-06
RNA export from nucleus (GO:0006405)	87	8	1.85	+	4.33	5.24E-04	4.20E-02
purine-containing compound biosynthetic process (GO:0072522)	242	22	5.14	+	4.28	1.17E-08	3.62E-06
RNA localization (GO:0006403)	189	17	4.01	+	4.24	6.31E-07	1.24E-04
negative regulation of mRNA metabolic process (GO:1903312)	123	11	2.61	+	4.21	6.37E-05	7.35E-03
aerobic respiration (GO:0009060)	203	18	4.31	+	4.18	3.66E-07	8.31E-05
cytoplasmic translation (GO:0002181)	136	12	2.89	+	4.16	3.41E-05	4.24E-03
import into nucleus (GO:0051170)	125	11	2.65	+	4.14	7.39E-05	8.07E-03
ribosomal small subunit biogenesis (GO:0042274)	114	10	2.42	+	4.13	1.60E-04	1.53E-02
regulation of mRNA processing (GO:0050684)	149	13	3.16	+	4.11	1.83E-05	2.48E-03
electron transport chain (GO:0022900)	116	10	2.46	+	4.06	1.85E-04	1.73E-02
respiratory electron transport chain (GO:0022904)	106	9	2.25	+	4.00	4.31E-04	3.69E-02
protein import into nucleus (GO:0006606)	118	10	2.51	+	3.99	2.13E-04	1.97E-02
rRNA metabolic process (GO:0016072)	272	23	5.78	+	3.98	2.13E-08	6.33E-06
nucleoside phosphate biosynthetic process (GO:1901293)	297	25	6.31	+	3.96	5.65E-09	2.11E-06
protein folding (GO:0006457)	228	19	4.84	+	3.92	4.54E-07	9.44E-05
ribosome biogenesis (GO:0042254)	322	26	6.84	+	3.80	6.66E-09	2.36E-06
nuclear export (GO:0051168)	137	11	2.91	+	3.78	1.68E-04	1.60E-02
nucleus organization (GO:0006997)	150	12	3.19	+	3.77	8.89E-05	9.57E-03
RNA splicing (GO:0008380)	392	31	8.32	+	3.72	3.79E-10	1.78E-07
purine nucleotide metabolic process (GO:0006163)	369	29	7.84	+	3.70	1.64E-09	6.81E-07
cellular respiration (GO:0045333)	230	18	4.88	+	3.69	2.25E-06	3.72E-04
pyridine-containing compound metabolic process (GO:0072524)	128	10	2.72	+	3.68	4.11E-04	3.55E-02
nucleobase-containing compound transport (GO:0015931)	232	18	4.93	+	3.65	2.55E-06	4.11E-04
establishment of protein localization to organelle (GO:0072594)	352	27	7.47	+	3.61	1.02E-08	3.21E-06
ATP metabolic process (GO:0046034)	170	13	3.61	+	3.60	7.27E-05	8.00E-03
nucleocytoplasmic transport (GO:0006913)	249	19	5.29	+	3.59	1.72E-06	2.95E-04
nuclear transport (GO:0051169)	250	19	5.31	+	3.58	1.83E-06	3.09E-04
mRNA processing (GO:0006397)	479	36	10.17	+	3.54	5.81E-11	3.02E-08
protein localization to nucleus (GO:0034504)	200	15	4.25	+	3.53	2.59E-05	3.30E-03
response to nutrient (GO:0007584)	147	11	3.12	+	3.52	3.11E-04	2.79E-02
nucleotide metabolic process (GO:0009117)	428	32	9.09	+	3.52	8.02E-10	3.64E-07
proton transmembrane transport (GO:1902600)	189	14	4.01	+	3.49	5.48E-05	6.37E-03
RNA processing (GO:0006396)	904	65	19.20	+	3.39	4.44E-18	5.86E-15
purine ribonucleotide metabolic process (GO:0009150)	294	21	6.24	+	3.36	1.44E-06	2.52E-04
ribose phosphate metabolic process (GO:0019693)	322	23	6.84	+	3.36	4.54E-07	9.56E-05
ossification (GO:0001503)	272	19	5.78	+	3.29	6.28E-06	9.40E-04
ribonucleotide metabolic process (GO:0009259)	315	22	6.69	+	3.29	1.18E-06	2.14E-04
purine nucleoside triphosphate metabolic process (GO:0009144)	201	14	4.27	+	3.28	1.06E-04	1.09E-02
energy derivation by oxidation of organic compounds (GO:0015980)	304	21	6.46	+	3.25	2.45E-06	4.00E-04
protein biosynthetic process (GO:0160307)	394	27	8.37	+	3.23	1.05E-07	2.83E-05
translation (GO:0006412)	394	27	8.37	+	3.23	1.05E-07	2.78E-05
purine-containing compound metabolic process (GO:0072521)	507	34	10.77	+	3.16	3.88E-09	1.52E-06
purine ribonucleoside triphosphate metabolic process (GO:0009205)	194	13	4.12	+	3.16	2.72E-04	2.48E-02
regulation of RNA splicing (GO:0043484)	199	13	4.23	+	3.08	3.47E-04	3.04E-02
mRNA metabolic process (GO:0016071)	643	42	13.65	+	3.08	1.17E-10	5.88E-08
nucleoside phosphate metabolic process (GO:0006753)	579	37	12.29	+	3.01	2.88E-09	1.16E-06
nucleoside triphosphate metabolic process (GO:0009141)	220	14	4.67	+	3.00	2.73E-04	2.48E-02
amino acid metabolic process (GO:0006520)	284	18	6.03	+	2.98	4.02E-05	4.83E-03
generation of precursor metabolites and energy (GO:0006091)	366	23	7.77	+	2.96	4.04E-06	6.32E-04
nucleobase-containing compound biosynthetic process (GO:0034654)	1736	107	36.86	+	2.90	1.58E-24	4.60E-21
nucleobase-containing small molecule metabolic process (GO:0055086)	605	37	12.85	+	2.88	9.29E-09	3.21E-06
regulation of mRNA metabolic process (GO:1903311)	347	21	7.37	+	2.85	1.87E-05	2.51E-03
RNA biosynthetic process (GO:0032774)	1350	81	28.67	+	2.83	1.07E-17	1.30E-14
RNA metabolic process (GO:0016070)	1523	89	32.34	+	2.75	9.93E-19	1.44E-15
nucleic acid biosynthetic process (GO:0141187)	1439	84	30.56	+	2.75	1.24E-17	1.38E-14
organophosphate biosynthetic process (GO:0090407)	568	32	12.06	+	2.65	6.04E-07	1.20E-04
gene expression (GO:0010467)	2582	137	54.83	+	2.50	1.64E-25	7.93E-22
nucleobase-containing compound metabolic process (GO:0006139)	2745	141	58.29	+	2.42	5.49E-25	2.00E-21
small molecule catabolic process (GO:0044282)	352	18	7.47	+	2.41	5.74E-04	4.58E-02
regulation of translation (GO:0006417)	372	19	7.90	+	2.41	4.13E-04	3.55E-02
protein localization to organelle (GO:0033365)	709	36	15.06	+	2.39	1.58E-06	2.73E-04
protein-containing complex assembly (GO:0065003)	1337	67	28.39	+	2.36	4.65E-11	2.51E-08
nucleic acid metabolic process (GO:0090304)	2180	106	46.29	+	2.29	1.46E-16	1.51E-13
macromolecule biosynthetic process (GO:0009059)	2970	143	63.07	+	2.27	1.50E-22	3.12E-19
biosynthetic process (GO:0009058)	4033	193	85.64	+	2.25	3.36E-32	4.88E-28
