




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (379)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	49	6	.90	+	6.65	2.69E-04	9.19E-03
cytosolic region (GO:0099522)	41	5	.76	+	6.62	8.96E-04	2.58E-02
lysosomal lumen (GO:0043202)	100	11	1.84	+	5.97	2.34E-06	1.57E-04
lumenal side of membrane (GO:0098576)	47	5	.87	+	5.78	1.68E-03	3.93E-02
phagocytic vesicle membrane (GO:0030670)	82	8	1.51	+	5.30	1.34E-04	5.18E-03
collagen trimer (GO:0005581)	86	7	1.58	+	4.42	1.05E-03	2.86E-02
actomyosin (GO:0042641)	93	7	1.71	+	4.09	1.66E-03	3.94E-02
phagocytic vesicle (GO:0045335)	148	11	2.73	+	4.04	9.62E-05	4.04E-03
vacuolar lumen (GO:0005775)	179	13	3.30	+	3.94	2.90E-05	1.54E-03
cytoplasmic side of plasma membrane (GO:0009898)	162	11	2.98	+	3.69	2.14E-04	7.44E-03
endocytic vesicle membrane (GO:0030666)	208	14	3.83	+	3.65	3.35E-05	1.69E-03
extrinsic component of membrane (GO:0019898)	168	10	3.09	+	3.23	1.14E-03	3.03E-02
focal adhesion (GO:0005925)	423	24	7.79	+	3.08	1.24E-06	1.00E-04
cytoplasmic side of membrane (GO:0098562)	214	12	3.94	+	3.04	6.44E-04	1.88E-02
cell-substrate junction (GO:0030055)	433	24	7.97	+	3.01	1.86E-06	1.39E-04
cell cortex (GO:0005938)	324	17	5.97	+	2.85	1.17E-04	4.80E-03
lytic vacuole membrane (GO:0098852)	463	24	8.53	+	2.81	5.87E-06	3.82E-04
lysosomal membrane (GO:0005765)	463	24	8.53	+	2.81	5.87E-06	3.70E-04
early endosome membrane (GO:0031901)	213	11	3.92	+	2.80	2.06E-03	4.68E-02
vacuole (GO:0005773)	892	46	16.43	+	2.80	2.96E-10	5.43E-08
mitochondrial outer membrane (GO:0005741)	233	12	4.29	+	2.80	1.35E-03	3.35E-02
lytic vacuole (GO:0000323)	797	41	14.68	+	2.79	3.20E-09	4.03E-07
lysosome (GO:0005764)	797	41	14.68	+	2.79	3.20E-09	3.80E-07
endocytic vesicle (GO:0030139)	360	18	6.63	+	2.72	1.36E-04	5.06E-03
organelle outer membrane (GO:0031968)	263	13	4.84	+	2.68	1.25E-03	3.24E-02
vacuolar membrane (GO:0005774)	508	25	9.36	+	2.67	9.21E-06	5.31E-04
outer membrane (GO:0019867)	265	13	4.88	+	2.66	1.34E-03	3.38E-02
extracellular matrix (GO:0031012)	485	23	8.93	+	2.58	3.74E-05	1.80E-03
actin cytoskeleton (GO:0015629)	544	25	10.02	+	2.50	2.90E-05	1.50E-03
external encapsulating structure (GO:0030312)	501	23	9.23	+	2.49	6.14E-05	2.70E-03
late endosome (GO:0005770)	331	15	6.10	+	2.46	1.31E-03	3.34E-02
perinuclear region of cytoplasm (GO:0048471)	755	34	13.90	+	2.45	2.25E-06	1.56E-04
early endosome (GO:0005769)	450	20	8.29	+	2.41	2.81E-04	9.45E-03
endosome membrane (GO:0010008)	595	25	10.96	+	2.28	1.35E-04	5.14E-03
extracellular exosome (GO:0070062)	2102	88	38.71	+	2.27	1.16E-13	4.70E-11
extracellular vesicle (GO:1903561)	2131	88	39.24	+	2.24	3.34E-13	1.12E-10
extracellular organelle (GO:0043230)	2132	88	39.26	+	2.24	3.38E-13	9.74E-11
extracellular membrane-bounded organelle (GO:0065010)	2132	88	39.26	+	2.24	3.38E-13	8.52E-11
vesicle membrane (GO:0012506)	1294	52	23.83	+	2.18	1.46E-07	1.34E-05
cytoplasmic vesicle membrane (GO:0030659)	1273	51	23.44	+	2.18	2.15E-07	1.88E-05
bounding membrane of organelle (GO:0098588)	2283	91	42.04	+	2.16	6.32E-13	1.42E-10
endosome (GO:0005768)	1107	44	20.39	+	2.16	1.52E-06	1.18E-04
anchoring junction (GO:0070161)	918	36	16.91	+	2.13	2.23E-05	1.22E-03
side of membrane (GO:0098552)	739	28	13.61	+	2.06	3.70E-04	1.17E-02
vesicle (GO:0031982)	4083	146	75.19	+	1.94	2.87E-17	1.93E-14
cytoplasmic vesicle (GO:0031410)	2614	90	48.14	+	1.87	2.97E-09	4.28E-07
intracellular vesicle (GO:0097708)	2622	90	48.29	+	1.86	3.18E-09	4.28E-07
cytosol (GO:0005829)	5617	192	103.44	+	1.86	2.47E-22	2.49E-19
extracellular space (GO:0005615)	3225	106	59.39	+	1.78	8.06E-10	1.36E-07
organelle subcompartment (GO:0031984)	1592	52	29.32	+	1.77	5.68E-05	2.60E-03
Golgi apparatus (GO:0005794)	1693	54	31.18	+	1.73	6.53E-05	2.81E-03
endoplasmic reticulum membrane (GO:0005789)	1260	39	23.20	+	1.68	1.55E-03	3.82E-02
endoplasmic reticulum subcompartment (GO:0098827)	1266	39	23.31	+	1.67	1.61E-03	3.92E-02
endoplasmic reticulum (GO:0005783)	2120	63	39.04	+	1.61	1.55E-04	5.67E-03
organelle membrane (GO:0031090)	3879	115	71.44	+	1.61	5.93E-08	5.98E-06
endomembrane system (GO:0012505)	4956	143	91.27	+	1.57	2.87E-09	4.45E-07
cell junction (GO:0030054)	2441	69	44.95	+	1.53	2.83E-04	9.37E-03
extracellular region (GO:0005576)	4287	118	78.95	+	1.49	2.00E-06	1.44E-04
cytoplasm (GO:0005737)	12419	328	228.71	+	1.43	1.52E-29	3.08E-26
cell periphery (GO:0071944)	6541	150	120.46	+	1.25	1.22E-03	3.20E-02
intracellular anatomical structure (GO:0005622)	15126	343	278.56	+	1.23	9.91E-17	5.00E-14
organelle (GO:0043226)	14290	320	263.16	+	1.22	1.35E-11	2.73E-09
membrane-bounded organelle (GO:0043227)	13453	300	247.75	+	1.21	4.23E-09	4.75E-07
intracellular organelle (GO:0043229)	13467	299	248.01	+	1.21	8.49E-09	9.02E-07
intracellular membrane-bounded organelle (GO:0043231)	12348	273	227.40	+	1.20	1.00E-06	8.40E-05
membrane (GO:0016020)	9837	215	181.16	+	1.19	4.93E-04	1.46E-02
cellular anatomical structure (GO:0110165)	18867	366	347.45	+	1.05	1.57E-04	5.65E-03
cellular_component (GO:0005575)	18952	366	349.02	+	1.05	4.92E-04	1.50E-02
Unclassified (UNCLASSIFIED)	1628	13	29.98	-	.43	4.92E-04	1.48E-02
chromosome (GO:0005694)	2006	15	36.94	-	.41	3.36E-05	1.65E-03
chromatin (GO:0000785)	1399	9	25.76	-	.35	1.76E-04	6.24E-03
