




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (379)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
GMP reductase complex (GO:1902560)	2	2	.04	+	54.30	3.38E-04	1.10E-02
ISGF3 complex (GO:0070721)	3	3	.06	+	54.30	6.20E-06	3.79E-04
TAP complex (GO:0042825)	2	2	.04	+	54.30	3.38E-04	1.08E-02
MHC class I peptide loading complex (GO:0042824)	8	5	.15	+	33.94	1.10E-07	1.06E-05
spermatoproteasome complex (GO:1990111)	5	3	.09	+	32.58	6.03E-05	2.70E-03
migrasome (GO:0140494)	6	3	.11	+	27.15	1.19E-04	4.80E-03
actin cap (GO:0030478)	4	2	.07	+	27.15	1.98E-03	4.59E-02
LUBAC complex (GO:0071797)	4	2	.07	+	27.15	1.98E-03	4.54E-02
MHC class I protein complex (GO:0042612)	9	4	.17	+	24.13	1.33E-05	7.43E-04
proteasome core complex, beta-subunit complex (GO:0019774)	11	3	.20	+	14.81	9.16E-04	2.60E-02
fibrillar collagen trimer (GO:0005583)	11	3	.20	+	14.81	9.16E-04	2.57E-02
fibrillar collagen (GO:0098643)	11	3	.20	+	14.81	9.16E-04	2.53E-02
complex of collagen trimers (GO:0098644)	27	5	.50	+	10.06	1.19E-04	4.72E-03
heterotrimeric G-protein complex (GO:0005834)	35	6	.64	+	9.31	3.87E-05	1.82E-03
GTPase complex (GO:1905360)	41	7	.76	+	9.27	8.91E-06	5.29E-04
MHC protein complex (GO:0042611)	25	4	.46	+	8.69	1.05E-03	2.84E-02
presynaptic cytosol (GO:0099523)	28	4	.52	+	7.76	1.63E-03	3.92E-02
lumenal side of endoplasmic reticulum membrane (GO:0098553)	36	5	.66	+	7.54	4.86E-04	1.51E-02
