




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (18)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)	186	1	.16	+	6.15	1.51E-01	1.00E00
molecular function inhibitor activity (GO:0140678)	610	3	.53	+	5.62	1.52E-02	1.00E00
lyase activity (GO:0016829)	204	1	.18	+	5.60	1.64E-01	1.00E00
cytokine activity (GO:0005125)	239	1	.21	+	4.78	1.90E-01	1.00E00
glycosaminoglycan binding (GO:0005539)	239	1	.21	+	4.78	1.90E-01	1.00E00
catalytic activity, acting on DNA (GO:0140097)	259	1	.23	+	4.41	2.04E-01	1.00E00
protein kinase regulator activity (GO:0019887)	267	1	.23	+	4.28	2.10E-01	1.00E00
cytokine receptor binding (GO:0005126)	276	1	.24	+	4.14	2.16E-01	1.00E00
GTPase activator activity (GO:0005096)	277	1	.24	+	4.13	2.17E-01	1.00E00
enzyme regulator activity (GO:0030234)	1398	5	1.22	+	4.09	5.83E-03	1.00E00
small GTPase binding (GO:0031267)	287	1	.25	+	3.98	2.23E-01	1.00E00
lipid binding (GO:0008289)	870	3	.76	+	3.94	3.82E-02	1.00E00
G protein-coupled receptor binding (GO:0001664)	299	1	.26	+	3.82	2.32E-01	1.00E00
kinase regulator activity (GO:0019207)	301	1	.26	+	3.80	2.33E-01	1.00E00
GTPase binding (GO:0051020)	322	1	.28	+	3.55	2.47E-01	1.00E00
protein domain specific binding (GO:0019904)	651	2	.57	+	3.51	1.10E-01	1.00E00
enzyme activator activity (GO:0008047)	657	2	.57	+	3.48	1.11E-01	1.00E00
oxidoreductase activity (GO:0016491)	674	2	.59	+	3.39	1.16E-01	1.00E00
molecular function activator activity (GO:0140677)	1256	3	1.10	+	2.73	9.33E-02	1.00E00
isomerase activity (GO:0016853)	434	1	.38	+	2.63	3.19E-01	1.00E00
molecular function regulator activity (GO:0098772)	2386	5	2.09	+	2.40	4.92E-02	1.00E00
GTPase regulator activity (GO:0030695)	496	1	.43	+	2.31	3.56E-01	1.00E00
nucleoside-triphosphatase regulator activity (GO:0060589)	496	1	.43	+	2.31	3.56E-01	1.00E00
receptor ligand activity (GO:0048018)	559	1	.49	+	2.05	3.91E-01	1.00E00
signaling receptor activator activity (GO:0030546)	569	1	.50	+	2.01	3.96E-01	1.00E00
ATP-dependent activity (GO:0140657)	582	1	.51	+	1.96	4.03E-01	1.00E00
transition metal ion binding (GO:0046914)	2431	4	2.13	+	1.88	1.55E-01	1.00E00
ion binding (GO:0043167)	6172	10	5.40	+	1.85	3.51E-02	1.00E00
chromatin binding (GO:0003682)	620	1	.54	+	1.84	4.24E-01	1.00E00
signaling receptor regulator activity (GO:0030545)	622	1	.54	+	1.84	4.25E-01	1.00E00
small molecule binding (GO:0036094)	6359	10	5.56	+	1.80	3.74E-02	1.00E00
cation binding (GO:0043169)	4532	7	3.96	+	1.77	9.15E-02	1.00E00
catalytic activity, acting on a nucleic acid (GO:0140640)	669	1	.59	+	1.71	4.48E-01	1.00E00
protein kinase binding (GO:0019901)	702	1	.61	+	1.63	4.65E-01	1.00E00
zinc ion binding (GO:0008270)	2154	3	1.88	+	1.59	4.26E-01	1.00E00
identical protein binding (GO:0042802)	2216	3	1.94	+	1.55	4.34E-01	1.00E00
metal ion binding (GO:0046872)	4433	6	3.88	+	1.55	2.49E-01	1.00E00
ATP binding (GO:0005524)	1478	2	1.29	+	1.55	3.74E-01	1.00E00
carbohydrate derivative binding (GO:0097367)	2253	3	1.97	+	1.52	4.38E-01	1.00E00
adenyl ribonucleotide binding (GO:0032559)	1520	2	1.33	+	1.50	3.88E-01	1.00E00
signaling receptor binding (GO:0005102)	1543	2	1.35	+	1.48	6.41E-01	1.00E00
kinase binding (GO:0019900)	782	1	.68	+	1.46	5.02E-01	1.00E00
adenyl nucleotide binding (GO:0030554)	1616	2	1.41	+	1.42	6.48E-01	1.00E00
structural molecule activity (GO:0005198)	812	1	.71	+	1.41	5.16E-01	1.00E00
anion binding (GO:0043168)	2463	3	2.15	+	1.39	4.68E-01	1.00E00
RNA binding (GO:0003723)	1689	2	1.48	+	1.35	6.55E-01	1.00E00
protein binding (GO:0005515)	14817	17	12.96	+	1.31	3.43E-02	1.00E00
transferase activity, transferring phosphorus-containing groups (GO:0016772)	901	1	.79	+	1.27	5.53E-01	1.00E00
purine ribonucleoside triphosphate binding (GO:0035639)	1823	2	1.59	+	1.25	6.70E-01	1.00E00
binding (GO:0005488)	16779	18	14.68	+	1.23	6.00E-02	1.00E00
purine ribonucleotide binding (GO:0032555)	1871	2	1.64	+	1.22	6.76E-01	1.00E00
ribonucleotide binding (GO:0032553)	1888	2	1.65	+	1.21	6.78E-01	1.00E00
purine nucleotide binding (GO:0017076)	1968	2	1.72	+	1.16	6.88E-01	1.00E00
nucleic acid binding (GO:0003676)	3994	4	3.49	+	1.15	7.65E-01	1.00E00
cytoskeletal protein binding (GO:0008092)	1008	1	.88	+	1.13	5.95E-01	1.00E00
molecular_function (GO:0003674)	18310	18	16.01	+	1.12	2.51E-01	1.00E00
enzyme binding (GO:0019899)	2121	2	1.86	+	1.08	7.08E-01	1.00E00
nucleotide binding (GO:0000166)	2132	2	1.86	+	1.07	7.09E-01	1.00E00
nucleoside phosphate binding (GO:1901265)	2151	2	1.88	+	1.06	7.12E-01	1.00E00
catalytic activity (GO:0003824)	5609	5	4.91	+	1.02	1.00E00	1.00E00
transmembrane transporter activity (GO:0022857)	1131	1	.99	+	1.01	1.00E00	1.00E00
heterocyclic compound binding (GO:1901363)	2277	2	1.99	+	1.00	1.00E00	1.00E00
transporter activity (GO:0005215)	1256	1	1.10	-	.91	1.00E00	1.00E00
DNA binding (GO:0003677)	2520	2	2.20	-	.91	1.00E00	1.00E00
protein-containing complex binding (GO:0044877)	1299	1	1.14	-	.88	1.00E00	1.00E00
protein-macromolecule adaptor activity (GO:0030674)	1301	1	1.14	-	.88	1.00E00	1.00E00
molecular adaptor activity (GO:0060090)	1441	1	1.26	-	.79	1.00E00	1.00E00
sequence-specific DNA binding (GO:0043565)	1642	1	1.44	-	.70	1.00E00	1.00E00
transferase activity (GO:0016740)	2261	1	1.98	-	.51	7.13E-01	1.00E00
growth hormone receptor binding (GO:0005131)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
granulocyte colony-stimulating factor receptor binding (GO:0005130)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
14-3-3 protein binding (GO:0071889)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
neuromedin U binding (GO:0042924)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-2-hydroxycarboxylate dehydrogenase (NAD+) activity (GO:0102443)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
neuropeptide binding (GO:0042923)	33	0	.03	-	 < 0.01	1.00E00	1.00E00
neuromedin U receptor binding (GO:0042922)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding (GO:0071886)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
N-terminal protein N-methyltransferase activity (GO:0071885)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
granulocyte macrophage colony-stimulating factor receptor binding (GO:0005129)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
erythropoietin receptor binding (GO:0005128)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor binding (GO:0005127)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
scavenger receptor binding (GO:0005124)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
death receptor binding (GO:0005123)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
Toll binding (GO:0005121)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lactosylceramide 4-alpha-galactosyltransferase activity (GO:0050512)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity (GO:0050510)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
xenobiotic transmembrane transporter activity (GO:0042910)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate phosphatase activity (GO:0046030)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
smoothened binding (GO:0005119)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
Tat protein binding (GO:0030957)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
potassium ion binding (GO:0030955)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
receptor tyrosine kinase-like orphan receptor binding (GO:0005115)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
type II transforming growth factor beta receptor binding (GO:0005114)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity (GO:0050509)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
patched binding (GO:0005113)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity (GO:0050508)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Notch binding (GO:0005112)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
type 2 fibroblast growth factor receptor binding (GO:0005111)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
hyaluronan synthase activity (GO:0050501)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tubulin deacetylase activity (GO:0042903)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipid:diacylglycerol acyltransferase activity (GO:0046027)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
frizzled binding (GO:0005109)	40	0	.03	-	 < 0.01	1.00E00	1.00E00
type 1 fibroblast growth factor receptor binding (GO:0005105)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrion targeting sequence binding (GO:0030943)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
fibroblast growth factor receptor binding (GO:0005104)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum signal peptide binding (GO:0030942)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate dehydrogenase (NAD+) activity (GO:0141152)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5'-3' RNA polymerase activity (GO:0034062)	33	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA polymerase activity (GO:0034061)	40	0	.03	-	 < 0.01	1.00E00	1.00E00
neuropeptide receptor binding (GO:0071855)	41	0	.04	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	51	0	.04	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor (GO:0016682)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
enoyl-[acyl-carrier-protein] reductase (NADPH) activity (GO:0141148)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellularly calcium-gated channel activity (GO:0141147)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA strand-exchange activity (GO:0034057)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
estrogen response element binding (GO:0034056)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
benzoate-CoA ligase activity (GO:0018858)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on diphenols and related substances as donors (GO:0016679)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a heme group of donors (GO:0016675)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor (GO:0016672)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
XTP diphosphatase activity (GO:0036222)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UTP diphosphatase activity (GO:0036221)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ITP diphosphatase activity (GO:0036220)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
poly(G) binding (GO:0034046)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
diphthine methyl ester synthase activity (GO:0141133)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA N6-methyladenine demethylase activity (GO:0141131)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ABC-type sterol transporter activity (GO:0034041)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled lipid transmembrane transporter activity (GO:0034040)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
HMG box domain binding (GO:0071837)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors (GO:0016667)	55	0	.05	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor (GO:0016662)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
GTP diphosphatase activity (GO:0036219)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors (GO:0016661)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
dTTP diphosphatase activity (GO:0036218)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
8-oxo-7,8-dihydroguanine DNA N-glycosylase activity (GO:0034039)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acyl-CoA hydrolase activity (GO:0141126)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
deoxyhypusine synthase activity (GO:0034038)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA-queuosine(34) galactosyltransferase activity (GO:0141125)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TPR domain binding (GO:0030911)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
N-box binding (GO:0071820)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H as acceptor (GO:0016652)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H (GO:0016651)	61	0	.05	-	 < 0.01	1.00E00	1.00E00
nitric oxide dioxygenase activity, heme protein as donor (GO:0141118)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
diacylglycerol-dependent, calcium-independent serine/threonine kinase activity (GO:0004699)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium,diacylglycerol-dependent serine/threonine kinase activity (GO:0004698)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
transporter inhibitor activity (GO:0141110)	58	0	.05	-	 < 0.01	1.00E00	1.00E00
diacylglycerol-dependent serine/threonine kinase activity (GO:0004697)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2alpha kinase activity (GO:0004694)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	29	0	.03	-	 < 0.01	1.00E00	1.00E00
cGMP-dependent protein kinase activity (GO:0004692)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase activity (GO:0004691)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-lipid complex binding (GO:0071814)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
Delta4-3-oxosteroid 5beta-reductase activity (GO:0047787)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle binding (GO:0071813)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor (GO:0016649)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor (GO:0016647)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cyanamide hydratase activity (GO:0018820)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
corticosterone 18-monooxygenase activity (GO:0047783)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors (GO:0016645)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
2-oxoglutarate-dependent tRNA 5-methylcytidine formyltransferase activity (GO:0160290)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor (GO:0016642)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
transporter activator activity (GO:0141109)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
transporter regulator activity (GO:0141108)	197	0	.17	-	 < 0.01	1.00E00	1.00E00
methyltransferase regulator activity (GO:0141107)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase activator activity (GO:0141106)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase activity (GO:0004689)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA(Ser) (uridine(44)-2'-O-)-methyltransferase activity (GO:0141101)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(18)-2'-O)-methyltransferase activity (GO:0141100)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin light chain kinase activity (GO:0004687)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
FAD-AMP lyase (cyclizing) activity (GO:0034012)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
elongation factor-2 kinase activity (GO:0004686)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule destabilizing activity (GO:0170060)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium/calmodulin-dependent protein kinase activity (GO:0004683)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
(S)-citramalyl-CoA lyase activity (GO:0047777)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor (GO:0016639)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3-hydroxyacyl-CoA dehydratase activity (GO:0018812)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
enoyl-[acyl-carrier-protein] reductase [NAD(P)H] activity (GO:0016631)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA ligase (GTP) activity (GO:0170057)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
AMP-activated protein kinase activity (GO:0004679)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid transmembrane transporter activity (GO:0170055)	57	0	.05	-	 < 0.01	1.00E00	1.00E00
ribonuclease activator activity (GO:0170054)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase activity (GO:0004677)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclease activator activity (GO:0170053)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-phosphoinositide-dependent protein kinase activity (GO:0004676)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
