




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (18)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
argininosuccinate synthase activity (GO:0004055)	1	1	.00	+	 > 100	8.75E-04	1.00E00
cytoskeletal regulatory protein binding (GO:0005519)	1	1	.00	+	 > 100	8.75E-04	1.00E00
prostaglandin-I synthase activity (GO:0008116)	1	1	.00	+	 > 100	8.75E-04	1.00E00
C5L2 anaphylatoxin chemotactic receptor binding (GO:0031715)	1	1	.00	+	 > 100	8.75E-04	8.95E-01
C5a anaphylatoxin chemotactic receptor binding (GO:0031714)	1	1	.00	+	 > 100	8.75E-04	7.46E-01
succinate dehydrogenase activity (GO:0000104)	3	1	.00	+	 > 100	2.62E-03	1.00E00
succinate dehydrogenase (quinone) activity (GO:0008177)	3	1	.00	+	 > 100	2.62E-03	1.00E00
nicotinamide-nucleotide adenylyltransferase activity (GO:0000309)	3	1	.00	+	 > 100	2.62E-03	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor (GO:0016635)	4	1	.00	+	 > 100	3.49E-03	1.00E00
RNA sequestering activity (GO:0140610)	4	1	.00	+	 > 100	3.49E-03	1.00E00
nicotinate-nucleotide adenylyltransferase activity (GO:0004515)	4	1	.00	+	 > 100	3.49E-03	1.00E00
protein ADP-ribosyltransferase-substrate adaptor activity (GO:0140768)	4	1	.00	+	 > 100	3.49E-03	1.00E00
ubiquinone binding (GO:0048039)	6	1	.01	+	 > 100	5.24E-03	1.00E00
histone octamer slider activity (GO:0140751)	6	1	.01	+	 > 100	5.24E-03	1.00E00
hydroperoxy icosatetraenoate dehydratase activity (GO:0106256)	7	1	.01	+	 > 100	6.11E-03	1.00E00
heme transmembrane transporter activity (GO:0015232)	9	1	.01	+	 > 100	7.85E-03	1.00E00
toxic substance binding (GO:0015643)	11	1	.01	+	 > 100	9.58E-03	1.00E00
quinone binding (GO:0048038)	17	1	.01	+	67.25	1.48E-02	1.00E00
peptidoglycan binding (GO:0042834)	19	1	.02	+	60.18	1.65E-02	1.00E00
immunoglobulin receptor binding (GO:0034987)	19	1	.02	+	60.18	1.65E-02	1.00E00
phosphatidylinositol-5-phosphate binding (GO:0010314)	21	1	.02	+	54.44	1.82E-02	1.00E00
ATP-dependent chromatin remodeler activity (GO:0140658)	24	1	.02	+	47.64	2.08E-02	1.00E00
phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)	29	1	.03	+	39.43	2.51E-02	1.00E00
phosphatidylinositol-3,5-bisphosphate binding (GO:0080025)	29	1	.03	+	39.43	2.51E-02	1.00E00
phosphatidylcholine binding (GO:0031210)	30	1	.03	+	38.11	2.59E-02	1.00E00
adenylyltransferase activity (GO:0070566)	30	1	.03	+	38.11	2.59E-02	1.00E00
quaternary ammonium group binding (GO:0050997)	39	1	.03	+	29.32	3.36E-02	1.00E00
phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	41	1	.04	+	27.89	3.53E-02	1.00E00
nucleosomal DNA binding (GO:0031492)	41	1	.04	+	27.89	3.53E-02	1.00E00
amino acid binding (GO:0016597)	48	1	.04	+	23.82	4.12E-02	1.00E00
clathrin binding (GO:0030276)	48	1	.04	+	23.82	4.12E-02	1.00E00
phosphatidylinositol-3-phosphate binding (GO:0032266)	48	1	.04	+	23.82	4.12E-02	1.00E00
ligase activity, forming carbon-nitrogen bonds (GO:0016879)	48	1	.04	+	23.82	4.12E-02	1.00E00
chemokine activity (GO:0008009)	50	1	.04	+	22.87	4.29E-02	1.00E00
intramolecular oxidoreductase activity (GO:0016860)	51	1	.04	+	22.42	4.37E-02	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	60	1	.05	+	19.06	5.12E-02	1.00E00
hydro-lyase activity (GO:0016836)	61	1	.05	+	18.74	5.21E-02	1.00E00
antigen binding (GO:0003823)	201	3	.18	+	17.06	6.72E-04	1.00E00
heme binding (GO:0020037)	142	2	.12	+	16.10	6.73E-03	1.00E00
nucleosome binding (GO:0031491)	73	1	.06	+	15.66	6.20E-02	1.00E00
chemokine receptor binding (GO:0042379)	75	1	.07	+	15.24	6.36E-02	1.00E00
tetrapyrrole binding (GO:0046906)	152	2	.13	+	15.04	7.67E-03	1.00E00
molecular sequestering activity (GO:0140313)	78	1	.07	+	14.66	6.61E-02	1.00E00
carbon-oxygen lyase activity (GO:0016835)	79	1	.07	+	14.47	6.69E-02	1.00E00
PDZ domain binding (GO:0030165)	84	1	.07	+	13.61	7.10E-02	1.00E00
endopeptidase inhibitor activity (GO:0004866)	169	2	.15	+	13.53	9.41E-03	1.00E00
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	85	1	.07	+	13.45	7.18E-02	1.00E00
peptidase inhibitor activity (GO:0030414)	177	2	.15	+	12.92	1.03E-02	1.00E00
endopeptidase regulator activity (GO:0061135)	198	2	.17	+	11.55	1.27E-02	1.00E00
serine-type endopeptidase inhibitor activity (GO:0004867)	102	1	.09	+	11.21	8.56E-02	1.00E00
ubiquitin binding (GO:0043130)	104	1	.09	+	10.99	8.72E-02	1.00E00
phosphatidylinositol bisphosphate binding (GO:1902936)	111	1	.10	+	10.30	9.28E-02	1.00E00
monooxygenase activity (GO:0004497)	111	1	.10	+	10.30	9.28E-02	1.00E00
SH3 domain binding (GO:0017124)	114	1	.10	+	10.03	9.52E-02	1.00E00
electron transfer activity (GO:0009055)	116	1	.10	+	9.86	9.68E-02	1.00E00
peptidase regulator activity (GO:0061134)	235	2	.21	+	9.73	1.76E-02	1.00E00
ATP-dependent activity, acting on DNA (GO:0008094)	120	1	.10	+	9.53	1.00E-01	1.00E00
single-stranded DNA binding (GO:0003697)	123	1	.11	+	9.30	1.02E-01	1.00E00
ubiquitin-like protein binding (GO:0032182)	124	1	.11	+	9.22	1.03E-01	1.00E00
chromatin DNA binding (GO:0031490)	127	1	.11	+	9.00	1.05E-01	1.00E00
protein kinase activator activity (GO:0030295)	142	1	.12	+	8.05	1.17E-01	1.00E00
phosphatidylinositol binding (GO:0035091)	286	2	.25	+	8.00	2.54E-02	1.00E00
enzyme inhibitor activity (GO:0004857)	450	3	.39	+	7.62	6.64E-03	1.00E00
nucleotidyltransferase activity (GO:0016779)	152	1	.13	+	7.52	1.25E-01	1.00E00
kinase activator activity (GO:0019209)	154	1	.13	+	7.42	1.27E-01	1.00E00
iron ion binding (GO:0005506)	154	1	.13	+	7.42	1.27E-01	1.00E00
enzyme-substrate adaptor activity (GO:0140767)	160	1	.14	+	7.15	1.31E-01	1.00E00
ligase activity (GO:0016874)	166	1	.15	+	6.89	1.36E-01	1.00E00
phospholipid binding (GO:0005543)	505	3	.44	+	6.79	9.11E-03	1.00E00
histone binding (GO:0042393)	177	1	.15	+	6.46	1.44E-01	1.00E00
phosphatidylinositol phosphate binding (GO:1901981)	186	1	.16	+	6.15	1.51E-01	1.00E00
