




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (72)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
pyrimidine deoxyribonucleoside biosynthetic process (GO:0046126)	3	2	.01	+	 > 100	3.61E-05	1.90E-02
deoxyribonucleoside biosynthetic process (GO:0046120)	3	2	.01	+	 > 100	3.61E-05	1.84E-02
thymidine biosynthetic process (GO:0046105)	3	2	.01	+	 > 100	3.61E-05	1.78E-02
pyrimidine nucleoside biosynthetic process (GO:0046134)	5	2	.02	+	 > 100	1.20E-04	5.05E-02
pyrimidine deoxyribonucleoside metabolic process (GO:0046125)	5	2	.02	+	 > 100	1.20E-04	4.91E-02
thymidine metabolic process (GO:0046104)	5	2	.02	+	 > 100	1.20E-04	4.78E-02
positive regulation of ubiquitin protein ligase activity (GO:1904668)	5	2	.02	+	 > 100	1.20E-04	4.66E-02
cyclooxygenase pathway (GO:0019371)	9	3	.03	+	95.28	3.40E-06	2.28E-03
spindle elongation (GO:0051231)	13	3	.05	+	65.96	1.15E-05	6.76E-03
negative regulation of DNA binding (GO:0043392)	17	3	.06	+	50.44	2.70E-05	1.53E-02
prostaglandin biosynthetic process (GO:0001516)	18	3	.06	+	47.64	3.23E-05	1.76E-02
prostanoid biosynthetic process (GO:0046457)	20	3	.07	+	42.88	4.48E-05	2.13E-02
mitotic spindle assembly (GO:0090307)	52	6	.18	+	32.98	2.66E-08	1.31E-04
chromosome condensation (GO:0030261)	40	4	.14	+	28.58	1.14E-05	7.03E-03
mitotic spindle organization (GO:0007052)	101	7	.35	+	19.81	6.30E-08	1.86E-04
spindle assembly (GO:0051225)	105	6	.37	+	16.33	1.82E-06	1.41E-03
sister chromatid segregation (GO:0000819)	146	8	.51	+	15.66	4.32E-08	1.59E-04
mitotic nuclear division (GO:0140014)	169	9	.59	+	15.22	7.49E-09	1.11E-04
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	135	7	.47	+	14.82	4.62E-07	5.68E-04
mitotic sister chromatid segregation (GO:0000070)	142	7	.50	+	14.09	6.50E-07	6.85E-04
spindle organization (GO:0007051)	172	7	.60	+	11.63	2.35E-06	1.65E-03
nuclear chromosome segregation (GO:0098813)	236	8	.83	+	9.69	1.69E-06	1.39E-03
chromosome segregation (GO:0007059)	339	11	1.19	+	9.27	2.54E-08	1.88E-04
nuclear division (GO:0000280)	326	10	1.14	+	8.77	1.95E-07	4.79E-04
organelle fission (GO:0048285)	354	10	1.24	+	8.07	4.16E-07	6.13E-04
membraneless organelle assembly (GO:0140694)	363	10	1.27	+	7.87	5.23E-07	5.94E-04
chromosome organization (GO:0051276)	423	11	1.48	+	7.43	2.38E-07	5.02E-04
cell division (GO:0051301)	527	12	1.84	+	6.51	2.67E-07	4.37E-04
mitotic cell cycle process (GO:1903047)	512	11	1.79	+	6.14	1.56E-06	1.35E-03
mitotic cell cycle (GO:0000278)	592	12	2.07	+	5.79	9.14E-07	8.43E-04
DNA metabolic process (GO:0006259)	757	13	2.65	+	4.91	1.95E-06	1.44E-03
DNA repair (GO:0006281)	531	9	1.86	+	4.84	9.51E-05	4.25E-02
cell cycle process (GO:0022402)	906	15	3.17	+	4.73	4.44E-07	5.95E-04
cell cycle (GO:0007049)	994	16	3.48	+	4.60	2.50E-07	4.61E-04
cellular component assembly (GO:0022607)	2531	21	8.85	+	2.37	1.05E-04	4.54E-02
cellular component biogenesis (GO:0044085)	2774	23	9.70	+	2.37	7.25E-05	3.34E-02
cellular component organization or biogenesis (GO:0071840)	5942	41	20.79	+	1.97	6.85E-07	6.74E-04
cellular component organization (GO:0016043)	5732	39	20.05	+	1.94	3.86E-06	2.47E-03
