




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	11	7	1.59	+	4.41	2.49E-04	3.80E-03
GDP-mannose metabolic process (GO:0019673)	11	7	1.59	+	4.41	2.49E-04	3.80E-03
secondary alcohol biosynthetic process (GO:1902653)	38	24	5.48	+	4.38	7.40E-12	4.01E-10
NADPH regeneration (GO:0006740)	19	12	2.74	+	4.38	1.48E-06	3.71E-05
cholesterol biosynthetic process (GO:0006695)	38	24	5.48	+	4.38	7.40E-12	4.00E-10
retrograde protein transport, ER to cytosol (GO:0030970)	19	12	2.74	+	4.38	1.48E-06	3.71E-05
pore complex assembly (GO:0046931)	19	12	2.74	+	4.38	1.48E-06	3.70E-05
endoplasmic reticulum to cytosol transport (GO:1903513)	19	12	2.74	+	4.38	1.48E-06	3.69E-05
alditol catabolic process (GO:0019405)	8	5	1.15	+	4.33	2.38E-03	2.56E-02
regulation of basement membrane organization (GO:0110011)	8	5	1.15	+	4.33	2.38E-03	2.56E-02
cholesterol biosynthetic process via lathosterol (GO:0033490)	8	5	1.15	+	4.33	2.38E-03	2.56E-02
endoplasmic reticulum tubular network membrane organization (GO:1990809)	8	5	1.15	+	4.33	2.38E-03	2.56E-02
protein localization to endoplasmic reticulum exit site (GO:0070973)	8	5	1.15	+	4.33	2.38E-03	2.56E-02
tRNA surveillance (GO:0106354)	8	5	1.15	+	4.33	2.38E-03	2.56E-02
mitochondrial RNA 3'-end processing (GO:0000965)	8	5	1.15	+	4.33	2.38E-03	2.55E-02
mitochondrial RNA catabolic process (GO:0000957)	8	5	1.15	+	4.33	2.38E-03	2.55E-02
establishment of Golgi localization (GO:0051683)	8	5	1.15	+	4.33	2.38E-03	2.55E-02
poly(A)-dependent snoRNA 3'-end processing (GO:0071051)	8	5	1.15	+	4.33	2.38E-03	2.55E-02
'de novo' AMP biosynthetic process (GO:0044208)	8	5	1.15	+	4.33	2.38E-03	2.55E-02
positive regulation of focal adhesion disassembly (GO:0120183)	8	5	1.15	+	4.33	2.38E-03	2.54E-02
tRNA aminoacylation for mitochondrial protein translation (GO:0070127)	8	5	1.15	+	4.33	2.38E-03	2.54E-02
7-methylguanosine cap hypermethylation (GO:0036261)	8	5	1.15	+	4.33	2.38E-03	2.54E-02
multivesicular body assembly (GO:0036258)	32	20	4.61	+	4.33	5.58E-10	2.26E-08
positive regulation of programmed necrotic cell death (GO:0062100)	8	5	1.15	+	4.33	2.38E-03	2.54E-02
positive regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904395)	8	5	1.15	+	4.33	2.38E-03	2.54E-02
regulation of RNA export from nucleus (GO:0046831)	16	10	2.31	+	4.33	1.33E-05	2.75E-04
cristae formation (GO:0042407)	16	10	2.31	+	4.33	1.33E-05	2.75E-04
regulation by virus of viral protein levels in host cell (GO:0046719)	8	5	1.15	+	4.33	2.38E-03	2.54E-02
'de novo' XMP biosynthetic process (GO:0097294)	8	5	1.15	+	4.33	2.38E-03	2.53E-02
XMP biosynthetic process (GO:0097293)	8	5	1.15	+	4.33	2.38E-03	2.53E-02
XMP metabolic process (GO:0097292)	8	5	1.15	+	4.33	2.38E-03	2.53E-02
U4 snRNA 3'-end processing (GO:0034475)	8	5	1.15	+	4.33	2.38E-03	2.53E-02
cellular response to interleukin-7 (GO:0098761)	21	13	3.03	+	4.29	7.41E-07	1.96E-05
purine nucleoside monophosphate biosynthetic process (GO:0009127)	21	13	3.03	+	4.29	7.41E-07	1.96E-05
translation (GO:0006412)	391	241	56.39	+	4.27	7.82E-105	1.05E-101
positive regulation of integrin-mediated signaling pathway (GO:2001046)	13	8	1.87	+	4.27	1.21E-04	2.02E-03
outer mitochondrial membrane organization (GO:0007008)	13	8	1.87	+	4.27	1.21E-04	2.02E-03
negative regulation of nitric oxide biosynthetic process (GO:0045019)	13	8	1.87	+	4.27	1.21E-04	2.01E-03
AMP biosynthetic process (GO:0006167)	13	8	1.87	+	4.27	1.21E-04	2.01E-03
regulation of type 2 mitophagy (GO:1905089)	13	8	1.87	+	4.27	1.21E-04	2.01E-03
purine deoxyribonucleoside monophosphate metabolic process (GO:0009170)	13	8	1.87	+	4.27	1.21E-04	2.01E-03
negative regulation of nitric oxide metabolic process (GO:1904406)	13	8	1.87	+	4.27	1.21E-04	2.01E-03
amino sugar biosynthetic process (GO:0046349)	13	8	1.87	+	4.27	1.21E-04	2.00E-03
positive regulation of lamellipodium organization (GO:1902745)	36	22	5.19	+	4.24	1.43E-10	6.19E-09
establishment of protein localization to endoplasmic reticulum (GO:0072599)	41	25	5.91	+	4.23	8.38E-12	4.48E-10
positive regulation of telomere maintenance via telomerase (GO:0032212)	23	14	3.32	+	4.22	3.68E-07	1.04E-05
branched-chain amino acid catabolic process (GO:0009083)	23	14	3.32	+	4.22	3.68E-07	1.04E-05
branched-chain amino acid metabolic process (GO:0009081)	28	17	4.04	+	4.21	2.11E-08	6.80E-07
multivesicular body organization (GO:0036257)	33	20	4.76	+	4.20	1.22E-09	4.68E-08
tubulin complex assembly (GO:0007021)	10	6	1.44	+	4.16	1.11E-03	1.38E-02
host-mediated activation of viral genome replication (GO:0044829)	10	6	1.44	+	4.16	1.11E-03	1.38E-02
[2Fe-2S] cluster assembly (GO:0044571)	10	6	1.44	+	4.16	1.11E-03	1.38E-02
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	10	6	1.44	+	4.16	1.11E-03	1.38E-02
mannose metabolic process (GO:0006013)	10	6	1.44	+	4.16	1.11E-03	1.38E-02
regulation of translation in response to endoplasmic reticulum stress (GO:0036490)	10	6	1.44	+	4.16	1.11E-03	1.38E-02
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	10	6	1.44	+	4.16	1.11E-03	1.37E-02
glucuronate metabolic process (GO:0019585)	10	6	1.44	+	4.16	1.11E-03	1.37E-02
protein localization to nuclear envelope (GO:0090435)	15	9	2.16	+	4.16	5.84E-05	1.06E-03
membrane fission (GO:0090148)	45	27	6.49	+	4.16	2.11E-12	1.23E-10
spliceosomal tri-snRNP complex assembly (GO:0000244)	15	9	2.16	+	4.16	5.84E-05	1.05E-03
nucleoside diphosphate biosynthetic process (GO:0009133)	15	9	2.16	+	4.16	5.84E-05	1.05E-03
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	47	28	6.78	+	4.13	1.06E-12	6.26E-11
protein targeting to ER (GO:0045047)	37	22	5.34	+	4.12	3.04E-10	1.27E-08
stress granule assembly (GO:0034063)	27	16	3.89	+	4.11	8.97E-08	2.71E-06
response to interleukin-7 (GO:0098760)	22	13	3.17	+	4.10	1.57E-06	3.90E-05
sterol biosynthetic process (GO:0016126)	44	26	6.35	+	4.10	8.89E-12	4.70E-10
spliceosomal snRNP assembly (GO:0000387)	39	23	5.62	+	4.09	1.51E-10	6.50E-09
tail-anchored membrane protein insertion into ER membrane (GO:0071816)	17	10	2.45	+	4.08	2.81E-05	5.46E-04
positive regulation of cytoplasmic translation (GO:2000767)	17	10	2.45	+	4.08	2.81E-05	5.45E-04
spliceosomal complex assembly (GO:0000245)	75	44	10.82	+	4.07	8.23E-19	7.36E-17
succinyl-CoA metabolic process (GO:0006104)	12	7	1.73	+	4.04	5.23E-04	7.24E-03
proton motive force-driven ATP synthesis (GO:0015986)	72	42	10.38	+	4.04	6.84E-18	5.77E-16
sno(s)RNA 3'-end processing (GO:0031126)	12	7	1.73	+	4.04	5.23E-04	7.23E-03
negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900152)	12	7	1.73	+	4.04	5.23E-04	7.22E-03
multivesicular body-lysosome fusion (GO:0061763)	12	7	1.73	+	4.04	5.23E-04	7.22E-03
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	12	7	1.73	+	4.04	5.23E-04	7.21E-03
oxidative phosphorylation (GO:0006119)	115	67	16.59	+	4.04	1.14E-27	1.56E-25
acetyl-CoA metabolic process (GO:0006084)	31	18	4.47	+	4.03	2.16E-08	6.95E-07
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	19	11	2.74	+	4.01	1.35E-05	2.80E-04
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	26	15	3.75	+	4.00	3.73E-07	1.05E-05
COPII-coated vesicle budding (GO:0090114)	40	23	5.77	+	3.99	3.06E-10	1.28E-08
mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	14	8	2.02	+	3.96	2.46E-04	3.81E-03
primary miRNA processing (GO:0031053)	14	8	2.02	+	3.96	2.46E-04	3.81E-03
positive regulation of lamellipodium assembly (GO:0010592)	28	16	4.04	+	3.96	1.81E-07	5.35E-06
respiratory electron transport chain (GO:0022904)	107	61	15.43	+	3.95	1.30E-24	1.66E-22
RNA export from nucleus (GO:0006405)	83	47	11.97	+	3.93	4.04E-19	3.70E-17
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	16	9	2.31	+	3.90	1.16E-04	1.96E-03
protein heterotetramerization (GO:0051290)	16	9	2.31	+	3.90	1.16E-04	1.96E-03
RNA capping (GO:0036260)	16	9	2.31	+	3.90	1.16E-04	1.96E-03
response to hepatocyte growth factor (GO:0035728)	16	9	2.31	+	3.90	1.16E-04	1.96E-03
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	16	9	2.31	+	3.90	1.16E-04	1.95E-03
lysosomal protein catabolic process (GO:1905146)	16	9	2.31	+	3.90	1.16E-04	1.95E-03
primary alcohol catabolic process (GO:0034310)	16	9	2.31	+	3.90	1.16E-04	1.95E-03
aerobic respiration (GO:0009060)	205	115	29.56	+	3.89	2.67E-44	6.68E-42
mRNA export from nucleus (GO:0006406)	66	37	9.52	+	3.89	3.71E-15	2.62E-13
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	91	51	13.12	+	3.89	2.35E-20	2.40E-18
ATP synthesis coupled electron transport (GO:0042773)	91	51	13.12	+	3.89	2.35E-20	2.38E-18
galactose catabolic process (GO:0019388)	9	5	1.30	+	3.85	4.72E-03	4.49E-02
IMP metabolic process (GO:0046040)	18	10	2.60	+	3.85	5.51E-05	1.01E-03
protein-RNA complex disassembly (GO:0032988)	9	5	1.30	+	3.85	4.72E-03	4.49E-02
actomyosin contractile ring organization (GO:0044837)	9	5	1.30	+	3.85	4.72E-03	4.48E-02
ERBB2-ERBB3 signaling pathway (GO:0038133)	9	5	1.30	+	3.85	4.72E-03	4.48E-02
ERBB3 signaling pathway (GO:0038129)	9	5	1.30	+	3.85	4.72E-03	4.48E-02
regulation of translational fidelity (GO:0006450)	18	10	2.60	+	3.85	5.51E-05	1.00E-03
regulation of L-glutamate import across plasma membrane (GO:0002036)	9	5	1.30	+	3.85	4.72E-03	4.47E-02
daunorubicin metabolic process (GO:0044597)	9	5	1.30	+	3.85	4.72E-03	4.47E-02
actin filament network formation (GO:0051639)	9	5	1.30	+	3.85	4.72E-03	4.47E-02
actin filament-based transport (GO:0099515)	9	5	1.30	+	3.85	4.72E-03	4.47E-02
regulation of nucleobase-containing compound transport (GO:0032239)	18	10	2.60	+	3.85	5.51E-05	1.00E-03
negative regulation of hydrogen peroxide-mediated programmed cell death (GO:1901299)	9	5	1.30	+	3.85	4.72E-03	4.46E-02
cortical microtubule organization (GO:0043622)	9	5	1.30	+	3.85	4.72E-03	4.46E-02
retrograde transport, vesicle recycling within Golgi (GO:0000301)	9	5	1.30	+	3.85	4.72E-03	4.46E-02
2'-deoxyribonucleotide biosynthetic process (GO:0009265)	18	10	2.60	+	3.85	5.51E-05	1.00E-03
deoxyribonucleotide biosynthetic process (GO:0009263)	18	10	2.60	+	3.85	5.51E-05	1.00E-03
deoxyribonucleoside triphosphate metabolic process (GO:0009200)	9	5	1.30	+	3.85	4.72E-03	4.45E-02
regulation of skeletal muscle acetylcholine-gated channel clustering (GO:1904393)	9	5	1.30	+	3.85	4.72E-03	4.45E-02
glycoside metabolic process (GO:0016137)	18	10	2.60	+	3.85	5.51E-05	9.99E-04
positive regulation of plasminogen activation (GO:0010756)	9	5	1.30	+	3.85	4.72E-03	4.45E-02
deoxyribose phosphate biosynthetic process (GO:0046385)	18	10	2.60	+	3.85	5.51E-05	9.98E-04
purine nucleoside monophosphate metabolic process (GO:0009126)	47	26	6.78	+	3.84	6.96E-11	3.17E-09
GMP metabolic process (GO:0046037)	29	16	4.18	+	3.83	3.50E-07	9.93E-06
mitochondrial translation (GO:0032543)	109	60	15.72	+	3.82	3.79E-23	4.33E-21
regulation of early endosome to late endosome transport (GO:2000641)	20	11	2.88	+	3.81	2.62E-05	5.12E-04
peptide catabolic process (GO:0043171)	20	11	2.88	+	3.81	2.62E-05	5.11E-04
cellular respiration (GO:0045333)	231	127	33.31	+	3.81	1.69E-47	4.88E-45
glucose catabolic process (GO:0006007)	31	17	4.47	+	3.80	1.69E-07	5.01E-06
nucleotide-sugar biosynthetic process (GO:0009226)	31	17	4.47	+	3.80	1.69E-07	5.00E-06
modified amino acid biosynthetic process (GO:0042398)	42	23	6.06	+	3.80	1.15E-09	4.41E-08
purine ribonucleoside biosynthetic process (GO:0046129)	11	6	1.59	+	3.78	2.15E-03	2.38E-02
transferrin transport (GO:0033572)	11	6	1.59	+	3.78	2.15E-03	2.38E-02
regulation of neutrophil activation (GO:1902563)	11	6	1.59	+	3.78	2.15E-03	2.38E-02
formation of translation preinitiation complex (GO:0001731)	11	6	1.59	+	3.78	2.15E-03	2.38E-02
host-mediated perturbation of viral genome replication (GO:0044827)	11	6	1.59	+	3.78	2.15E-03	2.38E-02
Bergmann glial cell differentiation (GO:0060020)	11	6	1.59	+	3.78	2.15E-03	2.38E-02
establishment of endothelial intestinal barrier (GO:0090557)	11	6	1.59	+	3.78	2.15E-03	2.37E-02
DNA alkylation repair (GO:0006307)	11	6	1.59	+	3.78	2.15E-03	2.37E-02
protein insertion into ER membrane by stop-transfer membrane-anchor sequence (GO:0045050)	11	6	1.59	+	3.78	2.15E-03	2.37E-02
Golgi ribbon formation (GO:0090161)	11	6	1.59	+	3.78	2.15E-03	2.37E-02
mitochondrial fragmentation involved in apoptotic process (GO:0043653)	11	6	1.59	+	3.78	2.15E-03	2.37E-02
regulation of focal adhesion disassembly (GO:0120182)	11	6	1.59	+	3.78	2.15E-03	2.37E-02
plasma membrane to endosome transport (GO:0048227)	11	6	1.59	+	3.78	2.15E-03	2.36E-02
positive regulation of type 2 mitophagy (GO:1905091)	11	6	1.59	+	3.78	2.15E-03	2.36E-02
viral budding via host ESCRT complex (GO:0039702)	22	12	3.17	+	3.78	1.25E-05	2.58E-04
aspartate family amino acid biosynthetic process (GO:0009067)	22	12	3.17	+	3.78	1.25E-05	2.58E-04
ribonucleoside biosynthetic process (GO:0042455)	11	6	1.59	+	3.78	2.15E-03	2.36E-02
purine nucleoside biosynthetic process (GO:0042451)	11	6	1.59	+	3.78	2.15E-03	2.36E-02
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	33	18	4.76	+	3.78	8.13E-08	2.46E-06
intra-Golgi vesicle-mediated transport (GO:0006891)	35	19	5.05	+	3.76	3.92E-08	1.21E-06
ribonucleoside monophosphate biosynthetic process (GO:0009156)	35	19	5.05	+	3.76	3.92E-08	1.21E-06
RNA splicing, via transesterification reactions (GO:0000375)	249	135	35.91	+	3.76	1.77E-49	5.55E-47
glucose 6-phosphate metabolic process (GO:0051156)	24	13	3.46	+	3.76	5.94E-06	1.34E-04
L-amino acid biosynthetic process (GO:0170034)	48	26	6.92	+	3.76	1.31E-10	5.72E-09
ATP biosynthetic process (GO:0006754)	85	46	12.26	+	3.75	1.11E-17	9.16E-16
mRNA splicing, via spliceosome (GO:0000398)	244	132	35.19	+	3.75	2.97E-48	8.95E-46
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	244	132	35.19	+	3.75	2.97E-48	8.77E-46
positive regulation of mRNA processing (GO:0050685)	37	20	5.34	+	3.75	1.89E-08	6.18E-07
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	37	20	5.34	+	3.75	1.89E-08	6.17E-07
aerobic electron transport chain (GO:0019646)	87	47	12.55	+	3.75	5.41E-18	4.72E-16
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	50	27	7.21	+	3.74	6.35E-11	2.91E-09
electron transport chain (GO:0022900)	117	63	16.87	+	3.73	1.55E-23	1.83E-21
cortical actin cytoskeleton organization (GO:0030866)	39	21	5.62	+	3.73	9.14E-09	3.10E-07
AMP metabolic process (GO:0046033)	26	14	3.75	+	3.73	2.84E-06	6.85E-05
ethanol catabolic process (GO:0006068)	13	7	1.87	+	3.73	9.92E-04	1.28E-02
nuclear membrane reassembly (GO:0031468)	26	14	3.75	+	3.73	2.84E-06	6.84E-05
regulation of Golgi to plasma membrane protein transport (GO:0042996)	13	7	1.87	+	3.73	9.92E-04	1.28E-02
metallo-sulfur cluster assembly (GO:0031163)	26	14	3.75	+	3.73	2.84E-06	6.83E-05
iron-sulfur cluster assembly (GO:0016226)	26	14	3.75	+	3.73	2.84E-06	6.81E-05
serine family amino acid biosynthetic process (GO:0009070)	13	7	1.87	+	3.73	9.92E-04	1.28E-02
vacuole fusion (GO:0097576)	13	7	1.87	+	3.73	9.92E-04	1.28E-02
nuclear export (GO:0051168)	129	69	18.60	+	3.71	2.03E-25	2.66E-23
nicotinamide nucleotide metabolic process (GO:0046496)	116	62	16.73	+	3.71	5.88E-23	6.62E-21
DNA strand elongation involved in DNA replication (GO:0006271)	15	8	2.16	+	3.70	4.61E-04	6.48E-03
cellular response to hepatocyte growth factor stimulus (GO:0035729)	15	8	2.16	+	3.70	4.61E-04	6.48E-03
nucleoside monophosphate biosynthetic process (GO:0009124)	45	24	6.49	+	3.70	1.03E-09	4.01E-08
hepatocyte apoptotic process (GO:0097284)	15	8	2.16	+	3.70	4.61E-04	6.47E-03
protein-RNA complex organization (GO:0071826)	216	115	31.15	+	3.69	3.00E-41	7.04E-39
protein-RNA complex assembly (GO:0022618)	207	110	29.85	+	3.68	2.12E-39	4.74E-37
angiotensin-activated signaling pathway (GO:0038166)	17	9	2.45	+	3.67	2.16E-04	3.38E-03
endoplasmic reticulum membrane organization (GO:0090158)	17	9	2.45	+	3.67	2.16E-04	3.38E-03
short-chain fatty acid metabolic process (GO:0046459)	17	9	2.45	+	3.67	2.16E-04	3.37E-03
NADP+ metabolic process (GO:0006739)	36	19	5.19	+	3.66	7.18E-08	2.19E-06
positive regulation of transcription by RNA polymerase I (GO:0045943)	36	19	5.19	+	3.66	7.18E-08	2.19E-06
endosome to lysosome transport via multivesicular body sorting pathway (GO:0032510)	19	10	2.74	+	3.65	1.01E-04	1.75E-03
nucleoside biosynthetic process (GO:0009163)	19	10	2.74	+	3.65	1.01E-04	1.74E-03
positive regulation of ERAD pathway (GO:1904294)	19	10	2.74	+	3.65	1.01E-04	1.74E-03
nucleobase-containing small molecule biosynthetic process (GO:0034404)	19	10	2.74	+	3.65	1.01E-04	1.74E-03
NAD+ metabolic process (GO:0019674)	38	20	5.48	+	3.65	3.45E-08	1.08E-06
negative regulation of amyloid precursor protein catabolic process (GO:1902992)	19	10	2.74	+	3.65	1.01E-04	1.74E-03
regulation of mRNA splicing, via spliceosome (GO:0048024)	118	62	17.02	+	3.64	1.95E-22	2.13E-20
vesicle budding from membrane (GO:0006900)	82	43	11.83	+	3.64	5.94E-16	4.39E-14
inner mitochondrial membrane organization (GO:0007007)	42	22	6.06	+	3.63	8.00E-09	2.73E-07
protein neddylation (GO:0045116)	21	11	3.03	+	3.63	4.78E-05	8.92E-04
purine ribonucleoside monophosphate metabolic process (GO:0009167)	44	23	6.35	+	3.62	3.86E-09	1.36E-07
one-carbon metabolic process (GO:0006730)	23	12	3.32	+	3.62	2.26E-05	4.48E-04
positive regulation of RNA splicing (GO:0033120)	48	25	6.92	+	3.61	8.97E-10	3.52E-08
purine-containing compound salvage (GO:0043101)	25	13	3.61	+	3.61	1.07E-05	2.25E-04
viral budding (GO:0046755)	25	13	3.61	+	3.61	1.07E-05	2.25E-04
proteinogenic amino acid biosynthetic process (GO:0170038)	52	27	7.50	+	3.60	2.09E-10	8.86E-09
protein exit from endoplasmic reticulum (GO:0032527)	27	14	3.89	+	3.60	5.11E-06	1.18E-04
fatty acid oxidation (GO:0019395)	83	43	11.97	+	3.59	1.06E-15	7.80E-14
ribosomal small subunit biogenesis (GO:0042274)	112	58	16.15	+	3.59	1.14E-20	1.18E-18
nuclear envelope organization (GO:0006998)	58	30	8.36	+	3.59	2.36E-11	1.15E-09
alpha-amino acid biosynthetic process (GO:1901607)	60	31	8.65	+	3.58	1.14E-11	5.89E-10
mRNA splice site recognition (GO:0006376)	31	16	4.47	+	3.58	1.16E-06	2.94E-05
purine nucleoside triphosphate biosynthetic process (GO:0009145)	97	50	13.99	+	3.57	6.64E-18	5.64E-16
protein targeting to mitochondrion (GO:0006626)	33	17	4.76	+	3.57	5.56E-07	1.51E-05
rescue of stalled ribosome (GO:0072344)	35	18	5.05	+	3.57	2.66E-07	7.66E-06
nucleoside triphosphate biosynthetic process (GO:0009142)	111	57	16.01	+	3.56	4.15E-20	4.05E-18
establishment of protein localization to mitochondrion (GO:0072655)	78	40	11.25	+	3.56	1.65E-14	1.10E-12
fatty acid catabolic process (GO:0009062)	90	46	12.98	+	3.54	2.13E-16	1.62E-14
nuclear membrane organization (GO:0071763)	47	24	6.78	+	3.54	3.28E-09	1.17E-07
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	96	49	13.84	+	3.54	2.41E-17	1.93E-15
ribonucleoside triphosphate biosynthetic process (GO:0009201)	102	52	14.71	+	3.53	2.74E-18	2.42E-16
ADP metabolic process (GO:0046031)	61	31	8.80	+	3.52	2.00E-11	9.91E-10
regulation of mRNA processing (GO:0050684)	140	71	20.19	+	3.52	2.79E-24	3.49E-22
aldehyde catabolic process (GO:0046185)	14	7	2.02	+	3.47	1.74E-03	2.04E-02
late endosome to lysosome transport (GO:1902774)	20	10	2.88	+	3.47	1.76E-04	2.83E-03
late endosome to vacuole transport (GO:0045324)	38	19	5.48	+	3.47	2.21E-07	6.46E-06
actin crosslink formation (GO:0051764)	14	7	2.02	+	3.47	1.74E-03	2.04E-02
regulation of mitotic spindle assembly (GO:1901673)	24	12	3.46	+	3.47	3.93E-05	7.40E-04
negative regulation of amyloid fibril formation (GO:1905907)	14	7	2.02	+	3.47	1.74E-03	2.03E-02
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	22	11	3.17	+	3.47	8.31E-05	1.46E-03
ethanol metabolic process (GO:0006067)	14	7	2.02	+	3.47	1.74E-03	2.03E-02
UDP-N-acetylglucosamine metabolic process (GO:0006047)	14	7	2.02	+	3.47	1.74E-03	2.03E-02
double-strand break repair via break-induced replication (GO:0000727)	12	6	1.73	+	3.47	3.78E-03	3.75E-02
progesterone receptor signaling pathway (GO:0050847)	12	6	1.73	+	3.47	3.78E-03	3.75E-02
regulation of monoatomic anion transport (GO:0044070)	14	7	2.02	+	3.47	1.74E-03	2.03E-02
chaperone-mediated protein complex assembly (GO:0051131)	24	12	3.46	+	3.47	3.93E-05	7.40E-04
clathrin coat assembly (GO:0048268)	20	10	2.88	+	3.47	1.76E-04	2.82E-03
carnitine metabolic process (GO:0009437)	14	7	2.02	+	3.47	1.74E-03	2.03E-02
hydrogen peroxide catabolic process (GO:0042744)	20	10	2.88	+	3.47	1.76E-04	2.82E-03
protein localization to endosome (GO:0036010)	14	7	2.02	+	3.47	1.74E-03	2.03E-02
urea cycle (GO:0000050)	12	6	1.73	+	3.47	3.78E-03	3.75E-02
sno(s)RNA processing (GO:0043144)	14	7	2.02	+	3.47	1.74E-03	2.03E-02
positive regulation of receptor clustering (GO:1903911)	12	6	1.73	+	3.47	3.78E-03	3.75E-02
regulation of stress granule assembly (GO:0062028)	12	6	1.73	+	3.47	3.78E-03	3.74E-02
DNA strand elongation (GO:0022616)	20	10	2.88	+	3.47	1.76E-04	2.82E-03
cellular response to thyroid hormone stimulus (GO:0097067)	12	6	1.73	+	3.47	3.78E-03	3.74E-02
regulation of protein folding (GO:1903332)	12	6	1.73	+	3.47	3.78E-03	3.74E-02
pyridine-containing compound metabolic process (GO:0072524)	136	68	19.61	+	3.47	7.37E-23	8.23E-21
regulation of lamellipodium organization (GO:1902743)	52	26	7.50	+	3.47	1.31E-09	4.97E-08
vesicle targeting (GO:0006903)	64	32	9.23	+	3.47	1.66E-11	8.43E-10
Golgi to endosome transport (GO:0006895)	18	9	2.60	+	3.47	3.76E-04	5.46E-03
ADP catabolic process (GO:0046032)	54	27	7.79	+	3.47	6.34E-10	2.56E-08
regulation of ferroptosis (GO:0110075)	30	15	4.33	+	3.47	4.22E-06	9.80E-05
negative regulation of amyloid-beta formation (GO:1902430)	18	9	2.60	+	3.47	3.76E-04	5.45E-03
protein targeting to lysosome (GO:0006622)	32	16	4.61	+	3.47	2.01E-06	4.94E-05
acyl-CoA biosynthetic process (GO:0071616)	46	23	6.63	+	3.47	1.18E-08	3.95E-07
virion assembly (GO:0019068)	36	18	5.19	+	3.47	4.61E-07	1.27E-05
plasma membrane repair (GO:0001778)	30	15	4.33	+	3.47	4.22E-06	9.79E-05
protein catabolic process in the vacuole (GO:0007039)	18	9	2.60	+	3.47	3.76E-04	5.45E-03
amino-acid betaine metabolic process (GO:0006577)	18	9	2.60	+	3.47	3.76E-04	5.44E-03
translational elongation (GO:0006414)	64	32	9.23	+	3.47	1.66E-11	8.40E-10
regulation of amyloid fibril formation (GO:1905906)	18	9	2.60	+	3.47	3.76E-04	5.44E-03
glycolytic process (GO:0006096)	50	25	7.21	+	3.47	2.73E-09	9.94E-08
vesicle targeting, to, from or within Golgi (GO:0048199)	30	15	4.33	+	3.47	4.22E-06	9.77E-05
alpha-linolenic acid metabolic process (GO:0036109)	16	8	2.31	+	3.47	8.06E-04	1.06E-02
vesicle cargo loading (GO:0035459)	36	18	5.19	+	3.47	4.61E-07	1.27E-05
purine deoxyribonucleotide metabolic process (GO:0009151)	18	9	2.60	+	3.47	3.76E-04	5.43E-03
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	18	9	2.60	+	3.47	3.76E-04	5.43E-03
thioester biosynthetic process (GO:0035384)	46	23	6.63	+	3.47	1.18E-08	3.95E-07
glutamine family amino acid biosynthetic process (GO:0009084)	18	9	2.60	+	3.47	3.76E-04	5.42E-03
maturation of SSU-rRNA (GO:0030490)	54	27	7.79	+	3.47	6.34E-10	2.56E-08
ribosomal large subunit biogenesis (GO:0042273)	72	36	10.38	+	3.47	9.07E-13	5.42E-11
regulation of DNA-templated DNA replication initiation (GO:0030174)	16	8	2.31	+	3.47	8.06E-04	1.06E-02
P-body assembly (GO:0033962)	16	8	2.31	+	3.47	8.06E-04	1.06E-02
pyridine-containing compound catabolic process (GO:0072526)	58	29	8.36	+	3.47	1.48E-10	6.39E-09
monocarboxylic acid catabolic process (GO:0072329)	115	57	16.59	+	3.44	3.71E-19	3.42E-17
RNA localization (GO:0006403)	187	92	26.97	+	3.41	9.34E-30	1.48E-27
pyridine nucleotide catabolic process (GO:0019364)	55	27	7.93	+	3.40	1.07E-09	4.17E-08
