




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (354)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
dATP catabolic process (GO:0046061)	2	2	.03	+	58.14	2.95E-04	3.69E-02
interleukin-27-mediated signaling pathway (GO:0070106)	8	5	.14	+	36.33	7.86E-08	5.04E-05
peptide antigen assembly with MHC class I protein complex (GO:0002502)	6	3	.10	+	29.07	9.71E-05	1.77E-02
MHC class I protein complex assembly (GO:0002397)	6	3	.10	+	29.07	9.71E-05	1.75E-02
actin filament network formation (GO:0051639)	9	3	.15	+	19.38	3.93E-04	4.39E-02
cellular response to exogenous dsRNA (GO:0071360)	16	5	.28	+	18.17	5.47E-06	1.83E-03
negative regulation of viral genome replication (GO:0045071)	51	15	.88	+	17.10	4.63E-15	6.83E-11
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	14	4	.24	+	16.61	7.52E-05	1.52E-02
antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	21	6	.36	+	16.61	1.08E-06	5.71E-04
response to interferon-alpha (GO:0035455)	22	6	.38	+	15.86	1.47E-06	6.99E-04
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	23	6	.40	+	15.17	1.96E-06	8.75E-04
antigen processing and presentation of peptide antigen via MHC class Ib (GO:0002428)	16	4	.28	+	14.53	1.33E-04	2.23E-02
collagen-activated signaling pathway (GO:0038065)	16	4	.28	+	14.53	1.33E-04	2.21E-02
cellular response to dsRNA (GO:0071359)	22	5	.38	+	13.21	3.03E-05	7.33E-03
negative regulation of viral process (GO:0048525)	77	17	1.32	+	12.84	1.32E-14	9.77E-11
antigen processing and presentation of endogenous antigen (GO:0019883)	30	6	.52	+	11.63	1.04E-05	3.20E-03
positive regulation of T cell receptor signaling pathway (GO:0050862)	20	4	.34	+	11.63	3.35E-04	3.96E-02
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	37	7	.64	+	11.00	2.77E-06	1.14E-03
response to type I interferon (GO:0034340)	59	11	1.01	+	10.84	4.47E-09	3.47E-06
regulation of viral genome replication (GO:0045069)	81	15	1.39	+	10.77	7.41E-12	1.09E-08
defense response to protozoan (GO:0042832)	28	5	.48	+	10.38	1.04E-04	1.85E-02
response to interferon-beta (GO:0035456)	40	7	.69	+	10.17	4.80E-06	1.69E-03
antiviral innate immune response (GO:0140374)	69	12	1.19	+	10.11	2.04E-09	1.67E-06
negative regulation of protein localization to nucleus (GO:1900181)	41	7	.71	+	9.93	5.71E-06	1.83E-03
response to protozoan (GO:0001562)	31	5	.53	+	9.38	1.72E-04	2.57E-02
cellular response to type I interferon (GO:0071357)	51	8	.88	+	9.12	2.37E-06	9.98E-04
positive regulation of defense response to virus by host (GO:0002230)	32	5	.55	+	9.08	2.01E-04	2.88E-02
regulation of viral life cycle (GO:1903900)	113	16	1.94	+	8.23	1.02E-10	1.08E-07
type I interferon-mediated signaling pathway (GO:0060337)	50	7	.86	+	8.14	2.22E-05	5.75E-03
positive regulation of interferon-beta production (GO:0032728)	43	6	.74	+	8.11	8.85E-05	1.72E-02
presynaptic endocytosis (GO:0140238)	58	8	1.00	+	8.02	6.41E-06	2.01E-03
synaptic vesicle endocytosis (GO:0048488)	53	7	.91	+	7.68	3.28E-05	7.80E-03
regulation of viral process (GO:0050792)	140	18	2.41	+	7.47	3.58E-11	4.06E-08
unsaturated fatty acid biosynthetic process (GO:0006636)	47	6	.81	+	7.42	1.47E-04	2.31E-02
response to exogenous dsRNA (GO:0043330)	47	6	.81	+	7.42	1.47E-04	2.28E-02
regulation of interferon-beta production (GO:0032648)	63	8	1.08	+	7.38	1.20E-05	3.55E-03
pyridine-containing compound catabolic process (GO:0072526)	58	7	1.00	+	7.02	5.94E-05	1.25E-02
synaptic vesicle recycling (GO:0036465)	62	7	1.07	+	6.56	9.16E-05	1.69E-02
pyridine nucleotide catabolic process (GO:0019364)	55	6	.95	+	6.34	3.54E-04	4.11E-02
response to dsRNA (GO:0043331)	55	6	.95	+	6.34	3.54E-04	4.08E-02
negative regulation of innate immune response (GO:0045824)	95	10	1.63	+	6.12	5.52E-06	1.81E-03
interferon-mediated signaling pathway (GO:0140888)	67	7	1.15	+	6.07	1.51E-04	2.31E-02
antigen processing and presentation of peptide antigen (GO:0048002)	69	7	1.19	+	5.90	1.81E-04	2.65E-02
defense response to virus (GO:0051607)	292	28	5.02	+	5.57	2.08E-13	6.13E-10
positive regulation of tumor necrosis factor production (GO:0032760)	110	10	1.89	+	5.29	2.04E-05	5.38E-03
negative regulation of response to biotic stimulus (GO:0002832)	132	12	2.27	+	5.29	3.06E-06	1.22E-03
positive regulation of type I interferon production (GO:0032481)	79	7	1.36	+	5.15	4.21E-04	4.53E-02
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	114	10	1.96	+	5.10	2.79E-05	6.97E-03
regulation of cytokine production involved in immune response (GO:0002718)	127	11	2.18	+	5.04	1.25E-05	3.56E-03
response to type II interferon (GO:0034341)	118	10	2.03	+	4.93	3.76E-05	8.80E-03
purine nucleotide catabolic process (GO:0006195)	95	8	1.63	+	4.90	2.34E-04	3.20E-02
nucleotide catabolic process (GO:0009166)	121	10	2.08	+	4.80	4.66E-05	1.03E-02
response to virus (GO:0009615)	400	33	6.88	+	4.80	1.01E-13	4.99E-10
antigen processing and presentation (GO:0019882)	105	8	1.81	+	4.43	4.64E-04	4.92E-02
regulation of type II interferon production (GO:0032649)	119	9	2.05	+	4.40	2.19E-04	3.05E-02
regulation of generation of precursor metabolites and energy (GO:0043467)	138	10	2.37	+	4.21	1.41E-04	2.26E-02
carbohydrate derivative catabolic process (GO:1901136)	210	15	3.61	+	4.15	3.83E-06	1.41E-03
nucleoside phosphate catabolic process (GO:1901292)	143	10	2.46	+	4.07	1.89E-04	2.73E-02
regulation of type I interferon production (GO:0032479)	132	9	2.27	+	3.96	4.73E-04	4.98E-02
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	181	12	3.11	+	3.85	7.36E-05	1.51E-02
cellular response to insulin stimulus (GO:0032869)	159	10	2.73	+	3.66	4.42E-04	4.73E-02
regulation of tumor necrosis factor production (GO:0032680)	176	11	3.03	+	3.63	2.45E-04	3.28E-02
negative regulation of immune response (GO:0050777)	212	13	3.65	+	3.56	8.27E-05	1.65E-02
organophosphate catabolic process (GO:0046434)	199	12	3.42	+	3.51	1.80E-04	2.66E-02
innate immune response (GO:0045087)	800	44	13.76	+	3.20	1.01E-11	1.36E-08
actin filament organization (GO:0007015)	280	15	4.82	+	3.11	1.11E-04	1.92E-02
defense response to other organism (GO:0098542)	924	47	15.89	+	2.96	2.79E-11	3.43E-08
negative regulation of defense response (GO:0031348)	277	14	4.76	+	2.94	3.38E-04	3.96E-02
defense response to symbiont (GO:0140546)	908	45	15.62	+	2.88	1.79E-10	1.76E-07
negative regulation of cytokine production (GO:0001818)	308	15	5.30	+	2.83	3.11E-04	3.83E-02
regulation of response to biotic stimulus (GO:0002831)	576	28	9.91	+	2.83	8.87E-07	5.03E-04
alcohol metabolic process (GO:0006066)	310	15	5.33	+	2.81	3.33E-04	3.96E-02
cellular response to nitrogen compound (GO:1901699)	615	28	10.58	+	2.65	3.15E-06	1.22E-03
response to other organism (GO:0051707)	1457	66	25.06	+	2.63	3.18E-13	7.82E-10
response to external biotic stimulus (GO:0043207)	1460	66	25.11	+	2.63	3.49E-13	7.36E-10
small molecule biosynthetic process (GO:0044283)	489	22	8.41	+	2.62	4.36E-05	1.01E-02
negative regulation of response to external stimulus (GO:0032102)	404	18	6.95	+	2.59	2.42E-04	3.27E-02
nucleoside phosphate metabolic process (GO:0006753)	588	26	10.11	+	2.57	1.19E-05	3.59E-03
negative regulation of immune system process (GO:0002683)	546	24	9.39	+	2.56	2.85E-05	7.02E-03
response to biotic stimulus (GO:0009607)	1507	66	25.92	+	2.55	1.48E-12	2.42E-09
nucleotide metabolic process (GO:0009117)	434	19	7.47	+	2.55	2.04E-04	2.90E-02
monocarboxylic acid metabolic process (GO:0032787)	526	23	9.05	+	2.54	4.54E-05	1.01E-02
carboxylic acid metabolic process (GO:0019752)	802	35	13.80	+	2.54	4.75E-07	2.81E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	1627	71	27.99	+	2.54	2.05E-13	7.57E-10
positive regulation of cytokine production (GO:0001819)	506	22	8.70	+	2.53	7.21E-05	1.50E-02
regulation of innate immune response (GO:0045088)	483	21	8.31	+	2.53	1.05E-04	1.84E-02
endocytosis (GO:0006897)	512	22	8.81	+	2.50	8.56E-05	1.68E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	612	26	10.53	+	2.47	2.37E-05	6.04E-03
oxoacid metabolic process (GO:0043436)	824	35	14.17	+	2.47	1.35E-06	6.63E-04
response to cytokine (GO:0034097)	848	36	14.59	+	2.47	9.19E-07	5.02E-04
