




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
helicase activity (GO:0004386)	148	52	21.34	+	2.44	3.16E-10	1.41E-08
virus receptor activity (GO:0001618)	80	28	11.54	+	2.43	3.38E-06	8.74E-05
RNA polymerase binding (GO:0070063)	60	21	8.65	+	2.43	5.50E-05	1.09E-03
beta-tubulin binding (GO:0048487)	43	15	6.20	+	2.42	6.48E-04	9.47E-03
hydro-lyase activity (GO:0016836)	61	21	8.80	+	2.39	7.26E-05	1.35E-03
alcohol dehydrogenase (NADP+) activity (GO:0008106)	35	12	5.05	+	2.38	2.61E-03	3.20E-02
ion channel inhibitor activity (GO:0008200)	53	18	7.64	+	2.35	2.83E-04	4.67E-03
structural constituent of cytoskeleton (GO:0005200)	115	39	16.59	+	2.35	1.32E-07	4.29E-06
isomerase activity (GO:0016853)	434	147	62.59	+	2.35	7.49E-25	7.24E-23
oxidoreductase activity (GO:0016491)	674	226	97.20	+	2.33	5.12E-37	7.48E-35
ATP hydrolysis activity (GO:0016887)	400	134	57.69	+	2.32	2.66E-22	2.43E-20
channel inhibitor activity (GO:0016248)	54	18	7.79	+	2.31	5.88E-04	8.67E-03
single-stranded DNA binding (GO:0003697)	123	41	17.74	+	2.31	1.00E-07	3.35E-06
RNA polymerase II complex binding (GO:0000993)	36	12	5.19	+	2.31	3.41E-03	3.90E-02
quaternary ammonium group binding (GO:0050997)	39	13	5.62	+	2.31	2.34E-03	2.94E-02
scaffold protein binding (GO:0097110)	72	24	10.38	+	2.31	5.48E-05	1.10E-03
ubiquitin protein ligase binding (GO:0031625)	302	100	43.55	+	2.30	1.91E-16	1.25E-14
chromatin DNA binding (GO:0031490)	127	42	18.32	+	2.29	1.41E-07	4.55E-06
magnesium ion binding (GO:0000287)	236	78	34.04	+	2.29	3.93E-13	2.21E-11
carbon-oxygen lyase activity (GO:0016835)	79	26	11.39	+	2.28	3.05E-05	6.40E-04
phosphatidylserine binding (GO:0001786)	61	20	8.80	+	2.27	3.02E-04	4.94E-03
molecular condensate scaffold activity (GO:0140693)	52	17	7.50	+	2.27	9.85E-04	1.40E-02
ubiquitin binding (GO:0043130)	104	34	15.00	+	2.27	1.99E-06	5.64E-05
phosphoprotein binding (GO:0051219)	95	31	13.70	+	2.26	5.92E-06	1.46E-04
ubiquitin-like protein ligase binding (GO:0044389)	322	105	46.44	+	2.26	1.19E-16	7.91E-15
proteoglycan binding (GO:0043394)	37	12	5.34	+	2.25	4.39E-03	4.87E-02
ATP-dependent activity (GO:0140657)	582	188	83.93	+	2.24	1.40E-28	1.49E-26
GTPase binding (GO:0051020)	322	104	46.44	+	2.24	2.64E-16	1.71E-14
transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)	62	20	8.94	+	2.24	3.55E-04	5.66E-03
protein phosphorylated amino acid binding (GO:0045309)	59	19	8.51	+	2.23	5.21E-04	7.87E-03
structural molecule activity (GO:0005198)	812	261	117.10	+	2.23	4.17E-39	6.89E-37
protein-membrane adaptor activity (GO:0043495)	53	17	7.64	+	2.22	1.13E-03	1.53E-02
molecular sequestering activity (GO:0140313)	78	25	11.25	+	2.22	6.60E-05	1.23E-03
protein-containing complex binding (GO:0044877)	1299	416	187.34	+	2.22	8.32E-63	2.66E-60
protein kinase C binding (GO:0005080)	50	16	7.21	+	2.22	1.67E-03	2.17E-02
GTP binding (GO:0005525)	382	122	55.09	+	2.21	2.44E-18	1.83E-16
modified amino acid binding (GO:0072341)	91	29	13.12	+	2.21	2.95E-05	6.21E-04
catalytic activity, acting on a tRNA (GO:0140101)	154	49	22.21	+	2.21	4.35E-08	1.50E-06
basal RNA polymerase II transcription machinery binding (GO:0001099)	60	19	8.65	+	2.20	6.19E-04	9.10E-03
basal transcription machinery binding (GO:0001098)	60	19	8.65	+	2.20	6.19E-04	9.08E-03
cell adhesion mediator activity (GO:0098631)	89	28	12.84	+	2.18	4.80E-05	9.82E-04
ubiquitin-like protein binding (GO:0032182)	124	39	17.88	+	2.18	1.14E-06	3.44E-05
manganese ion binding (GO:0030145)	70	22	10.10	+	2.18	2.45E-04	4.13E-03
clathrin binding (GO:0030276)	48	15	6.92	+	2.17	2.87E-03	3.49E-02
ribonucleoside triphosphate phosphatase activity (GO:0017111)	738	230	106.43	+	2.16	3.02E-32	3.97E-30
transporter inhibitor activity (GO:0141110)	58	18	8.36	+	2.15	1.08E-03	1.49E-02
cholesterol binding (GO:0015485)	55	17	7.93	+	2.14	1.58E-03	2.07E-02
guanyl nucleotide binding (GO:0019001)	406	125	58.55	+	2.13	1.78E-17	1.30E-15
guanyl ribonucleotide binding (GO:0032561)	406	125	58.55	+	2.13	1.78E-17	1.28E-15
pyrophosphatase activity (GO:0016462)	798	242	115.09	+	2.10	9.53E-32	1.22E-29
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	801	242	115.52	+	2.09	1.37E-31	1.72E-29
hydrolase activity, acting on acid anhydrides (GO:0016817)	801	242	115.52	+	2.09	1.37E-31	1.67E-29
transmembrane transporter binding (GO:0044325)	149	45	21.49	+	2.09	8.15E-07	2.50E-05
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	91	27	13.12	+	2.06	2.30E-04	3.90E-03
ATPase-coupled monoatomic cation transmembrane transporter activity (GO:0019829)	54	16	7.79	+	2.05	3.29E-03	3.79E-02
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)	68	20	9.81	+	2.04	1.41E-03	1.88E-02
acetyltransferase activity (GO:0016407)	92	27	13.27	+	2.03	2.49E-04	4.13E-03
macromolecular conformation isomerase activity (GO:0120543)	283	83	40.81	+	2.03	1.08E-10	5.07E-09
small GTPase binding (GO:0031267)	287	84	41.39	+	2.03	8.19E-11	3.88E-09
catalytic activity, acting on RNA (GO:0140098)	428	125	61.73	+	2.03	1.71E-15	1.06E-13
nucleoside phosphate binding (GO:1901265)	2151	625	310.21	+	2.01	1.03E-77	5.87E-75
sterol binding (GO:0032934)	69	20	9.95	+	2.01	1.61E-03	2.10E-02
heterocyclic compound binding (GO:1901363)	2277	660	328.38	+	2.01	3.52E-82	2.25E-79
lyase activity (GO:0016829)	204	59	29.42	+	2.01	9.94E-08	3.35E-06
nucleotide binding (GO:0000166)	2132	616	307.47	+	2.00	1.84E-75	9.41E-73
GTPase activity (GO:0003924)	343	99	49.47	+	2.00	3.35E-12	1.75E-10
polyubiquitin modification-dependent protein binding (GO:0031593)	59	17	8.51	+	2.00	4.31E-03	4.80E-02
protein phosphatase binding (GO:0019903)	151	43	21.78	+	1.97	6.80E-06	1.65E-04
purine nucleotide binding (GO:0017076)	1968	560	283.82	+	1.97	3.33E-65	1.22E-62
ATP-dependent activity, acting on DNA (GO:0008094)	120	34	17.31	+	1.96	6.93E-05	1.29E-03
adenyl nucleotide binding (GO:0030554)	1616	454	233.06	+	1.95	2.66E-50	5.23E-48
cysteine-type endopeptidase activity (GO:0004197)	86	24	12.40	+	1.94	1.03E-03	1.44E-02
vitamin binding (GO:0019842)	148	41	21.34	+	1.92	2.77E-05	5.91E-04
actin binding (GO:0003779)	448	124	64.61	+	1.92	2.09E-13	1.20E-11
purine ribonucleoside triphosphate binding (GO:0035639)	1823	504	262.91	+	1.92	6.54E-54	1.59E-51
protein domain specific binding (GO:0019904)	651	179	93.89	+	1.91	1.13E-18	8.60E-17
modification-dependent protein binding (GO:0140030)	84	23	12.11	+	1.90	1.66E-03	2.17E-02
purine ribonucleotide binding (GO:0032555)	1871	510	269.83	+	1.89	1.43E-52	2.93E-50
ribonucleotide binding (GO:0032553)	1888	514	272.28	+	1.89	7.63E-53	1.78E-50
anion binding (GO:0043168)	2463	670	355.21	+	1.89	1.20E-70	4.73E-68
integrin binding (GO:0005178)	152	41	21.92	+	1.87	6.06E-05	1.18E-03
protein kinase inhibitor activity (GO:0004860)	93	25	13.41	+	1.86	1.59E-03	2.09E-02
ATP binding (GO:0005524)	1478	397	213.15	+	1.86	1.58E-38	2.52E-36
calcium-dependent protein binding (GO:0048306)	82	22	11.83	+	1.86	3.87E-03	4.34E-02
kinase inhibitor activity (GO:0019210)	97	26	13.99	+	1.86	1.25E-03	1.69E-02
phosphatase binding (GO:0019902)	198	53	28.56	+	1.86	5.46E-06	1.36E-04
adenyl ribonucleotide binding (GO:0032559)	1520	404	219.21	+	1.84	3.54E-38	5.49E-36
protein homodimerization activity (GO:0042803)	727	193	104.85	+	1.84	3.91E-18	2.90E-16
catalytic activity, acting on a nucleic acid (GO:0140640)	669	177	96.48	+	1.83	1.17E-16	7.91E-15
protease binding (GO:0002020)	140	37	20.19	+	1.83	2.32E-04	3.94E-03
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (GO:0016810)	129	34	18.60	+	1.83	3.56E-04	5.66E-03
enzyme binding (GO:0019899)	2121	544	305.89	+	1.78	2.99E-47	5.28E-45
cytoskeletal protein binding (GO:0008092)	1008	258	145.37	+	1.77	1.26E-21	1.13E-19
SH3 domain binding (GO:0017124)	114	29	16.44	+	1.76	1.85E-03	2.38E-02
carbohydrate derivative binding (GO:0097367)	2253	572	324.92	+	1.76	1.90E-48	3.60E-46
hydrolase activity, acting on glycosyl bonds (GO:0016798)	130	33	18.75	+	1.76	9.68E-04	1.38E-02
identical protein binding (GO:0042802)	2216	559	319.59	+	1.75	3.03E-46	5.17E-44
phosphatidylinositol bisphosphate binding (GO:1902936)	111	28	16.01	+	1.75	2.55E-03	3.14E-02
phosphatidylinositol binding (GO:0035091)	286	69	41.25	+	1.67	1.26E-05	2.83E-04
nucleic acid binding (GO:0003676)	3994	952	576.01	+	1.65	1.71E-71	7.96E-69
amide binding (GO:0033218)	244	58	35.19	+	1.65	1.01E-04	1.83E-03
carboxylic ester hydrolase activity (GO:0052689)	152	36	21.92	+	1.64	2.35E-03	2.94E-02
peptide binding (GO:0042277)	233	55	33.60	+	1.64	1.59E-04	2.82E-03
hydrolase activity (GO:0016787)	2412	560	347.85	+	1.61	6.35E-35	8.79E-33
histone binding (GO:0042393)	177	41	25.53	+	1.61	1.71E-03	2.21E-02
catalytic activity (GO:0003824)	5609	1269	808.92	+	1.57	6.85E-87	5.01E-84
protein dimerization activity (GO:0046983)	1094	246	157.77	+	1.56	2.00E-13	1.17E-11
phospholipid binding (GO:0005543)	505	112	72.83	+	1.54	2.44E-06	6.71E-05
metallopeptidase activity (GO:0008237)	185	41	26.68	+	1.54	4.31E-03	4.81E-02
molecular adaptor activity (GO:0060090)	1441	318	207.82	+	1.53	5.48E-16	3.46E-14
phosphatidylinositol phosphate binding (GO:1901981)	186	41	26.82	+	1.53	4.50E-03	4.94E-02
protein-macromolecule adaptor activity (GO:0030674)	1301	281	187.63	+	1.50	5.35E-13	2.97E-11
transcription corepressor activity (GO:0003714)	214	46	30.86	+	1.49	4.47E-03	4.94E-02
carbohydrate binding (GO:0030246)	281	60	40.53	+	1.48	1.49E-03	1.98E-02
protein kinase binding (GO:0019901)	702	148	101.24	+	1.46	1.34E-06	3.86E-05
kinase binding (GO:0019900)	782	164	112.78	+	1.45	4.27E-07	1.33E-05
transcription coactivator activity (GO:0003713)	291	61	41.97	+	1.45	2.37E-03	2.96E-02
enzyme inhibitor activity (GO:0004857)	450	94	64.90	+	1.45	1.78E-04	3.10E-03
enzyme activator activity (GO:0008047)	657	137	94.75	+	1.45	5.75E-06	1.42E-04
catalytic activity, acting on DNA (GO:0140097)	259	54	37.35	+	1.45	4.32E-03	4.80E-02
transcription factor binding (GO:0008134)	604	124	87.11	+	1.42	3.60E-05	7.46E-04
enzyme regulator activity (GO:0030234)	1398	287	201.62	+	1.42	1.41E-10	6.55E-09
molecular function inhibitor activity (GO:0140678)	610	124	87.97	+	1.41	5.19E-05	1.06E-03
lipid binding (GO:0008289)	870	176	125.47	+	1.40	2.02E-06	5.67E-05
hydrolase activity, acting on ester bonds (GO:0016788)	697	139	100.52	+	1.38	5.86E-05	1.14E-03
chromatin binding (GO:0003682)	620	123	89.41	+	1.38	1.94E-04	3.33E-03
DNA-binding transcription factor binding (GO:0140297)	497	98	71.68	+	1.37	1.18E-03	1.60E-02
transcription coregulator activity (GO:0003712)	533	104	76.87	+	1.35	1.12E-03	1.53E-02
small molecule binding (GO:0036094)	6359	1168	917.08	+	1.27	4.02E-26	4.11E-24
protein binding (GO:0005515)	14817	2696	2136.87	+	1.26	6.23E-161	1.59E-157
ion binding (GO:0043167)	6172	1111	890.11	+	1.25	5.65E-21	4.82E-19
transferase activity, transferring phosphorus-containing groups (GO:0016772)	901	161	129.94	+	1.24	3.57E-03	4.07E-02
molecular function regulator activity (GO:0098772)	2386	414	344.10	+	1.20	2.15E-05	4.67E-04
binding (GO:0005488)	16779	2849	2419.83	+	1.18	1.36E-139	2.32E-136
transferase activity (GO:0016740)	2261	379	326.08	+	1.16	9.63E-04	1.38E-02
molecular_function (GO:0003674)	18310	2931	2640.63	+	1.11	1.27E-109	1.62E-106
DNA binding (GO:0003677)	2520	287	363.43	-	.79	2.28E-06	6.35E-05
transition metal ion binding (GO:0046914)	2431	251	350.59	-	.72	2.67E-10	1.20E-08
ubiquitin-protein transferase activity (GO:0004842)	457	42	65.91	-	.64	9.29E-04	1.33E-02
ubiquitin-like protein ligase activity (GO:0061659)	400	36	57.69	-	.62	1.19E-03	1.60E-02
zinc ion binding (GO:0008270)	2154	191	310.64	-	.61	3.09E-16	1.97E-14
ubiquitin protein ligase activity (GO:0061630)	382	33	55.09	-	.60	6.96E-04	1.01E-02
transcription regulator activity (GO:0140110)	1938	137	279.49	-	.49	1.52E-25	1.49E-23
double-stranded DNA binding (GO:0003690)	1613	114	232.62	-	.49	3.30E-21	2.91E-19
signaling receptor activator activity (GO:0030546)	569	39	82.06	-	.48	2.00E-08	7.30E-07
inorganic anion transmembrane transporter activity (GO:0015103)	162	11	23.36	-	.47	3.40E-03	3.90E-02
signaling receptor regulator activity (GO:0030545)	622	42	89.70	-	.47	2.50E-09	1.03E-07
sequence-specific DNA binding (GO:0043565)	1642	110	236.81	-	.46	6.32E-24	5.88E-22
passive transmembrane transporter activity (GO:0022803)	505	33	72.83	-	.45	2.76E-08	9.89E-07
channel activity (GO:0015267)	505	33	72.83	-	.45	2.76E-08	9.82E-07
receptor ligand activity (GO:0048018)	559	35	80.62	-	.43	1.11E-09	4.71E-08
monoatomic cation channel activity (GO:0005261)	338	21	48.75	-	.43	3.29E-06	8.59E-05
monoatomic anion transmembrane transporter activity (GO:0008509)	146	9	21.06	-	.43	2.87E-03	3.49E-02
monoatomic ion channel activity (GO:0005216)	444	27	64.03	-	.42	3.47E-08	1.22E-06
sequence-specific double-stranded DNA binding (GO:1990837)	1517	85	218.78	-	.39	2.12E-29	2.31E-27
transcription cis-regulatory region binding (GO:0000976)	1440	75	207.67	-	.36	1.16E-30	1.35E-28
transcription regulatory region nucleic acid binding (GO:0001067)	1441	75	207.82	-	.36	1.18E-30	1.34E-28
metal ion transmembrane transporter activity (GO:0046873)	448	23	64.61	-	.36	3.63E-10	1.60E-08
cytokine binding (GO:0019955)	143	7	20.62	-	.34	4.53E-04	6.98E-03
symporter activity (GO:0015293)	147	7	21.20	-	.33	3.36E-04	5.45E-03
calcium channel activity (GO:0005262)	127	6	18.32	-	.33	8.40E-04	1.21E-02
ubiquitin-like ligase-substrate adaptor activity (GO:1990756)	137	6	19.76	-	.30	2.17E-04	3.72E-03
DNA-binding transcription activator activity (GO:0001216)	452	19	65.19	-	.29	1.37E-12	7.33E-11
chloride transmembrane transporter activity (GO:0015108)	119	5	17.16	-	.29	5.55E-04	8.21E-03
cis-regulatory region sequence-specific DNA binding (GO:0000987)	1146	47	165.27	-	.28	1.78E-31	2.11E-29
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	444	18	64.03	-	.28	8.57E-13	4.62E-11
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	1341	53	193.40	-	.27	4.31E-38	6.49E-36
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	1122	43	161.81	-	.27	8.29E-33	1.12E-30
transmembrane receptor protein kinase activity (GO:0019199)	79	3	11.39	-	.26	3.56E-03	4.07E-02
cytokine activity (GO:0005125)	239	9	34.47	-	.26	8.30E-08	2.83E-06
growth factor activity (GO:0008083)	162	6	23.36	-	.26	1.41E-05	3.13E-04
voltage-gated monoatomic ion channel activity (GO:0005244)	172	6	24.81	-	.24	3.34E-06	8.68E-05
voltage-gated channel activity (GO:0022832)	174	6	25.09	-	.24	3.46E-06	8.91E-05
molecular transducer activity (GO:0060089)	1604	53	231.33	-	.23	8.58E-53	1.91E-50
signaling receptor activity (GO:0038023)	1604	53	231.33	-	.23	8.58E-53	1.83E-50
potassium ion transmembrane transporter activity (GO:0015079)	161	5	23.22	-	.22	2.68E-06	7.34E-05
DNA-binding transcription repressor activity (GO:0001217)	299	9	43.12	-	.21	6.59E-11	3.15E-09
sodium ion transmembrane transporter activity (GO:0015081)	167	5	24.08	-	.21	1.29E-06	3.81E-05
hormone activity (GO:0005179)	136	4	19.61	-	.20	1.30E-05	2.92E-04
gated channel activity (GO:0022836)	316	9	45.57	-	.20	7.12E-12	3.61E-10
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	289	8	41.68	-	.19	3.22E-11	1.58E-09
solute:sodium symporter activity (GO:0015370)	80	2	11.54	-	.17	6.63E-04	9.66E-03
antigen binding (GO:0003823)	201	5	28.99	-	.17	1.45E-08	5.43E-07
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	1332	30	192.10	-	.16	6.81E-55	1.74E-52
DNA-binding transcription factor activity (GO:0003700)	1422	32	205.08	-	.16	1.15E-58	3.28E-56
ligand-gated monoatomic cation channel activity (GO:0099094)	137	3	19.76	-	.15	2.06E-06	5.76E-05
ligand-gated monoatomic ion channel activity (GO:0015276)	186	4	26.82	-	.15	2.16E-08	7.82E-07
ligand-gated channel activity (GO:0022834)	188	4	27.11	-	.15	1.43E-08	5.37E-07
Unclassified (UNCLASSIFIED)	2270	37	327.37	-	.11	1.27E-109	1.30E-106
potassium channel activity (GO:0005267)	125	2	18.03	-	.11	1.27E-06	3.79E-05
transmembrane signaling receptor activity (GO:0004888)	1326	21	191.23	-	.11	4.02E-63	1.37E-60
voltage-gated monoatomic cation channel activity (GO:0022843)	143	2	20.62	-	.10	1.18E-07	3.89E-06
immune receptor activity (GO:0140375)	155	2	22.35	-	.09	2.45E-08	8.84E-07
neurotransmitter receptor activity (GO:0030594)	97	1	13.99	-	.07	7.65E-06	1.83E-04
cytokine receptor activity (GO:0004896)	98	1	14.13	-	.07	7.87E-06	1.87E-04
voltage-gated potassium channel activity (GO:0005249)	99	1	14.28	-	.07	5.09E-06	1.28E-04
G protein-coupled receptor activity (GO:0004930)	879	2	126.77	-	.02	2.82E-57	7.61E-55
neuropeptide receptor binding (GO:0071855)	41	0	5.91	-	 < 0.01	2.91E-03	3.53E-02
peptide receptor activity (GO:0001653)	130	0	18.75	-	 < 0.01	3.38E-09	1.36E-07
transmitter-gated channel activity (GO:0022835)	63	0	9.09	-	 < 0.01	9.23E-05	1.69E-03
transmitter-gated monoatomic ion channel activity (GO:0022824)	63	0	9.09	-	 < 0.01	9.23E-05	1.69E-03
G protein-coupled peptide receptor activity (GO:0008528)	124	0	17.88	-	 < 0.01	7.64E-09	2.92E-07
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	58	0	8.36	-	 < 0.01	2.22E-04	3.79E-03
postsynaptic neurotransmitter receptor activity (GO:0098960)	71	0	10.24	-	 < 0.01	2.53E-05	5.44E-04
G protein-coupled amine receptor activity (GO:0008227)	41	0	5.91	-	 < 0.01	2.91E-03	3.52E-02
odorant binding (GO:0005549)	119	0	17.16	-	 < 0.01	1.86E-08	6.86E-07
neuropeptide receptor activity (GO:0008188)	53	0	7.64	-	 < 0.01	5.40E-04	8.02E-03
transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	55	0	7.93	-	 < 0.01	3.38E-04	5.44E-03
olfactory receptor activity (GO:0004984)	435	0	62.73	-	 < 0.01	3.08E-30	3.42E-28
voltage-gated calcium channel activity (GO:0005245)	42	0	6.06	-	 < 0.01	3.04E-03	3.53E-02
extracellular ligand-gated monoatomic ion channel activity (GO:0005230)	74	0	10.67	-	 < 0.01	1.66E-05	3.62E-04
