,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,LGD_IGD,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,HGD_CIS,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN,Inv_IPMN
PG.ProteinGroups,[1] 20250115_YSU_Plasma_EV_DIA_1ug_180.raw.PG.Quantity,[2] 20250115_YSU_Plasma_EV_DIA_1ug_181.raw.PG.Quantity,[3] 20250115_YSU_Plasma_EV_DIA_1ug_182.raw.PG.Quantity,[4] 20250115_YSU_Plasma_EV_DIA_1ug_183.raw.PG.Quantity,[5] 20250115_YSU_Plasma_EV_DIA_1ug_184.raw.PG.Quantity,[6] 20250115_YSU_Plasma_EV_DIA_1ug_185.raw.PG.Quantity,[7] 20250115_YSU_Plasma_EV_DIA_1ug_186.raw.PG.Quantity,[8] 20250115_YSU_Plasma_EV_DIA_1ug_187.raw.PG.Quantity,[9] 20250115_YSU_Plasma_EV_DIA_1ug_188.raw.PG.Quantity,[10] 20250115_YSU_Plasma_EV_DIA_1ug_21.raw.PG.Quantity,[11] 20250115_YSU_Plasma_EV_DIA_1ug_23.raw.PG.Quantity,[12] 20250115_YSU_Plasma_EV_DIA_1ug_28.raw.PG.Quantity,[13] 20250115_YSU_Plasma_EV_DIA_1ug_29.raw.PG.Quantity,[14] 20250115_YSU_Plasma_EV_DIA_1ug_30.raw.PG.Quantity,[15] 20250115_YSU_Plasma_EV_DIA_1ug_31.raw.PG.Quantity,[16] 20250115_YSU_Plasma_EV_DIA_1ug_32.raw.PG.Quantity,[17] 20250115_YSU_Plasma_EV_DIA_1ug_34.raw.PG.Quantity,[18] 20250115_YSU_Plasma_EV_DIA_1ug_36.raw.PG.Quantity,[19] 20250115_YSU_Plasma_EV_DIA_1ug_38.raw.PG.Quantity,[20] 20250115_YSU_Plasma_EV_DIA_1ug_43.raw.PG.Quantity,[21] 20250115_YSU_Plasma_EV_DIA_1ug_45.raw.PG.Quantity,[22] 20250115_YSU_Plasma_EV_DIA_1ug_46.raw.PG.Quantity,[23] 20250115_YSU_Plasma_EV_DIA_1ug_47.raw.PG.Quantity,[24] 20250115_YSU_Plasma_EV_DIA_1ug_48.raw.PG.Quantity,[25] 20250115_YSU_Plasma_EV_DIA_1ug_49.raw.PG.Quantity,[26] 20250115_YSU_Plasma_EV_DIA_1ug_50.raw.PG.Quantity,[27] 20250115_YSU_Plasma_EV_DIA_1ug_51.raw.PG.Quantity,[28] 20250115_YSU_Plasma_EV_DIA_1ug_52.raw.PG.Quantity,[29] 20250115_YSU_Plasma_EV_DIA_1ug_54.raw.PG.Quantity,[30] 20250115_YSU_Plasma_EV_DIA_1ug_55.raw.PG.Quantity,[31] 20250115_YSU_Plasma_EV_DIA_1ug_56.raw.PG.Quantity,[32] 20250115_YSU_Plasma_EV_DIA_1ug_61.raw.PG.Quantity,[33] 20250115_YSU_Plasma_EV_DIA_1ug_62.raw.PG.Quantity,[34] 20250115_YSU_Plasma_EV_DIA_1ug_63.raw.PG.Quantity,[35] 20250115_YSU_Plasma_EV_DIA_1ug_65.raw.PG.Quantity,[36] 20250115_YSU_Plasma_EV_DIA_1ug_73.raw.PG.Quantity,[37] 20250115_YSU_Plasma_EV_DIA_1ug_74.raw.PG.Quantity,[38] 20250115_YSU_Plasma_EV_DIA_1ug_75.raw.PG.Quantity,[39] 20250115_YSU_Plasma_EV_DIA_1ug_77.raw.PG.Quantity,[40] 20250115_YSU_Plasma_EV_DIA_1ug_79.raw.PG.Quantity,[41] 20250115_YSU_Plasma_EV_DIA_1ug_81.raw.PG.Quantity,[42] 20250115_YSU_Plasma_EV_DIA_1ug_84.raw.PG.Quantity,[43] 20250115_YSU_Plasma_EV_DIA_1ug_86.raw.PG.Quantity,[44] 20250115_YSU_Plasma_EV_DIA_1ug_87.raw.PG.Quantity,[45] 20250115_YSU_Plasma_EV_DIA_1ug_89.raw.PG.Quantity,[46] 20250115_YSU_Plasma_EV_DIA_1ug_90.raw.PG.Quantity,[47] 20250115_YSU_Plasma_EV_DIA_1ug_113.raw.PG.Quantity,[48] 20250115_YSU_Plasma_EV_DIA_1ug_116.raw.PG.Quantity,[49] 20250115_YSU_Plasma_EV_DIA_1ug_117.raw.PG.Quantity,[50] 20250115_YSU_Plasma_EV_DIA_1ug_118.raw.PG.Quantity,[51] 20250115_YSU_Plasma_EV_DIA_1ug_119.raw.PG.Quantity,[52] 20250115_YSU_Plasma_EV_DIA_1ug_124.raw.PG.Quantity,[53] 20250115_YSU_Plasma_EV_DIA_1ug_129.raw.PG.Quantity,[54] 20250115_YSU_Plasma_EV_DIA_1ug_130.raw.PG.Quantity,[55] 20250115_YSU_Plasma_EV_DIA_1ug_133.raw.PG.Quantity,[56] 20250115_YSU_Plasma_EV_DIA_1ug_134.raw.PG.Quantity,[57] 20250115_YSU_Plasma_EV_DIA_1ug_135.raw.PG.Quantity,[58] 20250115_YSU_Plasma_EV_DIA_1ug_140.raw.PG.Quantity,[59] 20250115_YSU_Plasma_EV_DIA_1ug_141.raw.PG.Quantity,[60] 20250115_YSU_Plasma_EV_DIA_1ug_142.raw.PG.Quantity,[61] 20250115_YSU_Plasma_EV_DIA_1ug_143.raw.PG.Quantity,[62] 20250115_YSU_Plasma_EV_DIA_1ug_146.raw.PG.Quantity,[63] 20250115_YSU_Plasma_EV_DIA_1ug_147.raw.PG.Quantity,[64] 20250115_YSU_Plasma_EV_DIA_1ug_148.raw.PG.Quantity,[65] 20250115_YSU_Plasma_EV_DIA_1ug_149.raw.PG.Quantity,[66] 20250115_YSU_Plasma_EV_DIA_1ug_151.raw.PG.Quantity,[67] 20250115_YSU_Plasma_EV_DIA_1ug_153.raw.PG.Quantity,[68] 20250115_YSU_Plasma_EV_DIA_1ug_154.raw.PG.Quantity,[69] 20250115_YSU_Plasma_EV_DIA_1ug_157.raw.PG.Quantity,[70] 20250115_YSU_Plasma_EV_DIA_1ug_158.raw.PG.Quantity,[71] 20250115_YSU_Plasma_EV_DIA_1ug_159.raw.PG.Quantity,[72] 20250115_YSU_Plasma_EV_DIA_1ug_160.raw.PG.Quantity,[73] 20250115_YSU_Plasma_EV_DIA_1ug_161.raw.PG.Quantity,[74] 20250115_YSU_Plasma_EV_DIA_1ug_164.raw.PG.Quantity,[75] 20250115_YSU_Plasma_EV_DIA_1ug_165.raw.PG.Quantity,[76] 20250115_YSU_Plasma_EV_DIA_1ug_166.raw.PG.Quantity,[77] 20250115_YSU_Plasma_EV_DIA_1ug_169.raw.PG.Quantity,[78] 20250115_YSU_Plasma_EV_DIA_1ug_173.raw.PG.Quantity,[79] 20250115_YSU_Plasma_EV_DIA_1ug_174.raw.PG.Quantity,[80] 20250115_YSU_Plasma_EV_DIA_1ug_176.raw.PG.Quantity,[81] 20260115_YSU_Plasma_EV_DIA_1ug_01.raw.PG.Quantity,[82] 20260115_YSU_Plasma_EV_DIA_1ug_02.raw.PG.Quantity,[83] 20260115_YSU_Plasma_EV_DIA_1ug_04.raw.PG.Quantity,[84] 20260115_YSU_Plasma_EV_DIA_1ug_05.raw.PG.Quantity,[85] 20260115_YSU_Plasma_EV_DIA_1ug_06.raw.PG.Quantity,[86] 20260115_YSU_Plasma_EV_DIA_1ug_09.raw.PG.Quantity,[87] 20260115_YSU_Plasma_EV_DIA_1ug_12.raw.PG.Quantity,[88] 20260115_YSU_Plasma_EV_DIA_1ug_13.raw.PG.Quantity,[89] 20260115_YSU_Plasma_EV_DIA_1ug_14.raw.PG.Quantity,[90] 20260115_YSU_Plasma_EV_DIA_1ug_15.raw.PG.Quantity,[92] 20260115_YSU_Plasma_EV_DIA_1ug_17.raw.PG.Quantity,[93] 20260115_YSU_Plasma_EV_DIA_1ug_18.raw.PG.Quantity,[94] 20260115_YSU_Plasma_EV_DIA_1ug_91.raw.PG.Quantity,[95] 20260115_YSU_Plasma_EV_DIA_1ug_92.raw.PG.Quantity,[98] 20260115_YSU_Plasma_EV_DIA_1ug_97.raw.PG.Quantity,[99] 20260115_YSU_Plasma_EV_DIA_1ug_100.raw.PG.Quantity,[100] 20260115_YSU_Plasma_EV_DIA_1ug_101.raw.PG.Quantity,[101] 20260115_YSU_Plasma_EV_DIA_1ug_102.raw.PG.Quantity,[102] 20260115_YSU_Plasma_EV_DIA_1ug_103.raw.PG.Quantity,[103] 20260115_YSU_Plasma_EV_DIA_1ug_104.raw.PG.Quantity,[104] 20260115_YSU_Plasma_EV_DIA_1ug_105.raw.PG.Quantity,[105] 20260115_YSU_Plasma_EV_DIA_1ug_107.raw.PG.Quantity,[106] 20260115_YSU_Plasma_EV_DIA_1ug_108.raw.PG.Quantity,[107] 20260115_YSU_Plasma_EV_DIA_1ug_109.raw.PG.Quantity,[108] 20250115_YSU_Plasma_EV_DIA_1ug_24.raw.PG.Quantity,[110] 20250115_YSU_Plasma_EV_DIA_1ug_35.raw.PG.Quantity,[111] 20250115_YSU_Plasma_EV_DIA_1ug_40.raw.PG.Quantity,[112] 20250115_YSU_Plasma_EV_DIA_1ug_53.raw.PG.Quantity,[113] 20250115_YSU_Plasma_EV_DIA_1ug_57.raw.PG.Quantity,[114] 20250115_YSU_Plasma_EV_DIA_1ug_58.raw.PG.Quantity,[115] 20250115_YSU_Plasma_EV_DIA_1ug_59.raw.PG.Quantity,[116] 20250115_YSU_Plasma_EV_DIA_1ug_60.raw.PG.Quantity,[117] 20250115_YSU_Plasma_EV_DIA_1ug_66.raw.PG.Quantity,[118] 20250115_YSU_Plasma_EV_DIA_1ug_67.raw.PG.Quantity,[119] 20250115_YSU_Plasma_EV_DIA_1ug_68.raw.PG.Quantity,[120] 20250115_YSU_Plasma_EV_DIA_1ug_78.raw.PG.Quantity,[121] 20250115_YSU_Plasma_EV_DIA_1ug_82.raw.PG.Quantity,[122] 20250115_YSU_Plasma_EV_DIA_1ug_83.raw.PG.Quantity,[123] 20250115_YSU_Plasma_EV_DIA_1ug_88.raw.PG.Quantity,[124] 20250115_YSU_Plasma_EV_DIA_1ug_111.raw.PG.Quantity,[125] 20250115_YSU_Plasma_EV_DIA_1ug_112.raw.PG.Quantity,[126] 20250115_YSU_Plasma_EV_DIA_1ug_114.raw.PG.Quantity,[127] 20250115_YSU_Plasma_EV_DIA_1ug_115.raw.PG.Quantity,[128] 20250115_YSU_Plasma_EV_DIA_1ug_121.raw.PG.Quantity,[130] 20250115_YSU_Plasma_EV_DIA_1ug_123.raw.PG.Quantity,[131] 20250115_YSU_Plasma_EV_DIA_1ug_125.raw.PG.Quantity,[132] 20250115_YSU_Plasma_EV_DIA_1ug_126.raw.PG.Quantity,[133] 20250115_YSU_Plasma_EV_DIA_1ug_127.raw.PG.Quantity,[134] 20250115_YSU_Plasma_EV_DIA_1ug_131.raw.PG.Quantity,[135] 20250115_YSU_Plasma_EV_DIA_1ug_132.raw.PG.Quantity,[136] 20250115_YSU_Plasma_EV_DIA_1ug_136.raw.PG.Quantity,[137] 20250115_YSU_Plasma_EV_DIA_1ug_137.raw.PG.Quantity,[138] 20250115_YSU_Plasma_EV_DIA_1ug_138.raw.PG.Quantity,[139] 20250115_YSU_Plasma_EV_DIA_1ug_139.raw.PG.Quantity,[140] 20250115_YSU_Plasma_EV_DIA_1ug_150.raw.PG.Quantity,[141] 20250115_YSU_Plasma_EV_DIA_1ug_156.raw.PG.Quantity,[142] 20250115_YSU_Plasma_EV_DIA_1ug_168.raw.PG.Quantity,[143] 20250115_YSU_Plasma_EV_DIA_1ug_170.raw.PG.Quantity,[144] 20250115_YSU_Plasma_EV_DIA_1ug_171.raw.PG.Quantity,[145] 20250115_YSU_Plasma_EV_DIA_1ug_172.raw.PG.Quantity,[146] 20250115_YSU_Plasma_EV_DIA_1ug_175.raw.PG.Quantity,[147] 20260115_YSU_Plasma_EV_DIA_1ug_08.raw.PG.Quantity,[148] 20260115_YSU_Plasma_EV_DIA_1ug_98.raw.PG.Quantity,[149] 20260115_YSU_Plasma_EV_DIA_1ug_106.raw.PG.Quantity,[150] 20260115_YSU_Plasma_EV_DIA_1ug_110.raw.PG.Quantity,[151] 20250115_YSU_Plasma_EV_DIA_1ug_22.raw.PG.Quantity,[152] 20250115_YSU_Plasma_EV_DIA_1ug_25.raw.PG.Quantity,[153] 20250115_YSU_Plasma_EV_DIA_1ug_26.raw.PG.Quantity,[154] 20250115_YSU_Plasma_EV_DIA_1ug_33.raw.PG.Quantity,[155] 20250115_YSU_Plasma_EV_DIA_1ug_37.raw.PG.Quantity,[156] 20250115_YSU_Plasma_EV_DIA_1ug_39.raw.PG.Quantity,[157] 20250115_YSU_Plasma_EV_DIA_1ug_41.raw.PG.Quantity,[158] 20250115_YSU_Plasma_EV_DIA_1ug_42.raw.PG.Quantity,[159] 20250115_YSU_Plasma_EV_DIA_1ug_44.raw.PG.Quantity,[160] 20250115_YSU_Plasma_EV_DIA_1ug_64.raw.PG.Quantity,[161] 20250115_YSU_Plasma_EV_DIA_1ug_69.raw.PG.Quantity,[162] 20250115_YSU_Plasma_EV_DIA_1ug_70.raw.PG.Quantity,[163] 20250115_YSU_Plasma_EV_DIA_1ug_71.raw.PG.Quantity,[164] 20250115_YSU_Plasma_EV_DIA_1ug_72.raw.PG.Quantity,[165] 20250115_YSU_Plasma_EV_DIA_1ug_76.raw.PG.Quantity,[166] 20250115_YSU_Plasma_EV_DIA_1ug_80.raw.PG.Quantity,[167] 20250115_YSU_Plasma_EV_DIA_1ug_85.raw.PG.Quantity,[168] 20250115_YSU_Plasma_EV_DIA_1ug_120.raw.PG.Quantity,[169] 20250115_YSU_Plasma_EV_DIA_1ug_128.raw.PG.Quantity,[170] 20250115_YSU_Plasma_EV_DIA_1ug_144.raw.PG.Quantity,[171] 20250115_YSU_Plasma_EV_DIA_1ug_145.raw.PG.Quantity,[172] 20250115_YSU_Plasma_EV_DIA_1ug_152.raw.PG.Quantity,[173] 20250115_YSU_Plasma_EV_DIA_1ug_155.raw.PG.Quantity,[174] 20250115_YSU_Plasma_EV_DIA_1ug_162.raw.PG.Quantity,[175] 20250115_YSU_Plasma_EV_DIA_1ug_163.raw.PG.Quantity,[176] 20250115_YSU_Plasma_EV_DIA_1ug_167.raw.PG.Quantity,[177] 20250115_YSU_Plasma_EV_DIA_1ug_177.raw.PG.Quantity,[178] 20250115_YSU_Plasma_EV_DIA_1ug_178.raw.PG.Quantity,[179] 20250115_YSU_Plasma_EV_DIA_1ug_179.raw.PG.Quantity,[180] 20260115_YSU_Plasma_EV_DIA_1ug_03.raw.PG.Quantity,[181] 20260115_YSU_Plasma_EV_DIA_1ug_07.raw.PG.Quantity,[182] 20260115_YSU_Plasma_EV_DIA_1ug_10.raw.PG.Quantity,[183] 20260115_YSU_Plasma_EV_DIA_1ug_11.raw.PG.Quantity,[185] 20260115_YSU_Plasma_EV_DIA_1ug_20.raw.PG.Quantity,[186] 20260115_YSU_Plasma_EV_DIA_1ug_95.raw.PG.Quantity,[187] 20260115_YSU_Plasma_EV_DIA_1ug_96.raw.PG.Quantity,[188] 20260115_YSU_Plasma_EV_DIA_1ug_99.raw.PG.Quantity
A0A075B6H7,24371.58594,15517.81934,37488.01953,26663.89453,15514.78223,25216.33398,36236.54688,27795.79102,24206.03125,43344.83984,27082.39648,30539.46875,24615.15039,36362.89844,31485.7793,22462.58203,20833.96875,19236.69727,39166.50391,25953.21289,31063.82617,18741.22852,27098.22656,19237.22266,25687.82422,27090.0293,29100.80469,34864.9375,26192.05664,44307.17969,29309.95898,31388.94922,39022.71094,18809.00195,29866.55078,47190.52734,45232.84766,35745.61328,38686.44531,25625.88477,53850.83203,24618.93164,29384.32227,35046.73047,32125.93555,31738.61719,23856.68359,21119.99414,28198.91797,23362.8457,27684.94336,39470.66797,23891.45703,27604.28125,27872.42578,19013.94727,20665.5332,23290.49609,26617.61719,30435.76172,28000.73633,36724.14063,24070.22852,16357.53516,20760.36328,25957.24023,22317.13867,17916.06641,31546.65039,30381.55273,31763.05859,23020.72656,16017.65918,26668.16797,14181.2373,26013.00977,26784.79883,18189.24414,29834.4375,23419.21875,24697.36914,42976.85938,34801.19922,29684.99805,36876.78125,23176.73633,25110.74805,52588.52344,39000.53125,33226.125,43995.53906,34525.3125,24320.57227,30478.91797,28041.31641,51142.14844,22813.08398,39284.16406,19252.44727,22644.98828,19238.43945,28894.30859,35014.53516,23971.76172,27476.30078,30863.34766,28616.39844,30419.4082,20961.22266,37164.78125,27369.78711,35350.71484,29750.58008,28501.95117,23453.92578,22217.54297,37318.02734,27413.53906,35224.34766,34077.32031,24966.24805,23312.38477,38264.81641,19316.7207,32224.73828,37427.33594,28242.9082,23488.57227,20956.89648,30316.91992,20724.46484,27894.61133,31861.31836,24212.78711,33577.3125,26962.38086,16751.75391,28542.3418,22804.48047,29668.97461,23111.16602,34089.49219,24804.0332,33935.54297,32998.29297,26296.17383,40586.625,57204.60156,44244.98828,19335.0918,41318.15234,25810.24219,25917.89844,32649.64063,37143.54297,18707.30664,10219.86523,17963.16016,36333.05078,51799.67578,27945.19336,22930.87109,37470.52344,27028.17969,27476.8457,42745.25,15202.40039,20885.39648,17766.43164,44213.42578,41796.875,19922.3125,23925.51172,24251.51172,30823.32422,34776.02344,31990.41016,25390.9375,39847.45313,37666.77734,31107.01172,21441.00977
A0A075B6H9,64717.85547,69255.53906,58036.16797,44079.36328,62560.67188,46999.10938,31680.05664,30586.82227,31204.90039,61861.07031,25181.7168,71492.73438,73837.375,89103.42969,29002.47656,21807.00195,39234.36328,17541.64844,29531.61719,27705.82227,53591.44141,22805.27734,35021.74219,38858.13281,27609.70313,30152.66211,13204.93945,47757.42188,39707.15625,35040.67969,14173.29004,25381.56055,28070.48438,39635.70313,23588.10742,37509.19531,42533.68359,32520.75195,34104.65234,26096.39063,49813.72266,25132.48438,46003.3125,66409.40625,32085.70703,41149.50781,83827.63281,65624.78906,1283.973999,61027.75391,79751.57813,83217.10156,60736.30469,69778.39063,52095.35547,37229.08203,54515.86328,72799.89844,31432.44531,58465.33984,26658.56055,11108.30957,36942.79688,26508.48047,23240.63867,41001.36328,15816.23145,33864.46094,59927.6875,87161.77344,32202.78516,25132.10938,95496.5,40736.26953,16887.49805,30923.3457,34959.86328,49214.05078,18862.9043,59132.39453,165504.8125,106408.4297,65116.68359,67280.90625,219273.9219,60506.08984,99414.4375,250116.1875,71633.01563,40243.57031,65297.33594,58113.66406,45293.51563,23413.44922,32772.30078,90690.96875,39234.5,37559,35684.21875,69852.63281,45997.32031,47578.54297,73870.30469,59021.64844,140917.2188,45205.35156,54918.48828,40161.71875,27370.72461,54590.28906,30525.91406,37847.38281,109572.7656,72696.52344,71823.71875,33366.43359,105735.9219,22259.67383,37132.60156,25281.61719,44877.85547,39439.54297,48113.99609,51422.91797,88050.13281,61452.01563,100726.0625,21400.17578,55458.23828,41838.98047,55093.30469,20856.64648,35595.32813,46781.12109,26310.82617,15791.33887,18707.01367,31505.18945,30669.31445,33239.01172,31842.66602,45220.34375,28302.77344,26500.85742,19170.54883,41122.35156,82491.25,73972.75781,53678.85547,60467.83594,39918.20313,38949.08984,27489.67773,29073.64844,14996.81934,9198.678711,20931.07031,22692.86719,25815.76953,56474.38672,66755.69531,52708.32813,32173.73242,20523.82031,27910.55469,63823.65625,15988.74609,65843.25781,61771.77344,14162.9082,33034.9375,40599.51563,38374.41016,27825.83008,59863.51953,45300.0625,66002.85938,15071.73926,48001.73047,35121.33984,35959.83984,137453.6094
A0A075B6I0,1502.30896,118643.4297,28363.26172,102908.0859,92402.17969,125128.4844,70947.57031,687.7324219,91055.50781,115336.2891,45610.57422,59283.24609,15258.54785,4377.26123,635.7553711,119078.7266,152568.1719,3728.974365,107511.7188,1586.751953,157847.8438,98109.83594,98214.73438,85502.95313,19707.48633,22828.79297,25688.13672,98745.84375,85148.0625,38060.09375,80141.14063,5648.25293,146260.3906,79973.33594,20292.32813,95824.6875,63519.99219,100924.1797,54543.00781,1059.61853,170548.9531,116092.4922,1415.485596,47918.32422,44644.37891,136043.8281,121243.1484,105840.8516,81900.83594,56813.75391,45387.23438,99172.80469,1285.695313,903.6246948,20354.99219,468.6677246,109494.2344,127134.9531,33809.83203,70966.6875,61441.06641,124505.3828,28690.60938,67547.13281,803.5066528,100301.0469,26087.23242,80661.66406,60478.58594,179945.9219,107776.0938,59510.48438,71523.04688,535.5848389,43743.05469,63621.06641,110605.1563,40968.32031,75000.45313,142676.9531,428167.5,223595.2031,101363.5078,130557.5859,246535.8125,121697.5781,735.4069214,123754.5938,115177.2031,64250.83984,66231.79688,106023.8594,350.2362976,68872.9375,65232.36328,293227.3438,75359.59375,79363.88281,155883.2813,1401.371704,34866.96484,101911.9531,1135.613403,100142.2656,890.8718262,1026.915405,77279.90625,25331.27344,66155.88281,14926.96094,53473.58984,8661.867188,123981.9297,125954.9219,121907.2813,72149.52344,137144.3281,74845.13281,92230.71094,181071.7813,140073.6406,783.1576538,48605.36719,36586.81641,102360.5391,53654.75781,34037.64063,43654.39844,37837.98047,1470.473022,36769.49219,368.7495728,1458.341431,5108.40625,3510.401367,52489.10547,23082.88086,134726.25,118186.4844,54686.07031,58930.62109,63778.42188,44932.8125,114236.8359,53524.50391,36974.41016,63844.15234,187712.4219,128514.1563,25472.94336,104024.3906,16637.51953,2282.542725,132454.75,33321.60547,10631.65527,4098.376953,719.8742065,90491.39063,66615.17188,152843.4219,74445.92188,32221.27148,53797.03516,62617.46875,1919.59729,36467.88281,82589.99219,92907.79688,78352.22656,1393.722412,87673.65625,50020.73828,9928.623047,99978.25781,97159.82813,143157.125,46281.92188,180017.8594,79381.10156,95305.19531,1138.619141
A0A075B6I1,20056.6582,13224.54297,5263.076172,3861.123535,13532.83691,13307.45898,4316.526367,18693.25781,5489.022949,15487.34473,4090.457764,19982.72656,12119.93457,16715.03125,13513.84375,11945.9668,9433.880859,1934.28064,8641.21582,16240.79102,10945.77734,4961.033691,24294.10938,7212.41748,10447.31445,5127.677734,6916.530273,5482.335449,34625.05469,21181.97461,16189.4668,3632.545166,13854.05273,2075.472656,6793.312012,12840.86328,39371,10811.84473,14804.96875,5805.67041,32678.69531,6387.538086,13385.94434,8166.751953,2105.763916,22089.54297,18513.32031,9430.139648,10709.94336,7811.010742,2690.910645,4365.623047,10021.46094,11303.41504,6474.547363,992.7677002,15212.44531,1987.886719,1825.321167,3082.907227,2357.483398,4607.037109,5134.486328,9559.255859,14599.28711,24264.99609,5565.841797,16616.54102,NaN,21963.64453,17624.84375,3446.158936,36734.15234,28442.45508,12231.35742,16967.80664,14603.86621,10370.00293,4187.393555,23599.91211,4841.040527,17527.13867,12113.29004,2293.821533,27587.15039,10257.99316,5386.405762,1601.247925,16325.37695,11224.89453,12759.33301,15488.30664,13189.61133,14467.48926,8895.975586,35504.07813,8200.253906,5134.424316,16953.91602,16886.33594,19748.53906,12805.85254,5799.161621,12978.93359,15993.29297,5360.641113,18849.52734,6869.20752,6016.918945,12441.92383,7527.157227,21675.38086,22323.80664,10001.18359,20662.38281,6132.058105,4433.19873,10529.61719,11155.31445,3655.117432,15897.51465,29198.27539,18789.31055,18060.19141,13395.86719,13053.8623,18058.19531,9345.810547,3800.482666,9011.373047,22383.87305,64339.58594,13311.56348,1921.50061,4516.430664,16166.46973,9598.576172,2176.085693,6443.147949,21085.81641,3657.363525,10324.86426,20050.2168,14297.36426,9058.844727,8554.902344,28691.46484,18325.21875,4326.27002,4264.522461,23283.08594,21966.8125,10129.86523,12467.53223,7068.584961,6625.018555,4831.597656,914.522583,21102.37109,22275.72266,2391.667725,12474.10938,22970.13281,12966.63379,5951.726074,24445.05664,3281.449707,2625.099854,25566.80469,9663.697266,16476.4082,7248.490723,16544.49414,2187.212646,4018.400391,9026.458984,13452.24707,5934.052246,13582.01367,7404.310547,6949.061035,10235.10742
